sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,utility_sp_test,utility_sp_train
1,2,4,4,2,1,2,1,6,2,2,1,2,1,0.1234524382868151,0.0450326656671143
4,2,3,4,1,2,1,1,3,2,2,2,2,1,0.0957883937731388,0.0221955101650938
2,1,8,4,2,1,1,5,3,2,2,1,1,1,0.1083177772650684,0.0265151515151515
4,1,4,4,2,3,2,4,3,2,2,2,1,1,0.0839030453697949,0.0100864553314121
3,4,4,2,1,1,1,1,7,2,2,1,1,1,0.0946013487026476,0.0291136645570951
3,4,7,1,2,4,2,1,3,2,1,1,1,1,0.1171236064360475,0.0173515981735159
2,1,2,3,1,1,1,4,3,2,2,2,2,1,0.0998791202149462,0.0239898989898989
3,1,2,3,1,2,1,1,8,1,1,2,1,1,0.1383305670298839,0.0302339799589981
4,1,8,1,2,2,1,1,6,1,2,2,2,1,0.1568897817333643,0.0075986886396036
3,2,7,4,1,1,2,1,5,1,1,2,1,1,0.0943182439743204,0.0388612293546739
3,3,1,1,2,3,1,5,3,1,2,1,2,1,0.1082055906221821,0.0350467289719626
4,4,6,2,1,4,1,1,3,2,1,1,2,1,0.140225868947209,0.0425874759406907
2,3,5,1,1,2,1,1,1,2,1,2,2,1,0.1521226254581393,0.0194025270511095
4,1,3,3,1,4,2,4,3,1,2,1,2,1,0.1015785861358956,0.0162671232876712
2,1,6,2,1,1,2,1,7,2,1,2,2,1,0.1032238904584557,0.0096114760300433
4,3,9,1,1,1,2,1,4,1,1,1,2,1,0.0954512518747943,0.0411102469483102
1,4,8,3,1,1,1,1,7,1,1,2,2,1,0.1058977539501506,0.0272141406691668
4,1,2,1,1,3,1,5,3,2,2,2,2,1,0.1181693989071038,0.0395387149917627
1,3,3,1,2,1,2,1,4,2,1,2,2,1,0.1197444224619557,0.0392966814154984
4,1,7,4,2,1,2,1,5,1,2,2,1,1,0.0717808563229871,0.0400389040964982
4,1,9,1,1,1,1,4,3,2,2,2,2,1,0.1184748347737671,0.0391882435269419
2,3,2,2,1,1,1,1,5,1,1,1,2,1,0.1143385277768048,0.0244612862413909
4,3,6,3,2,1,2,1,4,2,1,1,2,1,0.0954512518747943,0.0411102469483102
2,1,4,4,1,4,1,4,3,2,2,2,1,1,0.088479829911039,0.005524861878453
3,2,5,4,2,3,1,4,3,1,1,1,1,1,0.0652741514360313,0.0085763293310463
3,1,4,1,1,1,2,1,6,1,1,2,2,1,0.0859719444867897,0.0256614341595841
3,1,7,1,1,2,1,4,3,1,1,1,2,1,0.102803738317757,0.0333333333333333
3,3,3,2,1,1,2,4,3,1,1,2,2,1,0.1139053254437869,0.022140221402214
2,2,4,2,2,3,1,4,3,1,2,1,2,1,0.0761421319796954,0.0094240837696335
2,1,1,4,1,2,2,1,5,1,2,1,2,1,0.1434395396011821,0.0193060993221157
