missing_value,normalization,outlier,whitespace,punctuation,stopword,deduplication,model,utility_accuracy_score
1,1,1,1,1,1,1,1,0.09486780715396581
1,1,1,1,1,1,2,1,0.09677419354838712
1,1,1,1,1,2,1,1,0.09486780715396581
1,1,1,1,1,2,2,1,0.09677419354838712
1,1,1,1,2,1,1,1,0.09486780715396581
1,1,1,1,2,1,2,1,0.09677419354838712
1,1,1,1,2,2,1,1,0.09486780715396581
1,1,1,1,2,2,2,1,0.09677419354838712
1,1,1,2,1,1,1,1,0.09486780715396581
1,1,1,2,1,1,2,1,0.09677419354838712
1,1,1,2,1,2,1,1,0.09486780715396581
1,1,1,2,1,2,2,1,0.09677419354838712
1,1,1,2,2,1,1,1,0.09486780715396581
1,1,1,2,2,1,2,1,0.09677419354838712
1,1,1,2,2,2,1,1,0.09486780715396581
1,1,1,2,2,2,2,1,0.09677419354838712
1,1,2,1,1,1,1,1,0.060194174757281504
1,1,2,1,1,1,2,1,0.056140350877192935
1,1,2,1,1,2,1,1,0.060194174757281504
1,1,2,1,1,2,2,1,0.056140350877192935
1,1,2,1,2,1,1,1,0.060194174757281504
1,1,2,1,2,1,2,1,0.056140350877192935
1,1,2,1,2,2,1,1,0.060194174757281504
1,1,2,1,2,2,2,1,0.056140350877192935
1,1,2,2,1,1,1,1,0.060194174757281504
1,1,2,2,1,1,2,1,0.056140350877192935
1,1,2,2,1,2,1,1,0.060194174757281504
1,1,2,2,1,2,2,1,0.056140350877192935
1,1,2,2,2,1,1,1,0.060194174757281504
1,1,2,2,2,1,2,1,0.056140350877192935
1,1,2,2,2,2,1,1,0.060194174757281504
1,1,2,2,2,2,2,1,0.056140350877192935
1,1,3,1,1,1,1,1,0.07986688851913482
1,1,3,1,1,1,2,1,0.08446866485013627
1,1,3,1,1,2,1,1,0.07986688851913482
1,1,3,1,1,2,2,1,0.08446866485013627
1,1,3,1,2,1,1,1,0.07986688851913482
1,1,3,1,2,1,2,1,0.08446866485013627
1,1,3,1,2,2,1,1,0.07986688851913482
1,1,3,1,2,2,2,1,0.08446866485013627
1,1,3,2,1,1,1,1,0.07986688851913482
1,1,3,2,1,1,2,1,0.08446866485013627
1,1,3,2,1,2,1,1,0.07986688851913482
1,1,3,2,1,2,2,1,0.08446866485013627
1,1,3,2,2,1,1,1,0.07986688851913482
1,1,3,2,2,1,2,1,0.08446866485013627
1,1,3,2,2,2,1,1,0.07986688851913482
1,1,3,2,2,2,2,1,0.08446866485013627
1,1,4,1,1,1,1,1,0.08461538461538465
1,1,4,1,1,1,2,1,0.09642857142857142
