missing_value,normalization,fselection,outlier,whitespace,punctuation,stopword,deduplication,model,utility_rmse
1,1,1,1,1,1,1,1,1,188.79983416185624
1,1,1,1,1,1,1,2,1,282.48416849209536
1,1,1,1,1,1,2,1,1,188.79983416185624
1,1,1,1,1,1,2,2,1,282.48416849209536
1,1,1,1,1,2,1,1,1,188.79983416185624
1,1,1,1,1,2,1,2,1,282.48416849209536
1,1,1,1,1,2,2,1,1,188.79983416185624
1,1,1,1,1,2,2,2,1,282.48416849209536
1,1,1,1,2,1,1,1,1,188.79983416185624
1,1,1,1,2,1,1,2,1,282.48416849209536
1,1,1,1,2,1,2,1,1,188.79983416185624
1,1,1,1,2,1,2,2,1,282.48416849209536
1,1,1,1,2,2,1,1,1,188.79983416185624
1,1,1,1,2,2,1,2,1,282.48416849209536
1,1,1,1,2,2,2,1,1,188.79983416185624
1,1,1,1,2,2,2,2,1,282.48416849209536
1,1,1,2,1,1,1,1,1,155.5133505394992
1,1,1,2,1,1,1,2,1,236.80777057481401
1,1,1,2,1,1,2,1,1,155.5133505394992
1,1,1,2,1,1,2,2,1,236.80777057481401
1,1,1,2,1,2,1,1,1,155.5133505394992
1,1,1,2,1,2,1,2,1,236.80777057481401
1,1,1,2,1,2,2,1,1,155.5133505394992
1,1,1,2,1,2,2,2,1,236.80777057481401
1,1,1,2,2,1,1,1,1,155.5133505394992
1,1,1,2,2,1,1,2,1,236.80777057481401
1,1,1,2,2,1,2,1,1,155.5133505394992
1,1,1,2,2,1,2,2,1,236.80777057481401
1,1,1,2,2,2,1,1,1,155.5133505394992
1,1,1,2,2,2,1,2,1,236.80777057481401
1,1,1,2,2,2,2,1,1,155.5133505394992
1,1,1,2,2,2,2,2,1,236.80777057481401
1,1,1,3,1,1,1,1,1,156.6729803512847
1,1,1,3,1,1,1,2,1,255.78154868719753
1,1,1,3,1,1,2,1,1,156.6729803512847
1,1,1,3,1,1,2,2,1,255.78154868719753
1,1,1,3,1,2,1,1,1,156.6729803512847
1,1,1,3,1,2,1,2,1,255.78154868719753
1,1,1,3,1,2,2,1,1,156.6729803512847
1,1,1,3,1,2,2,2,1,255.78154868719753
1,1,1,3,2,1,1,1,1,156.6729803512847
1,1,1,3,2,1,1,2,1,255.78154868719753
1,1,1,3,2,1,2,1,1,156.6729803512847
1,1,1,3,2,1,2,2,1,255.78154868719753
