,id,title,authors,venue,year
0,304586,The WASA2 object-oriented workflow management system,"Gottfried Vossen, Mathias Weske",International Conference on Management of Data,1999
1,304587,A user-centered interface for querying distributed multimedia databases,"Isabel F. Cruz, Kimberly M. James",International Conference on Management of Data,1999
2,304589,"World Wide Database-integrating the Web, CORBA and databases","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",International Conference on Management of Data,1999
3,304590,XML-based information mediation with MIX,"Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu",International Conference on Management of Data,1999
4,304582,The CCUBE constraint object-oriented database system,"Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo",International Conference on Management of Data,1999
5,304583,The Crrnill Jaguarjepoject: addnj gmobilify tofPREDATtR,"Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu",International Conference on Management of Data,1999
6,304584,The active MultiSync controller of the cubetree storage organization,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",International Conference on Management of Data,1999
7,304585,The Jungle database search engine,"Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson",International Conference on Management of Data,1999
8,306112,ADPET: an agetn-baseda pwrbach to busines sprfcenq manaooment,"N. R. Jennings, T. J. Norman, P. Faratin",ACM SIGMOD Record ,1998
9,306115,A componentized architecture for dynamic electronic markets,"Benny Reich, Israel Ben-Shaul",ACM SIGMOD Record ,1998
10,306119,Design and impaemeniasion of MR: Pa virtualaelecpronec market plaou,"Susanne Boll, Wolfgang Klas, Bernard Battaglin",ACM SIGMOD Record ,1998
11,306124,Discovering Internet marketing intelligence through online analytical web usage mining,"Alex G. B&#252;chner, Maurice D. Mulvenna",ACM SIGMOD Record ,1998
12,306102,nompnoent-uased r-commerce:fassessmentfsf jurrentqpratcwces andvfutuee dnyections,"Martin Bichler, Arie Segev, J. Leon Zhao",ACM SIGMOD Record ,1998
13,306103,Building database-driven electronic catalogs,Sherif Danish,ACM SIGMOD Record ,1998
14,306105,XML and electronic commerce: enabling the network economy,"Bart Meltzer, Robert Glushko",ACM SIGMOD Record ,1998
