,id,title,authors,venue,year
6,304584,The-active-MultiSync-controller-of-the-cubetree-storage-organization,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",International Conference on Management of Data,1999
17,304570,An-XJML-based-wrapper-generator-for-Web-information-extraction,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data,1999
23,304568,Improving-OLTP-data-quality-using-data-warehouse-mechanisms,"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",International Conference on Management of Data,1999
43,304244,In-memory-data-management-for-consumer-transactions-the-timesten-approach,CORPORATE TimesTen Team,International Conference on Management of Data,1999
53,304215,DynaMat:-a-dynamic-view-management-system-for-data-warehouses,"Yannis Kotidis, Nick Roussopoulos",International Conference on Management of Data,1999
57,304227,"Of-crawlers,-portals,-mice,-and-men:-is-there-more-to-mining-the-Web?","Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1999
66,335381,On-line-reorganization-in-object-databases,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",International Conference on Management of Data,2000
76,335412,Spatial-join-selectivity-using-power-laws,"Christos Faloutsos, Bernhard Seeger, Agma Traina, Caetano Traina, Jr.",International Conference on Management of Data,2000
79,335415,Influence-sets-based-on-reverse-nearest-neighbor-queries,"Flip Korn, S. Muthukrishnan",International Conference on Management of Data,2000
81,331984,Improving-database-design-through-the-analysis-of-relationships,"Debabrata Dey, Veda C. Storey, Terence M. Barron",ACM Transactions on Database Systems (TODS) ,1999
82,331992,The-SIFT-information-dissemination-system,"Tak W. Yan, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS) ,1999
84,333609,Chorochronos:-a-research-network-for-spatiotemporal-database-systems,"Andrew Frank, Stephane Grumbach, Ralf Hartmut G&#252;ting, Christian S. Jensen, Manolis Koubarakis, Nikos Lorentzos, Yannis Manolopoulos, Enrico Nardelli, Barbara Pernici, Hans-J&#246;rg Schek, Michel Scholl, Timos Sellis, Babis Theodoulidis, Peter Widmayer",ACM SIGMOD Record ,1999
99,310064,Design-principles-for-data-intensive-Web-sites,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",ACM SIGMOD Record ,1999
