,idDBLP,idACM
0,conf/sigmod/MistryRSR01,375703
1,conf/sigmod/LamCKNH01,375779
2,conf/sigmod/DeshpandeGR01,375685
3,conf/sigmod/WhitneyS01,375783
4,conf/sigmod/RamaswamyRS00,335437
5,conf/sigmod/LiuPBHPT00,336579
6,conf/sigmod/LakhamrajuRSS00,335381
7,conf/sigmod/FaloutsosSTT00,335412
8,conf/sigmod/KornM00,335415
9,conf/sigmod/LabrinidisR00,335430
10,conf/sigmod/ChenCPPSTM00,335466
11,conf/sigmod/Sarawagi00,336564
12,conf/sigmod/IvesFFLW99,304209
13,conf/sigmod/KotidisR99,304215
14,conf/sigmod/LiuHBPT99,304570
15,conf/sigmod/JagadishLMSV99,304194
16,conf/sigmod/GarofalakisRRS99,304227
17,conf/sigmod/Team99,304244
18,conf/sigmod/JarkeQBLMS99,304568
19,conf/sigmod/RoussopoulosKS99,304584
20,conf/sigmod/UrhanFA98,276317
21,conf/sigmod/KanthAS98,276320
22,conf/sigmod/ChanI98,276336
23,conf/sigmod/FranklinZ98,276360
24,conf/sigmod/LiuPTBBZBHY98,276376
25,conf/sigmod/ShintaniK98,276308
26,conf/sigmod/JonssonFS98,276316
27,conf/sigmod/Miller98,276322
28,conf/sigmod/ClossmanSHKPB98,276352
29,conf/sigmod/BlakeleyP98,276354
30,conf/sigmod/Eaton98,276357
31,conf/sigmod/Spiro98,276359
32,conf/sigmod/ZaianeHLCC98,276388
33,conf/sigmod/BrinMUT97,253325
34,conf/sigmod/Arpaci-DusseauACHP97,253322
35,conf/sigmod/MotakisZ97,253359
36,conf/sigmod/GeorgeH97,253362
37,conf/sigmod/Shasha97,253368
38,conf/sigmod/ChaudhuriD97,253373
39,conf/sigmod/Chaudhuri97,253374
40,conf/sigmod/SeshadriHPLRSSS96,233360
41,conf/sigmod/BunemanDHS96,233368
42,conf/sigmod/HungYK96,280360
43,conf/sigmod/VanceM96,233317
44,conf/sigmod/GoelI96,233318
45,conf/sigmod/LoR96,233337
46,conf/sigmod/DohertyHR96,233344
47,conf/sigmod/DavisonG95,223845
48,conf/sigmod/LuMSS95,223850
49,conf/sigmod/Squire95,223869
50,conf/sigmod/HernandezS95,223807
51,conf/sigmod/WhiteD95,223814
52,conf/sigmod/DuSD95,223846
53,conf/sigmod/FreedmanD95,223851
54,conf/sigmod/DanS95,223853
55,conf/sigmod/Team95,223857
56,conf/sigmod/Moore95,223859
57,conf/sigmod/Ellison95,277954
58,conf/sigmod/Perna95,223872
59,conf/sigmod/Gerber95,223877
60,conf/sigmod/GibbsBT94,191856
61,conf/sigmod/ChenR94,191874
62,conf/sigmod/SwamiS94,191877
63,conf/sigmod/NybergBCGL94,191884
64,conf/sigmod/Dietterich94,191931
65,conf/sigmod/BrinkhoffKSS94a,191988
66,conf/sigmod/SeshadriLR94,191926
67,conf/sigmod/DanielsDDEHJJLSSS94,191930
68,conf/sigmod/GrossmanQ94,191965
69,conf/sigmod/WangJLY03,872777
70,conf/sigmod/LakshmananPZ03,872768
71,conf/sigmod/SionAP03,872772
72,conf/sigmod/MinPC03,872775
73,conf/sigmod/ZhuS03,872780
74,conf/sigmod/KangN03,872783
75,conf/sigmod/KementsietsidisAM03,872798
76,conf/sigmod/StoltePAG03,872800
77,conf/sigmod/RiedewaldAA02,564694
78,conf/sigmod/OlstonW02,564701
79,conf/sigmod/Grust02,564705
80,conf/sigmod/KarbhariRXD02,564773
81,conf/sigmod/FungSG02,564775
82,conf/sigmod/LiGS02,564711
83,conf/sigmod/FreireHRRS02,564713
84,conf/sigmod/GarofalakisG02,564746
85,conf/sigmod/KanthRA02,564755
86,conf/sigmod/Team02,564761
87,conf/sigmod/TheobaldW02,564768
88,conf/sigmod/BarbosaMKL02,564769
89,conf/sigmod/LuWYBLY02,564785
90,conf/sigmod/Mohan02,564796
91,journals/sigmod/WangD03,959079
92,journals/sigmod/GottlobKP03a,776988
93,journals/sigmod/Nascimento03,776996
94,journals/sigmod/GroskySF02,637420
95,journals/sigmod/Aberer02b,601865
96,journals/sigmod/Neven02,601869
97,journals/sigmod/Aberer02a,565129
98,journals/sigmod/Fagin02,565143
99,journals/sigmod/OrlandicLS02,565120
100,journals/sigmod/Konig-RiesMMPPRSVW02,565134
101,journals/sigmod/Hammer02,565135
102,journals/sigmod/RossKMV02,507364
103,journals/sigmod/BarbaraCJW01,604268
104,journals/sigmod/Cetintemel01,604284
105,journals/sigmod/LabrinidisM01,603886
106,journals/sigmod/BiancheriPP01,373631
107,journals/sigmod/Aggarwal01,373638
108,journals/sigmod/LawderK01,373678
109,journals/sigmod/WuY00,362096
110,journals/sigmod/ClementiniF00,362101
111,journals/sigmod/FrankGGJKLMNPSSSTW99,333609
112,journals/sigmod/FowlerPNB99,310060
113,journals/sigmod/CeriFP99,310064
114,journals/sigmod/KoksalAD98,273265
115,journals/sigmod/ConradEHRSSSV97,271089
116,journals/sigmod/RamanathanH97,248615
117,journals/sigmod/ChaudhuriD97,248616
118,journals/sigmod/AbelTK97,248605
119,journals/sigmod/Date96,245885
120,journals/sigmod/Darwen96,245886
121,journals/sigmod/Ahlberg96,245893
122,journals/sigmod/ShethGJRSWW96,245903
123,journals/sigmod/Qian96b,245909
124,journals/sigmod/Qian96a,234903
125,journals/sigmod/PhatakSSS96,381897
126,journals/sigmod/HaritsaS96,381870
127,journals/sigmod/Wade96,381895
128,journals/sigmod/Bohlen95,219758
129,journals/sigmod/SellisV95,219766
130,journals/sigmod/Finkelstein95,219777
131,journals/sigmod/GamacheS95,212016
132,journals/sigmod/MedskerCS95,202673
133,journals/sigmod/KarlapalemLS95,202663
134,journals/sigmod/Jarke95,202671
135,journals/sigmod/ShinM94,190633
136,journals/sigmod/GroskyFS94,190644
137,journals/sigmod/GlavitschSW94,190645
138,journals/sigmod/Klein94,187445
139,journals/sigmod/Stonebraker94,181551
140,journals/sigmod/Loeffen94,181565
141,journals/sigmod/NorrieBSW94,181567
142,journals/tods/Chomicki03,958946
143,journals/tods/Jimenez-PerisPAK03,937601
144,journals/tods/BeneventanoBS03,762472
145,journals/tods/FukudaMMT01,383893
146,journals/tods/CuiWW00,357777
147,journals/tods/Bohm00,357776
148,journals/tods/DeySB99,331984
149,journals/tods/YanG99,331992
150,journals/tods/DattaVCK99,310710
151,journals/tods/FormicaGM98,293152
152,journals/tods/CliffordDIJS97,249980
153,journals/tods/Kuo96,236712
154,journals/tods/LiuM96,232622
155,journals/tods/BellNNS96,232691
156,journals/tods/Snodgrass01a,505055
157,conf/vldb/TsurAADKW01,672353
158,conf/vldb/PatonG01,757416
159,conf/vldb/CasatiDGS01,672190
160,conf/vldb/TanSHCR01,672376
161,conf/vldb/WiesnerK01,672204
162,conf/vldb/KoschBBHHLRT01,672354
163,conf/vldb/BaumgartnerFG01a,672189
164,conf/vldb/YagoubFIV00,672020
165,conf/vldb/DingGS00,672013
166,conf/vldb/PantiSG00,671693
167,conf/vldb/MohanBWSZ00,671858
168,conf/vldb/ShahabiFKF00,671682
169,conf/vldb/Brodie00,671680
170,conf/vldb/Ladin00,671856
171,conf/vldb/NetzCBF00,671836
172,conf/vldb/Carey00,671700
173,conf/vldb/PacittMS99,671521
174,conf/vldb/TamuraK99,671495
175,conf/vldb/KumarRRT99,671512
176,conf/vldb/JosifovskiR99,671673
177,conf/vldb/DeutschPT99,756643
178,conf/vldb/Dayal99,671502
179,conf/vldb/Tygar98,671343
180,conf/vldb/GoldmanSVG98,671346
181,conf/vldb/ChakrabartiSD98,671328
182,conf/vldb/BelloDDFNSWZ98,671335
183,conf/vldb/RoussopoulosK98,671180
184,conf/vldb/Objectivity98,758372
185,conf/vldb/MorimotoIM97,673651
186,conf/vldb/GibbonsMP97,673669
187,conf/vldb/BaumannFRW97,673652
188,conf/vldb/KumarKA97,671009
