,pf,block clean threshold,weighting schema,matching threshold,cur_f
0,0,0.95,3,0.95,0.80504
1,1,0.95,3,0.95,0.0
2,0,0.05,3,0.95,0.78421
3,0,0.17857,3,0.95,0.7855
4,0,0.30714,3,0.95,0.79387
5,0,0.43571,3,0.95,0.8133
6,0,0.56429,3,0.95,0.80504
7,0,0.69286,3,0.95,0.80504
8,0,0.82143,3,0.95,0.80504
9,0,0.43571,3,0.05,0.82628
10,0,0.43571,3,0.17857,0.88974
11,0,0.43571,3,0.30714,0.90211
12,0,0.43571,3,0.43571,0.96118
13,0,0.43571,3,0.56429,0.97825
14,0,0.43571,3,0.69286,0.98586
15,0,0.43571,3,0.82143,0.9601
16,0,0.43571,0,0.69286,0.98409
17,0,0.43571,1,0.69286,0.98599
18,0,0.43571,2,0.69286,0.98565
19,2,2.0,2,2.0,2.0 // Fallback to iter = 2
20,0,0.05,1,0.69286,0.96761
21,0,0.17857,1,0.69286,0.97349
22,0,0.30714,1,0.69286,0.97962
23,0,0.56429,1,0.69286,0.97063
24,0,0.69286,1,0.69286,0.97063
25,0,0.82143,1,0.69286,0.97063
26,0,0.95,1,0.69286,0.97063
27,1,0.05,1,0.69286,0.99307
