,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,0.8,12,0.92769,20,0.80442,6,0.96247,3.0,0.91294
1,0,0.05,0,0.1625,0.8,12,0.8336,13,0.8,7,0.96247,3.0,0.91294
2,0,0.05,0,0.275,0.8,12,0.92769,14,0.8,7,0.96247,3.0,0.91294
3,0,0.05,0,0.3875,0.8,7,0.8,7,0.8,4,0.88843,3.0,0.91294
4,0,0.05,0,0.5,0.8,1,0.90024,1,0.90024,1,0.90024,3.0,0.91294
5,0,0.05,0,0.6125,0.8,1,0.94193,1,0.94193,1,0.94193,3.0,0.91294
6,0,0.05,0,0.725,0.8,1,0.96247,1,0.96247,1,0.96247,3.0,0.91294
7,0,0.05,0,0.8375,0.8,1,0.92667,1,0.92667,1,0.92667,3.0,0.91294
8,0,0.05,0,0.95,0.8,11,0.92769,16,0.89862,7,0.96247,3.0,0.91294
9,0,0.05,1,0.05,0.8,20,0.80442,20,0.80442,7,0.96247,3.0,0.91294
10,0,0.05,1,0.1625,0.8,12,0.92769,14,0.80936,8,0.96247,3.0,0.91294
11,0,0.05,1,0.275,0.8,13,0.8336,14,0.8,8,0.96247,3.0,0.91294
12,0,0.05,1,0.3875,0.8,12,0.92769,7,0.80936,5,0.88843,3.0,0.91294
13,0,0.05,1,0.5,0.8,1,0.90834,1,0.90834,2,0.90834,3.0,0.91294
14,0,0.05,1,0.6125,0.8,1,0.94593,1,0.94593,2,0.94593,3.0,0.91294
15,0,0.05,1,0.725,0.8,1,0.96303,1,0.96303,2,0.96303,3.0,0.91294
16,0,0.05,1,0.8375,0.8,1,0.92352,1,0.92352,2,0.92667,3.0,0.91294
17,0,0.05,1,0.95,0.8,12,0.92667,16,0.90024,8,0.96247,3.0,0.91294
18,0,0.05,2,0.05,0.8,12,0.92769,20,0.80442,7,0.96247,3.0,0.91294
19,0,0.05,2,0.1625,0.8,13,0.8336,14,0.8,8,0.96247,3.0,0.91294
20,0,0.05,2,0.275,0.8,12,0.92769,14,0.82732,8,0.96247,3.0,0.91294
21,0,0.05,2,0.3875,0.8,8,0.8,8,0.8,5,0.88843,3.0,0.91294
22,0,0.05,2,0.5,0.8,1,0.90467,1,0.90467,2,0.90467,3.0,0.91294
23,0,0.05,2,0.6125,0.8,1,0.94549,1,0.94549,2,0.94549,3.0,0.91294
24,0,0.05,2,0.725,0.8,1,0.96385,1,0.96385,2,0.96385,3.0,0.91294
25,0,0.05,2,0.8375,0.8,1,0.92769,1,0.92769,2,0.92769,3.0,0.91294
26,0,0.05,2,0.95,0.8,11,0.92769,15,0.90467,8,0.96247,3.0,0.91294
27,0,0.05,3,0.05,0.8,20,0.80442,20,0.80442,7,0.96247,3.0,0.91294
28,0,0.05,3,0.1625,0.8,11,0.92769,13,0.82162,7,0.96247,3.0,0.91294
29,0,0.05,3,0.275,0.8,13,0.8336,14,0.8,7,0.96247,3.0,0.91294
30,0,0.05,3,0.3875,0.8,11,0.92769,7,0.82162,3,0.88843,3.0,0.91294
