,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,0.8,11,0.94306,18,0.83986,6,0.96062,3.0,0.91242
1,0,0.05,0,0.17857,0.8,18,0.83986,18,0.83986,7,0.96062,3.0,0.91242
2,0,0.05,0,0.30714,0.8,11,0.94306,19,0.83986,7,0.96062,3.0,0.91242
3,0,0.05,0,0.43571,0.8,3,0.81126,3,0.81126,4,0.91816,3.0,0.91242
4,0,0.05,0,0.56429,0.8,1,0.93035,1,0.93035,1,0.93035,3.0,0.91242
5,0,0.05,0,0.69286,0.8,1,0.96062,1,0.96062,1,0.96062,3.0,0.91242
6,0,0.05,0,0.82143,0.8,1,0.94206,1,0.94206,1,0.94206,3.0,0.91242
7,0,0.05,0,0.95,0.8,10,0.94306,15,0.93207,7,0.96062,3.0,0.91242
8,0,0.05,1,0.05,0.8,18,0.83986,18,0.83986,7,0.96062,3.0,0.91242
9,0,0.05,1,0.17857,0.8,11,0.94306,13,0.83321,8,0.96062,3.0,0.91242
10,0,0.05,1,0.30714,0.8,19,0.83986,19,0.83986,8,0.96062,3.0,0.91242
11,0,0.05,1,0.43571,0.8,4,0.8166,4,0.8166,5,0.91816,3.0,0.91242
12,0,0.05,1,0.56429,0.8,1,0.93591,1,0.93591,2,0.93591,3.0,0.91242
13,0,0.05,1,0.69286,0.8,1,0.9607,1,0.9607,2,0.9607,3.0,0.91242
14,0,0.05,1,0.82143,0.8,1,0.93874,1,0.93874,2,0.94206,3.0,0.91242
15,0,0.05,1,0.95,0.8,11,0.94206,15,0.93035,8,0.96062,3.0,0.91242
16,0,0.05,2,0.05,0.8,11,0.94306,13,0.80285,7,0.96062,3.0,0.91242
17,0,0.05,2,0.17857,0.8,19,0.83986,19,0.83986,8,0.96062,3.0,0.91242
18,0,0.05,2,0.30714,0.8,11,0.94306,13,0.88413,8,0.96062,3.0,0.91242
19,0,0.05,2,0.43571,0.8,4,0.81126,4,0.81126,5,0.91816,3.0,0.91242
20,0,0.05,2,0.56429,0.8,1,0.93562,1,0.93562,2,0.93562,3.0,0.91242
21,0,0.05,2,0.69286,0.8,1,0.96071,1,0.96071,2,0.96071,3.0,0.91242
22,0,0.05,2,0.82143,0.8,1,0.94306,1,0.94306,2,0.94306,3.0,0.91242
