,init pf,init block clean threshold,init weighting schema,init matching threshold,search space size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,648,13,0.96385,39,0.96385,6,0.96247,24.0,0.96178
1,0,0.05,0,0.1625,648,25,0.96385,40,0.96385,7,0.96247,24.0,0.96178
2,0,0.05,0,0.275,648,13,0.96385,40,0.96385,7,0.96247,24.0,0.96178
3,0,0.05,0,0.3875,648,25,0.96385,40,0.96385,7,0.96247,24.0,0.96178
4,0,0.05,0,0.5,648,14,0.95019,17,0.95019,6,0.96247,24.0,0.96178
5,0,0.05,0,0.6125,648,13,0.96247,15,0.96247,8,0.96247,24.0,0.96178
6,0,0.05,0,0.725,648,1,0.96247,1,0.96247,1,0.96247,24.0,0.96178
7,0,0.05,0,0.8375,648,13,0.96385,18,0.96385,8,0.96247,24.0,0.96178
8,0,0.05,0,0.95,648,12,0.96247,16,0.96247,7,0.96247,24.0,0.96178
9,0,0.05,1,0.05,648,13,0.96385,39,0.96385,7,0.96247,24.0,0.96178
10,0,0.05,1,0.1625,648,26,0.96385,41,0.96385,8,0.96247,24.0,0.96178
11,0,0.05,1,0.275,648,13,0.96385,21,0.95613,8,0.96247,24.0,0.96178
12,0,0.05,1,0.3875,648,26,0.96385,41,0.96385,8,0.96247,24.0,0.96178
13,0,0.05,1,0.5,648,14,0.96253,17,0.96253,7,0.96247,24.0,0.96178
14,0,0.05,1,0.6125,648,14,0.96253,17,0.96253,7,0.96247,24.0,0.96178
15,0,0.05,1,0.725,648,1,0.96303,1,0.96303,2,0.96303,24.0,0.96178
16,0,0.05,1,0.8375,648,13,0.96385,18,0.96385,9,0.96247,24.0,0.96178
17,0,0.05,1,0.95,648,13,0.96247,18,0.96247,8,0.96247,24.0,0.96178
18,0,0.05,2,0.05,648,13,0.96385,39,0.96385,7,0.96247,24.0,0.96178
19,0,0.05,2,0.1625,648,26,0.96385,41,0.96385,8,0.96247,24.0,0.96178
20,0,0.05,2,0.275,648,13,0.96385,40,0.96385,8,0.96247,24.0,0.96178
21,0,0.05,2,0.3875,648,26,0.96385,41,0.96385,8,0.96247,24.0,0.96178
22,0,0.05,2,0.5,648,14,0.95585,17,0.95585,6,0.96247,24.0,0.96178
23,0,0.05,2,0.6125,648,14,0.96178,17,0.96178,6,0.96247,24.0,0.96178
24,0,0.05,2,0.725,648,1,0.96385,1,0.96385,2,0.96385,24.0,0.96178
25,0,0.05,2,0.8375,648,12,0.96385,17,0.96385,9,0.96247,24.0,0.96178
26,0,0.05,2,0.95,648,13,0.96385,17,0.96385,8,0.96247,24.0,0.96178
27,0,0.05,3,0.05,648,12,0.96385,36,0.96385,7,0.96247,24.0,0.96178
28,0,0.05,3,0.1625,648,26,0.96385,39,0.96385,7,0.96247,24.0,0.96178
29,0,0.05,3,0.275,648,12,0.96385,37,0.96385,7,0.96247,24.0,0.96178
30,0,0.05,3,0.3875,648,26,0.96385,39,0.96385,5,0.96247,24.0,0.96178
31,0,0.05,3,0.5,648,13,0.95613,16,0.95613,5,0.96247,24.0,0.96178
32,0,0.05,3,0.6125,648,14,0.96091,17,0.96091,6,0.96247,24.0,0.96178
33,0,0.05,3,0.725,648,1,0.96385,1,0.96385,1,0.96385,24.0,0.96178
34,0,0.05,3,0.8375,648,11,0.96385,16,0.96385,5,0.96247,24.0,0.96178
35,0,0.05,3,0.95,648,13,0.96385,17,0.96385,5,0.96247,24.0,0.96178
36,0,0.1625,0,0.05,648,13,0.96385,39,0.96385,7,0.96247,24.0,0.96178
37,0,0.1625,0,0.1625,648,25,0.96385,40,0.96385,8,0.96247,24.0,0.96178
