,init pf,init block clean threshold,init weighting schema,init matching threshold,historical data size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,36,16,0.96071,41,0.9607,220,0.96071,23.0,0.96036
1,0,0.05,0,0.17857,36,21,0.96071,36,0.95808,222,0.96071,23.0,0.96036
2,0,0.05,0,0.30714,36,16,0.96071,16,0.95808,221,0.96071,23.0,0.96036
3,0,0.05,0,0.43571,36,21,0.96071,36,0.95808,266,0.95808,23.0,0.96036
4,0,0.05,0,0.56429,36,17,0.96402,16,0.96359,266,0.95808,23.0,0.96036
5,0,0.05,0,0.69286,36,1,0.96062,1,0.96062,4,0.96071,23.0,0.96036
6,0,0.05,0,0.82143,36,15,0.96071,14,0.96062,268,0.95808,23.0,0.96036
7,0,0.05,0,0.95,36,14,0.96071,17,0.96071,221,0.96071,23.0,0.96036
8,0,0.05,1,0.05,36,21,0.96071,36,0.95808,221,0.96071,23.0,0.96036
9,0,0.05,1,0.17857,36,16,0.96071,19,0.96284,223,0.96071,23.0,0.96036
10,0,0.05,1,0.30714,36,22,0.96071,37,0.95808,222,0.96071,23.0,0.96036
11,0,0.05,1,0.43571,36,17,0.95935,16,0.95808,267,0.95808,23.0,0.96036
12,0,0.05,1,0.56429,36,17,0.96165,15,0.96165,268,0.95808,23.0,0.96036
13,0,0.05,1,0.69286,36,1,0.9607,1,0.9607,4,0.96071,23.0,0.96036
14,0,0.05,1,0.82143,36,14,0.96071,17,0.96071,267,0.95808,23.0,0.96036
15,0,0.05,1,0.95,36,15,0.96071,16,0.96062,221,0.96071,23.0,0.96036
16,0,0.05,2,0.05,36,16,0.96071,15,0.95774,221,0.96071,23.0,0.96036
17,0,0.05,2,0.17857,36,22,0.96071,37,0.95808,223,0.96071,23.0,0.96036
18,0,0.05,2,0.30714,36,16,0.96071,16,0.95774,222,0.96071,23.0,0.96036
19,0,0.05,2,0.43571,36,22,0.96071,37,0.95808,268,0.95808,23.0,0.96036
20,0,0.05,2,0.56429,36,17,0.96402,16,0.95808,265,0.95808,23.0,0.96036
21,0,0.05,2,0.69286,36,1,0.96071,1,0.96071,4,0.96071,23.0,0.96036
22,0,0.05,2,0.82143,36,15,0.96071,15,0.96071,267,0.95808,23.0,0.96036
23,0,0.05,2,0.95,36,14,0.96071,16,0.96071,221,0.96071,23.0,0.96036
24,0,0.05,3,0.05,36,21,0.96071,35,0.95808,220,0.96071,23.0,0.96036
25,0,0.05,3,0.17857,36,15,0.96071,18,0.96284,221,0.96071,23.0,0.96036
26,0,0.05,3,0.30714,36,22,0.96071,35,0.95808,220,0.96071,23.0,0.96036
