,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,f-score
0,0,0,0.05,0,0.05,0,1.0,1.0,1.0,1.0,0.03385
1,0,0,0.05,0,0.17857,0,1.0,1.0,1.0,1.0,0.03385
2,0,0,0.05,0,0.30714,0,1.0,1.0,1.0,1.0,0.03385
3,0,0,0.05,0,0.43571,0,1.0,1.0,1.0,1.0,0.03438
4,0,0,0.05,0,0.56429,0,1.0,1.0,1.0,1.0,0.03438
5,0,0,0.05,0,0.69286,0,1.0,1.0,1.0,1.0,0.0
6,0,0,0.05,0,0.82143,0,1.0,1.0,1.0,1.0,0.0
7,0,0,0.05,0,0.95,0,1.0,1.0,1.0,1.0,0.0
8,0,0,0.05,1,0.05,0,1.0,1.0,1.0,1.0,0.04511
9,0,0,0.05,1,0.17857,0,1.0,1.0,1.0,1.0,0.04511
10,0,0,0.05,1,0.30714,0,1.0,1.0,1.0,1.0,0.04511
11,0,0,0.05,1,0.43571,0,1.0,1.0,1.0,1.0,0.0491
12,0,0,0.05,1,0.56429,0,1.0,1.0,1.0,1.0,0.0491
13,0,0,0.05,1,0.69286,0,1.0,1.0,1.0,1.0,0.0
14,0,0,0.05,1,0.82143,0,1.0,1.0,1.0,1.0,0.0
15,0,0,0.05,1,0.95,0,1.0,1.0,1.0,1.0,0.0
16,0,0,0.05,2,0.05,0,0.0,0.0,0.0,0.0,0.0
17,0,0,0.05,2,0.17857,0,0.0,0.0,0.0,0.0,0.0
18,0,0,0.05,2,0.30714,0,0.0,0.0,0.0,0.0,0.0
19,0,0,0.05,2,0.43571,0,0.0,0.0,0.0,0.0,0.0
20,0,0,0.05,2,0.56429,0,0.0,0.0,0.0,0.0,0.0
21,0,0,0.05,2,0.69286,0,0.0,0.0,0.0,0.0,0.0
22,0,0,0.05,2,0.82143,0,0.0,0.0,0.0,0.0,0.0
23,0,0,0.05,2,0.95,0,0.0,0.0,0.0,0.0,0.0
24,0,0,0.05,3,0.05,0,1.0,1.0,1.0,1.0,0.04511
25,0,0,0.05,3,0.17857,0,1.0,1.0,1.0,1.0,0.04511
26,0,0,0.05,3,0.30714,0,1.0,1.0,1.0,1.0,0.04511
27,0,0,0.05,3,0.43571,0,1.0,1.0,1.0,1.0,0.0491
28,0,0,0.05,3,0.56429,0,1.0,1.0,1.0,1.0,0.0491
29,0,0,0.05,3,0.69286,0,1.0,1.0,1.0,1.0,0.0
30,0,0,0.05,3,0.82143,0,1.0,1.0,1.0,1.0,0.0
31,0,0,0.05,3,0.95,0,1.0,1.0,1.0,1.0,0.0
32,0,0,0.17857,0,0.05,0,1.0,1.0,1.0,1.0,0.03385
33,0,0,0.17857,0,0.17857,0,1.0,1.0,1.0,1.0,0.03385
34,0,0,0.17857,0,0.30714,0,1.0,1.0,1.0,1.0,0.03385
35,0,0,0.17857,0,0.43571,0,1.0,1.0,1.0,1.0,0.03438
36,0,0,0.17857,0,0.56429,0,1.0,1.0,1.0,1.0,0.03438
37,0,0,0.17857,0,0.69286,0,1.0,1.0,1.0,1.0,0.0
38,0,0,0.17857,0,0.82143,0,1.0,1.0,1.0,1.0,0.0
39,0,0,0.17857,0,0.95,0,1.0,1.0,1.0,1.0,0.0
40,0,0,0.17857,1,0.05,0,1.0,1.0,1.0,1.0,0.04511
41,0,0,0.17857,1,0.17857,0,1.0,1.0,1.0,1.0,0.04511
42,0,0,0.17857,1,0.30714,0,1.0,1.0,1.0,1.0,0.04511
43,0,0,0.17857,1,0.43571,0,1.0,1.0,1.0,1.0,0.0491
44,0,0,0.17857,1,0.56429,0,1.0,1.0,1.0,1.0,0.0491
45,0,0,0.17857,1,0.69286,0,1.0,1.0,1.0,1.0,0.0
46,0,0,0.17857,1,0.82143,0,1.0,1.0,1.0,1.0,0.0
