naive parameter ranking algorithm statistics
stats for f-score goal: 0.8
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 1.0
ranking algorithm iterations q3: 4.0
ranking algorithm f-score q1: 0.837
ranking algorithm f-score q2: 0.90211
ranking algorithm f-score q3: 0.95766
ranking algorithm failures: 0
grid search iterations q1: 1.0
grid search iterations q2: 2.0
grid search iterations q3: 4.0
grid search f-score q1: 0.84767
grid search f-score q2: 0.95538
grid search f-score q3: 0.96545
stats for f-score goal: 0.9
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 4.0
ranking algorithm iterations q3: 11.0
ranking algorithm f-score q1: 0.90963
ranking algorithm f-score q2: 0.94662
ranking algorithm f-score q3: 0.95766
ranking algorithm failures: 0
grid search iterations q1: 1.0
grid search iterations q2: 3.0
grid search iterations q3: 5.0
grid search f-score q1: 0.95141
grid search f-score q2: 0.95775
grid search f-score q3: 0.97063
stats for f-score goal: 0.95
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 12.0
ranking algorithm iterations q3: 12.0
ranking algorithm f-score q1: 0.9564
ranking algorithm f-score q2: 0.96181
ranking algorithm f-score q3: 0.96469
ranking algorithm failures: 0
grid search iterations q1: 2.0
grid search iterations q2: 5.0
grid search iterations q3: 8.5
grid search f-score q1: 0.95596
grid search f-score q2: 0.96206
grid search f-score q3: 0.97063
stats for f-score goal: 0.98
ranking algorithm iterations q1: 14.0
ranking algorithm iterations q2: 14.0
ranking algorithm iterations q3: 14.5
ranking algorithm f-score q1: 0.98497
ranking algorithm f-score q2: 0.98576
ranking algorithm f-score q3: 0.98592
ranking algorithm failures: 0
grid search iterations q1: 18.0
grid search iterations q2: 46.0
grid search iterations q3: 70.5
grid search f-score q1: 0.98428
grid search f-score q2: 0.98428
grid search f-score q3: 0.98586
stats for f-score goal: 0.99
ranking algorithm iterations q1: 27.0
ranking algorithm iterations q2: 27.0
ranking algorithm iterations q3: 27.0
ranking algorithm f-score q1: 0.99307
ranking algorithm f-score q2: 0.99307
ranking algorithm f-score q3: 0.99307
ranking algorithm failures: 0
grid search iterations q1: 130.0
grid search iterations q2: 256.5
grid search iterations q3: 384.5
grid search f-score q1: 0.99307
grid search f-score q2: 0.99307
grid search f-score q3: 0.99307
