,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,0.8,4,0.87156,2.0,0.94591
1,0,0.05,0,0.17857,0.8,1,0.87156,2.0,0.94591
2,0,0.05,0,0.30714,0.8,1,0.88963,2.0,0.94591
3,0,0.05,0,0.43571,0.8,1,0.94729,2.0,0.94591
4,0,0.05,0,0.56429,0.8,1,0.96232,2.0,0.94591
5,0,0.05,0,0.69286,0.8,1,0.98179,2.0,0.94591
6,0,0.05,0,0.82143,0.8,1,0.95567,2.0,0.94591
7,0,0.05,0,0.95,0.8,5,0.87156,2.0,0.94591
8,0,0.05,1,0.05,0.8,4,0.87794,2.0,0.94591
9,0,0.05,1,0.17857,0.8,1,0.87794,2.0,0.94591
10,0,0.05,1,0.30714,0.8,1,0.895,2.0,0.94591
11,0,0.05,1,0.43571,0.8,1,0.95356,2.0,0.94591
12,0,0.05,1,0.56429,0.8,1,0.97928,2.0,0.94591
13,0,0.05,1,0.69286,0.8,1,0.99307,2.0,0.94591
14,0,0.05,1,0.82143,0.8,1,0.95238,2.0,0.94591
15,0,0.05,1,0.95,0.8,2,0.80504,2.0,0.94591
16,0,0.05,2,0.05,0.8,9,0.88807,2.0,0.94591
17,0,0.05,2,0.17857,0.8,8,0.83558,2.0,0.94591
18,0,0.05,2,0.30714,0.8,2,0.80054,2.0,0.94591
19,0,0.05,2,0.43571,0.8,2,0.92609,2.0,0.94591
20,0,0.05,2,0.56429,0.8,2,0.95596,2.0,0.94591
21,0,0.05,2,0.69286,0.8,2,0.97063,2.0,0.94591
22,0,0.05,2,0.82143,0.8,2,0.95766,2.0,0.94591
23,0,0.05,2,0.95,0.8,2,0.80504,2.0,0.94591
24,0,0.05,3,0.05,0.8,8,0.82628,2.0,0.94591
25,0,0.05,3,0.17857,0.8,8,0.88974,2.0,0.94591
26,0,0.05,3,0.30714,0.8,2,0.80054,2.0,0.94591
27,0,0.05,3,0.43571,0.8,2,0.92609,2.0,0.94591
28,0,0.05,3,0.56429,0.8,2,0.95596,2.0,0.94591
29,0,0.05,3,0.69286,0.8,2,0.97063,2.0,0.94591
30,0,0.05,3,0.82143,0.8,2,0.95766,2.0,0.94591
31,0,0.05,3,0.95,0.8,2,0.80504,2.0,0.94591
32,0,0.17857,0,0.05,0.8,4,0.8654,2.0,0.94591
33,0,0.17857,0,0.17857,0.8,2,0.8654,2.0,0.94591
34,0,0.17857,0,0.30714,0.8,2,0.88136,2.0,0.94591
35,0,0.17857,0,0.43571,0.8,2,0.95156,2.0,0.94591
36,0,0.17857,0,0.56429,0.8,2,0.96714,2.0,0.94591
37,0,0.17857,0,0.69286,0.8,2,0.98428,2.0,0.94591
38,0,0.17857,0,0.82143,0.8,2,0.95785,2.0,0.94591
39,0,0.17857,0,0.95,0.8,2,0.80673,2.0,0.94591
40,0,0.17857,1,0.05,0.8,9,0.88954,2.0,0.94591
41,0,0.17857,1,0.17857,0.8,8,0.85255,2.0,0.94591
42,0,0.17857,1,0.30714,0.8,2,0.80054,2.0,0.94591
43,0,0.17857,1,0.43571,0.8,2,0.92609,2.0,0.94591
44,0,0.17857,1,0.56429,0.8,2,0.95596,2.0,0.94591
45,0,0.17857,1,0.69286,0.8,2,0.97063,2.0,0.94591
46,0,0.17857,1,0.82143,0.8,2,0.95766,2.0,0.94591
47,0,0.17857,1,0.95,0.8,2,0.80504,2.0,0.94591
48,0,0.17857,2,0.05,0.8,9,0.88807,2.0,0.94591
49,0,0.17857,2,0.17857,0.8,8,0.83558,2.0,0.94591
50,0,0.17857,2,0.30714,0.8,2,0.80054,2.0,0.94591
51,0,0.17857,2,0.43571,0.8,2,0.92609,2.0,0.94591
52,0,0.17857,2,0.56429,0.8,2,0.95596,2.0,0.94591
53,0,0.17857,2,0.69286,0.8,2,0.97063,2.0,0.94591
54,0,0.17857,2,0.82143,0.8,2,0.95766,2.0,0.94591
55,0,0.17857,2,0.95,0.8,2,0.80504,2.0,0.94591
56,0,0.17857,3,0.05,0.8,8,0.82628,2.0,0.94591
57,0,0.17857,3,0.17857,0.8,8,0.88974,2.0,0.94591
58,0,0.17857,3,0.30714,0.8,2,0.80054,2.0,0.94591
