,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,0.8,10,0.87156,2.0,0.95538
1,0,0.05,0,0.17857,0.8,2,0.87156,2.0,0.95538
2,0,0.05,0,0.30714,0.8,2,0.88963,2.0,0.95538
3,0,0.05,0,0.43571,0.8,2,0.94729,2.0,0.95538
4,0,0.05,0,0.56429,0.8,1,0.93251,2.0,0.95538
5,0,0.05,0,0.69286,0.8,1,0.96296,2.0,0.95538
6,0,0.05,0,0.82143,0.8,1,0.9445,2.0,0.95538
7,0,0.05,0,0.95,0.8,11,0.87156,2.0,0.95538
8,0,0.05,1,0.05,0.8,10,0.87794,2.0,0.95538
9,0,0.05,1,0.17857,0.8,2,0.87794,2.0,0.95538
10,0,0.05,1,0.30714,0.8,2,0.895,2.0,0.95538
11,0,0.05,1,0.43571,0.8,2,0.95356,2.0,0.95538
12,0,0.05,1,0.56429,0.8,1,0.94237,2.0,0.95538
13,0,0.05,1,0.69286,0.8,1,0.96761,2.0,0.95538
14,0,0.05,1,0.82143,0.8,1,0.94587,2.0,0.95538
15,0,0.05,1,0.95,0.8,5,0.8179,2.0,0.95538
16,0,0.05,2,0.05,0.8,5,0.88807,2.0,0.95538
17,0,0.05,2,0.17857,0.8,4,0.83558,2.0,0.95538
18,0,0.05,2,0.30714,0.8,4,0.86232,2.0,0.95538
19,0,0.05,2,0.43571,0.8,3,0.8562,2.0,0.95538
20,0,0.05,2,0.56429,0.8,1,0.93681,2.0,0.95538
21,0,0.05,2,0.69286,0.8,1,0.96198,2.0,0.95538
22,0,0.05,2,0.82143,0.8,1,0.94438,2.0,0.95538
23,0,0.05,2,0.95,0.8,5,0.81708,2.0,0.95538
24,0,0.05,3,0.05,0.8,5,0.82628,2.0,0.95538
25,0,0.05,3,0.17857,0.8,5,0.88974,2.0,0.95538
26,0,0.05,3,0.30714,0.8,5,0.90211,2.0,0.95538
27,0,0.05,3,0.43571,0.8,3,0.84767,2.0,0.95538
28,0,0.05,3,0.56429,0.8,1,0.93325,2.0,0.95538
29,0,0.05,3,0.69286,0.8,1,0.96198,2.0,0.95538
30,0,0.05,3,0.82143,0.8,1,0.94438,2.0,0.95538
31,0,0.05,3,0.95,0.8,5,0.8133,2.0,0.95538
32,0,0.17857,0,0.05,0.8,10,0.8654,2.0,0.95538
33,0,0.17857,0,0.17857,0.8,5,0.81796,2.0,0.95538
34,0,0.17857,0,0.30714,0.8,5,0.8359,2.0,0.95538
35,0,0.17857,0,0.43571,0.8,1,0.83809,2.0,0.95538
36,0,0.17857,0,0.56429,0.8,1,0.93758,2.0,0.95538
37,0,0.17857,0,0.69286,0.8,1,0.96518,2.0,0.95538
38,0,0.17857,0,0.82143,0.8,1,0.94568,2.0,0.95538
39,0,0.17857,0,0.95,0.8,5,0.80271,2.0,0.95538
40,0,0.17857,1,0.05,0.8,5,0.88954,2.0,0.95538
41,0,0.17857,1,0.17857,0.8,4,0.85255,2.0,0.95538
42,0,0.17857,1,0.30714,0.8,4,0.87907,2.0,0.95538
43,0,0.17857,1,0.43571,0.8,1,0.86706,2.0,0.95538
44,0,0.17857,1,0.56429,0.8,1,0.95422,2.0,0.95538
