,pf,block clean threshold,weighting schema,matching threshold,f-score
0,0,0.05,0,0.05,0.04259
1,0,0.05,0,0.275,0.11786
2,0,0.05,0,0.5,0.90226
3,0,0.05,0,0.725,0.96484
4,0,0.05,0,0.95,0.7843
5,0,0.05,1,0.05,0.02598
6,0,0.05,1,0.275,0.09271
7,0,0.05,1,0.5,0.91441
8,0,0.05,1,0.725,0.97002
9,0,0.05,1,0.95,0.78582
10,0,0.05,2,0.05,0.02557
11,0,0.05,2,0.275,0.08989
12,0,0.05,2,0.5,0.90578
13,0,0.05,2,0.725,0.96515
14,0,0.05,2,0.95,0.78421
15,0,0.05,3,0.05,0.02137
16,0,0.05,3,0.275,0.05906
17,0,0.05,3,0.5,0.89972
18,0,0.05,3,0.725,0.96515
19,0,0.05,3,0.95,0.78421
20,0,0.275,0,0.05,0.08797
21,0,0.275,0,0.275,0.41717
22,0,0.275,0,0.5,0.93273
23,0,0.275,0,0.725,0.97321
24,0,0.275,0,0.95,0.78847
25,0,0.275,1,0.05,0.70126
26,0,0.275,1,0.275,0.87681
27,0,0.275,1,0.5,0.95474
28,0,0.275,1,0.725,0.97953
29,0,0.275,1,0.95,0.79538
30,0,0.275,2,0.05,0.65586
31,0,0.275,2,0.275,0.85914
32,0,0.275,2,0.5,0.95096
33,0,0.275,2,0.725,0.97883
34,0,0.275,2,0.95,0.79397
35,0,0.275,3,0.05,0.54426
36,0,0.275,3,0.275,0.78288
37,0,0.275,3,0.5,0.945
38,0,0.275,3,0.725,0.97411
39,0,0.275,3,0.95,0.7932
40,0,0.5,0,0.05,0.64548
41,0,0.5,0,0.275,0.83252
42,0,0.5,0,0.5,0.96512
43,0,0.5,0,0.725,0.98474
44,0,0.5,0,0.95,0.80103
45,0,0.5,1,0.05,0.88883
46,0,0.5,1,0.275,0.91919
47,0,0.5,1,0.5,0.97357
48,0,0.5,1,0.725,0.98611
49,0,0.5,1,0.95,0.81846
50,0,0.5,2,0.05,0.88758
51,0,0.5,2,0.275,0.91856
52,0,0.5,2,0.5,0.97319
53,0,0.5,2,0.725,0.98577
54,0,0.5,2,0.95,0.8175
55,0,0.5,3,0.05,0.83033
56,0,0.5,3,0.275,0.90168
57,0,0.5,3,0.5,0.97065
58,0,0.5,3,0.725,0.98597
59,0,0.5,3,0.95,0.81318
60,0,0.725,0,0.05,0.71944
61,0,0.725,0,0.275,0.87744
62,0,0.725,0,0.5,0.9569
63,0,0.725,0,0.725,0.98353
64,0,0.725,0,0.95,0.80733
65,0,0.725,1,0.05,0.61723
66,0,0.725,1,0.275,0.80966
67,0,0.725,1,0.5,0.95187
68,0,0.725,1,0.725,0.97858
69,0,0.725,1,0.95,0.80945
70,0,0.725,2,0.05,0.0
71,0,0.725,2,0.275,0.0
72,0,0.725,2,0.5,0.0
73,0,0.725,2,0.725,0.0
74,0,0.725,2,0.95,0.0
75,0,0.725,3,0.05,0.61723
76,0,0.725,3,0.275,0.80966
77,0,0.725,3,0.5,0.95187
78,0,0.725,3,0.725,0.97858
79,0,0.725,3,0.95,0.80945
80,0,0.95,0,0.05,0.71944
81,0,0.95,0,0.275,0.87744
82,0,0.95,0,0.5,0.9569
83,0,0.95,0,0.725,0.98353
84,0,0.95,0,0.95,0.80733
85,0,0.95,1,0.05,0.61723
86,0,0.95,1,0.275,0.80966
87,0,0.95,1,0.5,0.95187
88,0,0.95,1,0.725,0.97858
89,0,0.95,1,0.95,0.80945
90,0,0.95,2,0.05,0.0
91,0,0.95,2,0.275,0.0
92,0,0.95,2,0.5,0.0
93,0,0.95,2,0.725,0.0
94,0,0.95,2,0.95,0.0
95,0,0.95,3,0.05,0.61723
96,0,0.95,3,0.275,0.80966
97,0,0.95,3,0.5,0.95187
98,0,0.95,3,0.725,0.97858
99,0,0.95,3,0.95,0.80945
100,1,0.05,0,0.05,0.74913
101,1,0.05,0,0.275,0.87934
102,1,0.05,0,0.5,0.95203
103,1,0.05,0,0.725,0.98146
104,1,0.05,0,0.95,0.80074
105,1,0.05,1,0.05,0.74941
106,1,0.05,1,0.275,0.88444
107,1,0.05,1,0.5,0.95669
108,1,0.05,1,0.725,0.98667
109,1,0.05,1,0.95,0.77539
110,1,0.05,2,0.05,0.73774
111,1,0.05,2,0.275,0.0
112,1,0.05,2,0.5,0.96353
113,1,0.05,2,0.725,0.99029
114,1,0.05,2,0.95,0.0
115,1,0.05,3,0.05,0.70081
116,1,0.05,3,0.275,0.85845
117,1,0.05,3,0.5,0.9452
118,1,0.05,3,0.725,0.9863
119,1,0.05,3,0.95,0.88889
120,1,0.275,0,0.05,0.0
121,1,0.275,0,0.275,0.0
122,1,0.275,0,0.5,0.0
123,1,0.275,0,0.725,0.0
124,1,0.275,0,0.95,0.0
125,1,0.275,1,0.05,0.0
126,1,0.275,1,0.275,0.0
127,1,0.275,1,0.5,0.0
128,1,0.275,1,0.725,0.0
129,1,0.275,1,0.95,0.0
130,1,0.275,2,0.05,0.0
131,1,0.275,2,0.275,0.0
132,1,0.275,2,0.5,0.0
133,1,0.275,2,0.725,0.0
134,1,0.275,2,0.95,0.0
135,1,0.275,3,0.05,0.0
136,1,0.275,3,0.275,0.0
137,1,0.275,3,0.5,0.0
138,1,0.275,3,0.725,0.0
139,1,0.275,3,0.95,0.0
140,1,0.5,0,0.05,0.0
141,1,0.5,0,0.275,0.0
142,1,0.5,0,0.5,0.0
143,1,0.5,0,0.725,0.0
144,1,0.5,0,0.95,0.0
145,1,0.5,1,0.05,0.0
146,1,0.5,1,0.275,0.0
147,1,0.5,1,0.5,0.0
148,1,0.5,1,0.725,0.0
149,1,0.5,1,0.95,0.0
150,1,0.5,2,0.05,0.0
151,1,0.5,2,0.275,0.0
152,1,0.5,2,0.5,0.0
153,1,0.5,2,0.725,0.0
154,1,0.5,2,0.95,0.0
155,1,0.5,3,0.05,0.0
156,1,0.5,3,0.275,0.0
157,1,0.5,3,0.5,0.0
158,1,0.5,3,0.725,0.0
159,1,0.5,3,0.95,0.0
160,1,0.725,0,0.05,0.0
161,1,0.725,0,0.275,0.0
162,1,0.725,0,0.5,0.0
163,1,0.725,0,0.725,0.0
164,1,0.725,0,0.95,0.0
165,1,0.725,1,0.05,0.0
166,1,0.725,1,0.275,0.0
167,1,0.725,1,0.5,0.0
168,1,0.725,1,0.725,0.0
169,1,0.725,1,0.95,0.0
170,1,0.725,2,0.05,0.0
171,1,0.725,2,0.275,0.0
172,1,0.725,2,0.5,0.0
173,1,0.725,2,0.725,0.0
174,1,0.725,2,0.95,0.0
175,1,0.725,3,0.05,0.0
176,1,0.725,3,0.275,0.0
177,1,0.725,3,0.5,0.0
178,1,0.725,3,0.725,0.0
179,1,0.725,3,0.95,0.0
180,1,0.95,0,0.05,0.0
181,1,0.95,0,0.275,0.0
182,1,0.95,0,0.5,0.0
183,1,0.95,0,0.725,0.0
184,1,0.95,0,0.95,0.0
185,1,0.95,1,0.05,0.0
186,1,0.95,1,0.275,0.0
187,1,0.95,1,0.5,0.0
188,1,0.95,1,0.725,0.0
189,1,0.95,1,0.95,0.0
190,1,0.95,2,0.05,0.0
191,1,0.95,2,0.275,0.0
192,1,0.95,2,0.5,0.0
193,1,0.95,2,0.725,0.0
194,1,0.95,2,0.95,0.0
195,1,0.95,3,0.05,0.0
196,1,0.95,3,0.275,0.0
197,1,0.95,3,0.5,0.0
198,1,0.95,3,0.725,0.0
199,1,0.95,3,0.95,0.0
