,pf,block clean threshold,weighting schema,matching threshold,f-score
0,0,0.05,0,0.05,0.04259
1,0,0.05,0,0.17857,0.11566
2,0,0.05,0,0.30714,0.11818
3,0,0.05,0,0.43571,0.7905
4,0,0.05,0,0.56429,0.93251
5,0,0.05,0,0.69286,0.96296
6,0,0.05,0,0.82143,0.9445
7,0,0.05,0,0.95,0.7843
8,0,0.05,1,0.05,0.02598
9,0,0.05,1,0.17857,0.09149
10,0,0.05,1,0.30714,0.09286
11,0,0.05,1,0.43571,0.7942
12,0,0.05,1,0.56429,0.94237
13,0,0.05,1,0.69286,0.96761
14,0,0.05,1,0.82143,0.94587
15,0,0.05,1,0.95,0.78582
16,0,0.05,2,0.05,0.02557
17,0,0.05,2,0.17857,0.08872
18,0,0.05,2,0.30714,0.09004
19,0,0.05,2,0.43571,0.78708
20,0,0.05,2,0.56429,0.93681
21,0,0.05,2,0.69286,0.96198
22,0,0.05,2,0.82143,0.94438
23,0,0.05,2,0.95,0.78421
24,0,0.05,3,0.05,0.02137
25,0,0.05,3,0.17857,0.05842
26,0,0.05,3,0.30714,0.05912
27,0,0.05,3,0.43571,0.76881
28,0,0.05,3,0.56429,0.93325
29,0,0.05,3,0.69286,0.96198
30,0,0.05,3,0.82143,0.94438
31,0,0.05,3,0.95,0.78421
32,0,0.17857,0,0.05,0.06886
33,0,0.17857,0,0.17857,0.221
34,0,0.17857,0,0.30714,0.28553
35,0,0.17857,0,0.43571,0.83809
36,0,0.17857,0,0.56429,0.93758
37,0,0.17857,0,0.69286,0.96518
38,0,0.17857,0,0.82143,0.94568
39,0,0.17857,0,0.95,0.78554
40,0,0.17857,1,0.05,0.18683
41,0,0.17857,1,0.17857,0.57304
42,0,0.17857,1,0.30714,0.5983
43,0,0.17857,1,0.43571,0.86706
44,0,0.17857,1,0.56429,0.95422
45,0,0.17857,1,0.69286,0.97349
46,0,0.17857,1,0.82143,0.94744
47,0,0.17857,1,0.95,0.78733
48,0,0.17857,2,0.05,0.15377
49,0,0.17857,2,0.17857,0.43685
50,0,0.17857,2,0.30714,0.45299
51,0,0.17857,2,0.43571,0.8562
52,0,0.17857,2,0.56429,0.94757
53,0,0.17857,2,0.69286,0.96794
54,0,0.17857,2,0.82143,0.94571
55,0,0.17857,2,0.95,0.7855
56,0,0.17857,3,0.05,0.12448
57,0,0.17857,3,0.17857,0.31256
58,0,0.17857,3,0.30714,0.32187
59,0,0.17857,3,0.43571,0.84767
60,0,0.17857,3,0.56429,0.94595
61,0,0.17857,3,0.69286,0.96773
62,0,0.17857,3,0.82143,0.94571
63,0,0.17857,3,0.95,0.7855
64,0,0.30714,0,0.05,0.25016
65,0,0.30714,0,0.17857,0.65309
66,0,0.30714,0,0.30714,0.67771
67,0,0.30714,0,0.43571,0.91697
68,0,0.30714,0,0.56429,0.95538
69,0,0.30714,0,0.69286,0.97327
70,0,0.30714,0,0.82143,0.94829
71,0,0.30714,0,0.95,0.78903
72,0,0.30714,1,0.05,0.71419
73,0,0.30714,1,0.17857,0.85255
74,0,0.30714,1,0.30714,0.87907
75,0,0.30714,1,0.43571,0.93699
76,0,0.30714,1,0.56429,0.96597
77,0,0.30714,1,0.69286,0.97962
78,0,0.30714,1,0.82143,0.95243
79,0,0.30714,1,0.95,0.79617
80,0,0.30714,2,0.05,0.66656
81,0,0.30714,2,0.17857,0.83558
82,0,0.30714,2,0.30714,0.86232
83,0,0.30714,2,0.43571,0.93313
84,0,0.30714,2,0.56429,0.96545
85,0,0.30714,2,0.69286,0.97892
86,0,0.30714,2,0.82143,0.95126
87,0,0.30714,2,0.95,0.79475
88,0,0.30714,3,0.05,0.55537
89,0,0.30714,3,0.17857,0.76355
90,0,0.30714,3,0.30714,0.78732
91,0,0.30714,3,0.43571,0.9253
92,0,0.30714,3,0.56429,0.95995
93,0,0.30714,3,0.69286,0.97403
94,0,0.30714,3,0.82143,0.95041
95,0,0.30714,3,0.95,0.79387
96,0,0.43571,0,0.05,0.6473
97,0,0.43571,0,0.17857,0.81796
98,0,0.43571,0,0.30714,0.8359
99,0,0.43571,0,0.43571,0.95285
100,0,0.43571,0,0.56429,0.9723
