,q size,pf,block clean threshold,weighting schema,matching threshold,cur_f
0,0,0,0.05,2,0.65,0.0491
1,0,0,0.35,2,0.05,0.04511
2,0,0,0.35,2,0.65,0.0491
3,0,0,0.35,0,0.65,0.03438
4,0,0,0.65,2,0.65,0.0491
5,0,0,0.95,2,0.65,0.0491
6,0,0,0.35,2,0.95,0.0
7,0,0,0.35,2,0.35,0.0491
8,0,1,0.35,2,0.65,0.73023
9,0,1,0.35,3,0.65,0.73023
10,0,1,0.35,1,0.65,0.73023
11,0,1,0.35,0,0.65,0.73023
12,5,1,0.35,2,0.65,0.78171
13,4,1,0.35,2,0.65,0.77884
14,5,0,0.05,2,0.95,0.0
15,5,1,0.05,2,0.95,0.0
16,5,0,0.05,2,0.65,0.9316
