,q size,pf,block clean threshold,weighting schema,matching threshold,f-score
0,0,0,0.05,0,0.05,0.04259
1,0,0,0.05,0,0.35,0.1211
2,0,0,0.05,0,0.65,0.94867
3,0,0,0.05,0,0.95,0.7843
4,0,0,0.05,1,0.05,0.02596
5,0,0,0.05,1,0.35,0.09302
6,0,0,0.05,1,0.65,0.95637
7,0,0,0.05,1,0.95,0.78582
8,0,0,0.05,2,0.05,0.02555
9,0,0,0.05,2,0.35,0.0902
10,0,0,0.05,2,0.65,0.95063
11,0,0,0.05,2,0.95,0.78421
12,0,0,0.05,3,0.05,0.02137
13,0,0,0.05,3,0.35,0.05925
14,0,0,0.05,3,0.65,0.9498
15,0,0,0.05,3,0.95,0.78421
16,0,0,0.35,0,0.05,0.16573
17,0,0,0.35,0,0.35,0.39982
18,0,0,0.35,0,0.65,0.95251
19,0,0,0.35,0,0.95,0.78464
20,0,0,0.35,1,0.05,0.25867
21,0,0,0.35,1,0.35,0.66413
22,0,0,0.35,1,0.65,0.9716
23,0,0,0.35,1,0.95,0.7911
24,0,0,0.35,2,0.05,0.15251
25,0,0,0.35,2,0.35,0.43826
26,0,0,0.35,2,0.65,0.95669
27,0,0,0.35,2,0.95,0.78574
28,0,0,0.35,3,0.05,0.10902
29,0,0,0.35,3,0.35,0.33745
30,0,0,0.35,3,0.65,0.95585
31,0,0,0.35,3,0.95,0.78552
32,0,0,0.65,0,0.05,0.60362
33,0,0,0.65,0,0.35,0.82699
34,0,0,0.65,0,0.65,0.97782
35,0,0,0.65,0,0.95,0.8027
36,0,0,0.65,1,0.05,0.79354
37,0,0,0.65,1,0.35,0.90818
38,0,0,0.65,1,0.65,0.97764
39,0,0,0.65,1,0.95,0.80724
40,0,0,0.65,2,0.05,0.70114
41,0,0,0.65,2,0.35,0.87704
42,0,0,0.65,2,0.65,0.9795
43,0,0,0.65,2,0.95,0.80529
44,0,0,0.65,3,0.05,0.53485
45,0,0,0.65,3,0.35,0.79421
46,0,0,0.65,3,0.65,0.96758
47,0,0,0.65,3,0.95,0.7959
48,0,0,0.95,0,0.05,0.6968
49,0,0,0.95,0,0.35,0.86909
50,0,0,0.95,0,0.65,0.95792
51,0,0,0.95,0,0.95,0.85238
52,0,0,0.95,1,0.05,0.5478
53,0,0,0.95,1,0.35,0.7122
54,0,0,0.95,1,0.65,0.87691
55,0,0,0.95,1,0.95,0.83012
56,0,0,0.95,2,0.05,0.0
57,0,0,0.95,2,0.35,0.0
58,0,0,0.95,2,0.65,0.0
59,0,0,0.95,2,0.95,0.0
60,0,0,0.95,3,0.05,0.5478
61,0,0,0.95,3,0.35,0.7122
62,0,0,0.95,3,0.65,0.87691
63,0,0,0.95,3,0.95,0.83012
64,0,1,0.05,0,0.05,0.76177
65,0,1,0.05,0,0.35,0.89142
66,0,1,0.05,0,0.65,0.97939
67,0,1,0.05,0,0.95,0.78698
68,0,1,0.05,1,0.05,0.83895
69,0,1,0.05,1,0.35,0.93435
70,0,1,0.05,1,0.65,0.98133
71,0,1,0.05,1,0.95,0.78637
72,0,1,0.05,2,0.05,0.78294
73,0,1,0.05,2,0.35,0.90641
74,0,1,0.05,2,0.65,0.97002
75,0,1,0.05,2,0.95,0.7882
76,0,1,0.05,3,0.05,0.70561
77,0,1,0.05,3,0.35,0.88069
78,0,1,0.05,3,0.65,0.96943
79,0,1,0.05,3,0.95,0.78709
80,0,1,0.35,0,0.05,0.99632
81,0,1,0.35,0,0.35,0.99724
82,0,1,0.35,0,0.65,0.99351
83,0,1,0.35,0,0.95,0.78836
84,0,1,0.35,1,0.05,0.99449
85,0,1,0.35,1,0.35,0.99541
86,0,1,0.35,1,0.65,0.99169
87,0,1,0.35,1,0.95,0.78883
88,0,1,0.35,2,0.05,0.99449
89,0,1,0.35,2,0.35,0.99541
90,0,1,0.35,2,0.65,0.99169
91,0,1,0.35,2,0.95,0.78883
92,0,1,0.35,3,0.05,0.9964
93,0,1,0.35,3,0.35,0.998
94,0,1,0.35,3,0.65,0.99638
95,0,1,0.35,3,0.95,0.81146
96,0,1,0.65,0,0.05,0.99659
97,0,1,0.65,0,0.35,0.99659
98,0,1,0.65,0,0.65,0.99139
99,0,1,0.65,0,0.95,0.78079
100,0,1,0.65,1,0.05,0.99659
101,0,1,0.65,1,0.35,0.99659
102,0,1,0.65,1,0.65,0.99139
103,0,1,0.65,1,0.95,0.78079
104,0,1,0.65,2,0.05,0.99659
105,0,1,0.65,2,0.35,0.99659
106,0,1,0.65,2,0.65,0.99139
107,0,1,0.65,2,0.95,0.78079
108,0,1,0.65,3,0.05,0.99855
109,0,1,0.65,3,0.35,0.99855
110,0,1,0.65,3,0.65,0.9949
111,0,1,0.65,3,0.95,0.79404
112,0,1,0.95,0,0.05,1.0
113,0,1,0.95,0,0.35,1.0
114,0,1,0.95,0,0.65,0.98969
115,0,1,0.95,0,0.95,0.72727
116,0,1,0.95,1,0.05,1.0
117,0,1,0.95,1,0.35,1.0
118,0,1,0.95,1,0.65,0.98969
119,0,1,0.95,1,0.95,0.72727
120,0,1,0.95,2,0.05,1.0
121,0,1,0.95,2,0.35,1.0
122,0,1,0.95,2,0.65,0.98969
123,0,1,0.95,2,0.95,0.72727
124,0,1,0.95,3,0.05,1.0
125,0,1,0.95,3,0.35,1.0
126,0,1,0.95,3,0.65,0.99508
127,0,1,0.95,3,0.95,0.77844
128,4,0,0.05,0,0.05,0.03074
129,4,0,0.05,0,0.35,0.08788
130,4,0,0.05,0,0.65,0.94484
131,4,0,0.05,0,0.95,0.78393
132,4,0,0.05,1,0.05,0.02088
133,4,0,0.05,1,0.35,0.05688
134,4,0,0.05,1,0.65,0.94542
135,4,0,0.05,1,0.95,0.78414
136,4,0,0.05,2,0.05,0.02004
137,4,0,0.05,2,0.35,0.05489
138,4,0,0.05,2,0.65,0.9442
139,4,0,0.05,2,0.95,0.78414
140,4,0,0.05,3,0.05,0.02021
141,4,0,0.05,3,0.35,0.05621
142,4,0,0.05,3,0.65,0.94464
143,4,0,0.05,3,0.95,0.78393
144,4,0,0.35,0,0.05,0.07829
145,4,0,0.35,0,0.35,0.22021
146,4,0,0.35,0,0.65,0.94766
147,4,0,0.35,0,0.95,0.78414
148,4,0,0.35,1,0.05,0.07106
149,4,0,0.35,1,0.35,0.20604
150,4,0,0.35,1,0.65,0.94823
151,4,0,0.35,1,0.95,0.78391
152,4,0,0.35,2,0.05,0.0683
153,4,0,0.35,2,0.35,0.20003
154,4,0,0.35,2,0.65,0.94766
155,4,0,0.35,2,0.95,0.78414
156,4,0,0.35,3,0.05,0.06689
157,4,0,0.35,3,0.35,0.19953
158,4,0,0.35,3,0.65,0.94807
159,4,0,0.35,3,0.95,0.78414
160,4,0,0.65,0,0.05,0.26545
161,4,0,0.65,0,0.35,0.55212
162,4,0,0.65,0,0.65,0.95944
163,4,0,0.65,0,0.95,0.78552
164,4,0,0.65,1,0.05,0.19099
165,4,0,0.65,1,0.35,0.45303
166,4,0,0.65,1,0.65,0.9586
167,4,0,0.65,1,0.95,0.78589
168,4,0,0.65,2,0.05,0.20026
169,4,0,0.65,2,0.35,0.46908
170,4,0,0.65,2,0.65,0.95911
171,4,0,0.65,2,0.95,0.78582
172,4,0,0.65,3,0.05,0.24219
173,4,0,0.65,3,0.35,0.53512
174,4,0,0.65,3,0.65,0.95426
175,4,0,0.65,3,0.95,0.78499
176,4,0,0.95,0,0.05,0.78538
177,4,0,0.95,0,0.35,0.87747
178,4,0,0.95,0,0.65,0.95827
179,4,0,0.95,0,0.95,0.8368
180,4,0,0.95,1,0.05,0.67126
181,4,0,0.95,1,0.35,0.78211
182,4,0,0.95,1,0.65,0.93535
183,4,0,0.95,1,0.95,0.82534
184,4,0,0.95,2,0.05,0.67126
185,4,0,0.95,2,0.35,0.78211
186,4,0,0.95,2,0.65,0.93535
187,4,0,0.95,2,0.95,0.82534
188,4,0,0.95,3,0.05,0.73692
189,4,0,0.95,3,0.35,0.8527
190,4,0,0.95,3,0.65,0.95588
191,4,0,0.95,3,0.95,0.83519
192,4,1,0.05,0,0.05,0.16445
193,4,1,0.05,0,0.35,0.38548
194,4,1,0.05,0,0.65,0.95056
195,4,1,0.05,0,0.95,0.78474
196,4,1,0.05,1,0.05,0.10597
197,4,1,0.05,1,0.35,0.27663
198,4,1,0.05,1,0.65,0.94946
199,4,1,0.05,1,0.95,0.78412
200,4,1,0.05,2,0.05,0.11986
201,4,1,0.05,2,0.35,0.3113
202,4,1,0.05,2,0.65,0.94991
203,4,1,0.05,2,0.95,0.78435
204,4,1,0.05,3,0.05,0.12998
205,4,1,0.05,3,0.35,0.33806
206,4,1,0.05,3,0.65,0.95032
207,4,1,0.05,3,0.95,0.78435
208,4,1,0.35,0,0.05,0.93136
209,4,1,0.35,0,0.35,0.96136
210,4,1,0.35,0,0.65,0.98701
211,4,1,0.35,0,0.95,0.77163
212,4,1,0.35,1,0.05,0.89687
213,4,1,0.35,1,0.35,0.95021
214,4,1,0.35,1,0.65,0.98589
215,4,1,0.35,1,0.95,0.77362
216,4,1,0.35,2,0.05,0.89564
217,4,1,0.35,2,0.35,0.9513
218,4,1,0.35,2,0.65,0.98533
219,4,1,0.35,2,0.95,0.78135
220,4,1,0.35,3,0.05,0.91763
221,4,1,0.35,3,0.35,0.96281
222,4,1,0.35,3,0.65,0.98594
223,4,1,0.35,3,0.95,0.78708
224,4,1,0.65,0,0.05,0.99658
225,4,1,0.65,0,0.35,0.99658
226,4,1,0.65,0,0.65,0.99312
227,4,1,0.65,0,0.95,0.74785
228,4,1,0.65,1,0.05,0.99658
229,4,1,0.65,1,0.35,0.99658
230,4,1,0.65,1,0.65,0.99312
231,4,1,0.65,1,0.95,0.74785
232,4,1,0.65,2,0.05,0.99658
233,4,1,0.65,2,0.35,0.99658
234,4,1,0.65,2,0.65,0.99312
235,4,1,0.65,2,0.95,0.74785
236,4,1,0.65,3,0.05,0.99856
237,4,1,0.65,3,0.35,0.99904
238,4,1,0.65,3,0.65,0.99904
239,4,1,0.65,3,0.95,0.80527
240,4,1,0.95,0,0.05,1.0
241,4,1,0.95,0,0.35,1.0
242,4,1,0.95,0,0.65,0.99145
243,4,1,0.95,0,0.95,0.7579
244,4,1,0.95,1,0.05,1.0
245,4,1,0.95,1,0.35,1.0
246,4,1,0.95,1,0.65,0.99145
247,4,1,0.95,1,0.95,0.7579
248,4,1,0.95,2,0.05,1.0
249,4,1,0.95,2,0.35,1.0
250,4,1,0.95,2,0.65,0.99394
251,4,1,0.95,2,0.95,0.77941
252,4,1,0.95,3,0.05,1.0
253,4,1,0.95,3,0.35,1.0
254,4,1,0.95,3,0.65,1.0
255,4,1,0.95,3,0.95,0.78838
256,5,0,0.05,0,0.05,0.04766
257,5,0,0.05,0,0.35,0.13667
258,5,0,0.05,0,0.65,0.94685
259,5,0,0.05,0,0.95,0.78414
260,5,0,0.05,1,0.05,0.03355
261,5,0,0.05,1,0.35,0.09591
262,5,0,0.05,1,0.65,0.94741
263,5,0,0.05,1,0.95,0.78391
264,5,0,0.05,2,0.05,0.03126
265,5,0,0.05,2,0.35,0.09042
266,5,0,0.05,2,0.65,0.94624
267,5,0,0.05,2,0.95,0.78414
268,5,0,0.05,3,0.05,0.03173
269,5,0,0.05,3,0.35,0.0935
270,5,0,0.05,3,0.65,0.94562
271,5,0,0.05,3,0.95,0.78414
272,5,0,0.35,0,0.05,0.13853
273,5,0,0.35,0,0.35,0.35502
274,5,0,0.35,0,0.65,0.95639
275,5,0,0.35,0,0.95,0.78398
276,5,0,0.35,1,0.05,0.10962
277,5,0,0.35,1,0.35,0.30521
278,5,0,0.35,1,0.65,0.95188
279,5,0,0.35,1,0.95,0.78519
280,5,0,0.35,2,0.05,0.1093
281,5,0,0.35,2,0.35,0.30478
282,5,0,0.35,2,0.65,0.95066
283,5,0,0.35,2,0.95,0.78394
284,5,0,0.35,3,0.05,0.11733
285,5,0,0.35,3,0.35,0.32874
286,5,0,0.35,3,0.65,0.95145
287,5,0,0.35,3,0.95,0.78388
288,5,0,0.65,0,0.05,0.46157
289,5,0,0.65,0,0.35,0.74839
290,5,0,0.65,0,0.65,0.96212
291,5,0,0.65,0,0.95,0.78902
292,5,0,0.65,1,0.05,0.44708
293,5,0,0.65,1,0.35,0.74041
294,5,0,0.65,1,0.65,0.96144
295,5,0,0.65,1,0.95,0.79112
296,5,0,0.65,2,0.05,0.41853
297,5,0,0.65,2,0.35,0.72371
298,5,0,0.65,2,0.65,0.961
299,5,0,0.65,2,0.95,0.7891
300,5,0,0.65,3,0.05,0.46742
301,5,0,0.65,3,0.35,0.75843
302,5,0,0.65,3,0.65,0.96172
303,5,0,0.65,3,0.95,0.78838
304,5,0,0.95,0,0.05,0.69663
