,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
0,0,0,0.05,0,0.05,21285,0.16796,0.07143,0.10526,0.15385,0.28791,0.04259
1,0,0,0.05,0,0.35,21285,0.16796,0.07143,0.10526,0.15385,0.54988,0.12106
2,0,0,0.05,0,0.65,21285,0.16796,0.07143,0.10526,0.15385,0.93034,0.94641
3,0,0,0.05,0,0.95,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.78195
4,0,0,0.05,1,0.05,30598,0.17993,0.11111,0.13333,0.16667,0.22013,0.02595
5,0,0,0.05,1,0.35,30598,0.17993,0.11111,0.13333,0.16667,0.49775,0.09296
6,0,0,0.05,1,0.65,30598,0.17993,0.11111,0.13333,0.16667,0.92063,0.94967
7,0,0,0.05,1,0.95,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.77896
8,0,0,0.05,2,0.05,32077,0.17331,0.10526,0.125,0.15385,0.22137,0.02555
9,0,0,0.05,2,0.35,32077,0.17331,0.10526,0.125,0.15385,0.48384,0.09019
10,0,0,0.05,2,0.65,32077,0.17331,0.10526,0.125,0.15385,0.94222,0.94939
11,0,0,0.05,2,0.95,32077,0.17331,0.10526,0.125,0.15385,0.0,0.78294
12,0,0,0.05,3,0.05,35056,0.15422,0.09091,0.11765,0.14286,0.2053,0.02137
13,0,0,0.05,3,0.35,35056,0.15422,0.09091,0.11765,0.14286,0.41652,0.05925
14,0,0,0.05,3,0.65,35056,0.15422,0.09091,0.11765,0.14286,0.94222,0.94857
15,0,0,0.05,3,0.95,35056,0.15422,0.09091,0.11765,0.14286,0.0,0.78294
16,0,0,0.35,0,0.05,3899,0.36827,0.08013,0.15385,1.0,0.59906,0.16536
17,0,0,0.35,0,0.35,3899,0.36827,0.08013,0.15385,1.0,0.76954,0.39769
18,0,0,0.35,0,0.65,3899,0.36827,0.08013,0.15385,1.0,0.85301,0.94082
19,0,0,0.35,0,0.95,3899,0.36827,0.08013,0.15385,1.0,0.0,0.7726
20,0,0,0.35,1,0.05,2011,0.65333,0.23529,1.0,1.0,0.66177,0.25655
21,0,0,0.35,1,0.35,2011,0.65333,0.23529,1.0,1.0,0.84112,0.65028
