,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,f-score
0,0,0,0.05,0,0.05,1869753,0.12374,0.07143,0.1,0.15,0.04259
1,0,0,0.05,0,0.35,1869753,0.12374,0.07143,0.1,0.15,0.12106
2,0,0,0.05,0,0.65,1869753,0.12374,0.07143,0.1,0.15,0.94641
3,0,0,0.05,0,0.95,1869753,0.12374,0.07143,0.1,0.15,0.78195
4,0,0,0.05,1,0.05,3074393,0.14487,0.11111,0.13333,0.15385,0.02595
5,0,0,0.05,1,0.35,3074393,0.14487,0.11111,0.13333,0.15385,0.09296
6,0,0,0.05,1,0.65,3074393,0.14487,0.11111,0.13333,0.15385,0.94967
7,0,0,0.05,1,0.95,3074393,0.14487,0.11111,0.13333,0.15385,0.77896
8,0,0,0.05,2,0.05,3125686,0.14393,0.11111,0.13333,0.15385,0.02555
9,0,0,0.05,2,0.35,3125686,0.14393,0.11111,0.13333,0.15385,0.09019
10,0,0,0.05,2,0.65,3125686,0.14393,0.11111,0.13333,0.15385,0.94939
11,0,0,0.05,2,0.95,3125686,0.14393,0.11111,0.13333,0.15385,0.78294
12,0,0,0.05,3,0.05,4107909,0.12372,0.09091,0.11111,0.14286,0.02137
13,0,0,0.05,3,0.35,4107909,0.12372,0.09091,0.11111,0.14286,0.05925
14,0,0,0.05,3,0.65,4107909,0.12372,0.09091,0.11111,0.14286,0.94857
15,0,0,0.05,3,0.95,4107909,0.12372,0.09091,0.11111,0.14286,0.78294
16,0,0,0.35,0,0.05,347355,0.17103,0.07692,0.11765,0.18182,0.16537
17,0,0,0.35,0,0.35,347355,0.17103,0.07692,0.11765,0.18182,0.39777
18,0,0,0.35,0,0.65,347355,0.17103,0.07692,0.11765,0.18182,0.94082
19,0,0,0.35,0,0.95,347355,0.17103,0.07692,0.11765,0.18182,0.7726
20,0,0,0.35,1,0.05,115721,0.3347,0.16667,0.23077,0.33333,0.25655
21,0,0,0.35,1,0.35,115721,0.3347,0.16667,0.23077,0.33333,0.65028
22,0,0,0.35,1,0.65,115721,0.3347,0.16667,0.23077,0.33333,0.94198
23,0,0,0.35,1,0.95,115721,0.3347,0.16667,0.23077,0.33333,0.76161
24,0,0,0.35,2,0.05,237299,0.20831,0.1,0.15385,0.22222,0.15237
25,0,0,0.35,2,0.35,237299,0.20831,0.1,0.15385,0.22222,0.43708
26,0,0,0.35,2,0.65,237299,0.20831,0.1,0.15385,0.22222,0.95105
27,0,0,0.35,2,0.95,237299,0.20831,0.1,0.15385,0.22222,0.77995
28,0,0,0.35,3,0.05,374465,0.1769,0.09091,0.125,0.2,0.10895
29,0,0,0.35,3,0.35,374465,0.1769,0.09091,0.125,0.2,0.33678
30,0,0,0.35,3,0.65,374465,0.1769,0.09091,0.125,0.2,0.95043
31,0,0,0.35,3,0.95,374465,0.1769,0.09091,0.125,0.2,0.77995
32,0,0,0.65,0,0.05,38510,0.38124,0.09091,0.16667,1.0,0.55047
33,0,0,0.65,0,0.35,38510,0.38124,0.09091,0.16667,1.0,0.73038
34,0,0,0.65,0,0.65,38510,0.38124,0.09091,0.16667,1.0,0.84489
35,0,0,0.65,0,0.95,38510,0.38124,0.09091,0.16667,1.0,0.67381
36,0,0,0.65,1,0.05,14027,0.80132,0.57143,1.0,1.0,0.65462
