,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
0,0,0.05,0,0.05,21285,0.16796,0.07143,0.10526,0.15385,0.28791,0.04259
1,0,0.05,0,0.1625,21285,0.16796,0.07143,0.10526,0.15385,0.53873,0.11462
2,0,0.05,0,0.275,21285,0.16796,0.07143,0.10526,0.15385,0.54132,0.11783
3,0,0.05,0,0.3875,21285,0.16796,0.07143,0.10526,0.15385,0.84962,0.35055
4,0,0.05,0,0.5,21285,0.16796,0.07143,0.10526,0.15385,0.97414,0.90024
5,0,0.05,0,0.6125,21285,0.16796,0.07143,0.10526,0.15385,0.94222,0.94193
6,0,0.05,0,0.725,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.96247
7,0,0.05,0,0.8375,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.92667
8,0,0.05,0,0.95,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.78195
9,0,0.05,1,0.05,30598,0.17993,0.11111,0.13333,0.16667,0.22013,0.02595
10,0,0.05,1,0.1625,30598,0.17993,0.11111,0.13333,0.16667,0.49553,0.09069
11,0,0.05,1,0.275,30598,0.17993,0.11111,0.13333,0.16667,0.49775,0.09245
12,0,0.05,1,0.3875,30598,0.17993,0.11111,0.13333,0.16667,0.78724,0.26165
13,0,0.05,1,0.5,30598,0.17993,0.11111,0.13333,0.16667,0.96522,0.90834
14,0,0.05,1,0.6125,30598,0.17993,0.11111,0.13333,0.16667,0.93274,0.94593
15,0,0.05,1,0.725,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.96303
16,0,0.05,1,0.8375,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.92352
17,0,0.05,1,0.95,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.77896
18,0,0.05,2,0.05,32077,0.17331,0.10526,0.125,0.15385,0.22137,0.02555
19,0,0.05,2,0.1625,32077,0.17331,0.10526,0.125,0.15385,0.48183,0.08793
20,0,0.05,2,0.275,32077,0.17331,0.10526,0.125,0.15385,0.48384,0.0897
21,0,0.05,2,0.3875,32077,0.17331,0.10526,0.125,0.15385,0.80555,0.25814
22,0,0.05,2,0.5,32077,0.17331,0.10526,0.125,0.15385,0.98723,0.90467
23,0,0.05,2,0.6125,32077,0.17331,0.10526,0.125,0.15385,0.95385,0.94549
24,0,0.05,2,0.725,32077,0.17331,0.10526,0.125,0.15385,0.0,0.96385
25,0,0.05,2,0.8375,32077,0.17331,0.10526,0.125,0.15385,0.0,0.92769
26,0,0.05,2,0.95,32077,0.17331,0.10526,0.125,0.15385,0.0,0.78294
27,0,0.05,3,0.05,35056,0.15422,0.09091,0.11765,0.14286,0.2053,0.02137
28,0,0.05,3,0.1625,35056,0.15422,0.09091,0.11765,0.14286,0.41392,0.0581
29,0,0.05,3,0.275,35056,0.15422,0.09091,0.11765,0.14286,0.4154,0.05904
30,0,0.05,3,0.3875,35056,0.15422,0.09091,0.11765,0.14286,0.80555,0.24699
31,0,0.05,3,0.5,35056,0.15422,0.09091,0.11765,0.14286,0.98723,0.89862
32,0,0.05,3,0.6125,35056,0.15422,0.09091,0.11765,0.14286,0.95385,0.94367
33,0,0.05,3,0.725,35056,0.15422,0.09091,0.11765,0.14286,0.0,0.96385
34,0,0.05,3,0.8375,35056,0.15422,0.09091,0.11765,0.14286,0.0,0.92769
35,0,0.05,3,0.95,35056,0.15422,0.09091,0.11765,0.14286,0.0,0.78294
36,0,0.1625,0,0.05,12132,0.20972,0.07692,0.11111,0.18182,0.38127,0.06752
37,0,0.1625,0,0.1625,12132,0.20972,0.07692,0.11111,0.18182,0.65497,0.18272
38,0,0.1625,0,0.275,12132,0.20972,0.07692,0.11111,0.18182,0.65882,0.18983
39,0,0.1625,0,0.3875,12132,0.20972,0.07692,0.11111,0.18182,0.88363,0.44182
40,0,0.1625,0,0.5,12132,0.20972,0.07692,0.11111,0.18182,0.9697,0.90291
41,0,0.1625,0,0.6125,12132,0.20972,0.07692,0.11111,0.18182,0.94222,0.94158
42,0,0.1625,0,0.725,12132,0.20972,0.07692,0.11111,0.18182,0.0,0.96131
43,0,0.1625,0,0.8375,12132,0.20972,0.07692,0.11111,0.18182,0.0,0.9259
44,0,0.1625,0,0.95,12132,0.20972,0.07692,0.11111,0.18182,0.0,0.78128
45,0,0.1625,1,0.05,9498,0.30293,0.14286,0.18182,0.23529,0.34162,0.04832
46,0,0.1625,1,0.1625,9498,0.30293,0.14286,0.18182,0.23529,0.77876,0.21737
47,0,0.1625,1,0.275,9498,0.30293,0.14286,0.18182,0.23529,0.78431,0.22539
48,0,0.1625,1,0.3875,9498,0.30293,0.14286,0.18182,0.23529,0.83175,0.34172
49,0,0.1625,1,0.5,9498,0.30293,0.14286,0.18182,0.23529,0.9607,0.91749
50,0,0.1625,1,0.6125,9498,0.30293,0.14286,0.18182,0.23529,0.93274,0.94728
51,0,0.1625,1,0.725,9498,0.30293,0.14286,0.18182,0.23529,0.0,0.96253
52,0,0.1625,1,0.8375,9498,0.30293,0.14286,0.18182,0.23529,0.0,0.92275
53,0,0.1625,1,0.95,9498,0.30293,0.14286,0.18182,0.23529,0.0,0.77863
54,0,0.1625,2,0.05,12342,0.22995,0.1,0.14286,0.2,0.32061,0.04364
55,0,0.1625,2,0.1625,12342,0.22995,0.1,0.14286,0.2,0.67151,0.17036
56,0,0.1625,2,0.275,12342,0.22995,0.1,0.14286,0.2,0.67543,0.17607
57,0,0.1625,2,0.3875,12342,0.22995,0.1,0.14286,0.2,0.84306,0.32752
58,0,0.1625,2,0.5,12342,0.22995,0.1,0.14286,0.2,0.98507,0.91265
59,0,0.1625,2,0.6125,12342,0.22995,0.1,0.14286,0.2,0.95385,0.94631
60,0,0.1625,2,0.725,12342,0.22995,0.1,0.14286,0.2,0.0,0.96385
61,0,0.1625,2,0.8375,12342,0.22995,0.1,0.14286,0.2,0.0,0.92769
62,0,0.1625,2,0.95,12342,0.22995,0.1,0.14286,0.2,0.0,0.78294
63,0,0.1625,3,0.05,14329,0.19763,0.09091,0.125,0.18182,0.30596,0.03411
