,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,f-score
0,0,0.05,0,0.05,1869753,0.12374,0.07143,0.1,0.15,0.04259
1,0,0.05,0,0.5,1869753,0.12374,0.07143,0.1,0.15,0.90226
2,0,0.05,0,0.95,1869753,0.12374,0.07143,0.1,0.15,0.7843
3,0,0.05,1,0.05,3059577,0.14505,0.11111,0.13333,0.15385,0.02598
4,0,0.05,1,0.5,3059577,0.14505,0.11111,0.13333,0.15385,0.91441
5,0,0.05,1,0.95,3059577,0.14505,0.11111,0.13333,0.15385,0.78582
6,0,0.05,2,0.05,3109548,0.14412,0.11111,0.13333,0.15385,0.02557
7,0,0.05,2,0.5,3109548,0.14412,0.11111,0.13333,0.15385,0.90578
8,0,0.05,2,0.95,3109548,0.14412,0.11111,0.13333,0.15385,0.78421
9,0,0.05,3,0.05,4106689,0.12372,0.09091,0.11111,0.14286,0.02137
10,0,0.05,3,0.5,4106689,0.12372,0.09091,0.11111,0.14286,0.89972
11,0,0.05,3,0.95,4106689,0.12372,0.09091,0.11111,0.14286,0.78421
12,0,0.5,0,0.05,242188,0.18834,0.07692,0.11765,0.18182,0.50587
13,0,0.5,0,0.5,242188,0.18834,0.07692,0.11765,0.18182,0.96653
14,0,0.5,0,0.95,242188,0.18834,0.07692,0.11765,0.18182,0.80369
15,0,0.5,1,0.05,9647,0.92947,1.0,1.0,1.0,0.89401
16,0,0.5,1,0.5,9647,0.92947,1.0,1.0,1.0,0.97733
17,0,0.5,1,0.95,9647,0.92947,1.0,1.0,1.0,0.8187
18,0,0.5,2,0.05,9723,0.92809,1.0,1.0,1.0,0.89253
19,0,0.5,2,0.5,9723,0.92809,1.0,1.0,1.0,0.97685
20,0,0.5,2,0.95,9723,0.92809,1.0,1.0,1.0,0.81703
21,0,0.5,3,0.05,11651,0.77887,0.5,1.0,1.0,0.82937
22,0,0.5,3,0.5,11651,0.77887,0.5,1.0,1.0,0.9698
23,0,0.5,3,0.95,11651,0.77887,0.5,1.0,1.0,0.81374
24,0,0.95,0,0.05,12226,0.49272,0.11111,0.25,1.0,0.70944
25,0,0.95,0,0.5,12226,0.49272,0.11111,0.25,1.0,0.96224
26,0,0.95,0,0.95,12226,0.49272,0.11111,0.25,1.0,0.81267
27,0,0.95,1,0.05,19102,0.46373,0.11765,0.22222,1.0,0.61382
28,0,0.95,1,0.5,19102,0.46373,0.11765,0.22222,1.0,0.95605
29,0,0.95,1,0.95,19102,0.46373,0.11765,0.22222,1.0,0.81389
30,0,0.95,2,0.05,19102,0.46373,0.11765,0.22222,1.0,0.61382
31,0,0.95,2,0.5,19102,0.46373,0.11765,0.22222,1.0,0.95605
32,0,0.95,2,0.95,19102,0.46373,0.11765,0.22222,1.0,0.81389
33,0,0.95,3,0.05,19102,0.46373,0.11765,0.22222,1.0,0.61382
34,0,0.95,3,0.5,19102,0.46373,0.11765,0.22222,1.0,0.95605
35,0,0.95,3,0.95,19102,0.46373,0.11765,0.22222,1.0,0.81389
36,1,0.05,0,0.05,8030,0.54531,0.125,0.375,1.0,0.74347
37,1,0.05,0,0.5,8030,0.54531,0.125,0.375,1.0,0.9569
38,1,0.05,0,0.95,8030,0.54531,0.125,0.375,1.0,0.81301
39,1,0.05,1,0.05,8941,0.52394,0.11765,0.32456,1.0,0.74368
40,1,0.05,1,0.5,8941,0.52394,0.11765,0.32456,1.0,0.9594
41,1,0.05,1,0.95,8941,0.52394,0.11765,0.32456,1.0,0.80831
42,1,0.05,2,0.05,5780,0.52956,0.11765,0.33333,1.0,0.0
43,1,0.05,2,0.5,5780,0.52956,0.11765,0.33333,1.0,0.96571
44,1,0.05,2,0.95,5780,0.52956,0.11765,0.33333,1.0,0.0
45,1,0.05,3,0.05,3450,0.51909,0.11765,0.33333,1.0,0.71477
46,1,0.05,3,0.5,3450,0.51909,0.11765,0.33333,1.0,0.96648
47,1,0.05,3,0.95,3450,0.51909,0.11765,0.33333,1.0,0.79824
48,1,0.5,0,0.05,0,0.0,0.0,0.0,0.0,0.0
49,1,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.0
50,1,0.5,0,0.95,0,0.0,0.0,0.0,0.0,0.0
51,1,0.5,1,0.05,0,0.0,0.0,0.0,0.0,0.0
52,1,0.5,1,0.5,0,0.0,0.0,0.0,0.0,0.0
53,1,0.5,1,0.95,0,0.0,0.0,0.0,0.0,0.0
54,1,0.5,2,0.05,0,0.0,0.0,0.0,0.0,0.0
55,1,0.5,2,0.5,0,0.0,0.0,0.0,0.0,0.0
56,1,0.5,2,0.95,0,0.0,0.0,0.0,0.0,0.0
57,1,0.5,3,0.05,0,0.0,0.0,0.0,0.0,0.0
58,1,0.5,3,0.5,0,0.0,0.0,0.0,0.0,0.0
59,1,0.5,3,0.95,0,0.0,0.0,0.0,0.0,0.0
60,1,0.95,0,0.05,0,0.0,0.0,0.0,0.0,0.0
61,1,0.95,0,0.5,0,0.0,0.0,0.0,0.0,0.0
62,1,0.95,0,0.95,0,0.0,0.0,0.0,0.0,0.0
63,1,0.95,1,0.05,0,0.0,0.0,0.0,0.0,0.0
