,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
0,0,0.05,0,0.05,21285,0.16796,0.07143,0.10526,0.15385,0.28791,0.04259
1,0,0.05,0,0.5,21285,0.16796,0.07143,0.10526,0.15385,0.97414,0.90024
2,0,0.05,0,0.95,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.78195
3,0,0.05,1,0.05,30598,0.17993,0.11111,0.13333,0.16667,0.22013,0.02595
4,0,0.05,1,0.5,30598,0.17993,0.11111,0.13333,0.16667,0.96522,0.90834
5,0,0.05,1,0.95,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.77896
6,0,0.05,2,0.05,32077,0.17331,0.10526,0.125,0.15385,0.22137,0.02555
7,0,0.05,2,0.5,32077,0.17331,0.10526,0.125,0.15385,0.98723,0.90467
8,0,0.05,2,0.95,32077,0.17331,0.10526,0.125,0.15385,0.0,0.78294
9,0,0.05,3,0.05,35056,0.15422,0.09091,0.11765,0.14286,0.2053,0.02137
10,0,0.05,3,0.5,35056,0.15422,0.09091,0.11765,0.14286,0.98723,0.89862
11,0,0.05,3,0.95,35056,0.15422,0.09091,0.11765,0.14286,0.0,0.78294
12,0,0.5,0,0.05,1885,0.52176,0.11111,0.25,1.0,0.65678,0.29753
13,0,0.5,0,0.5,1885,0.52176,0.11111,0.25,1.0,0.7888,0.90495
14,0,0.5,0,0.95,1885,0.52176,0.11111,0.25,1.0,0.0,0.75694
15,0,0.5,1,0.05,855,0.87312,1.0,1.0,1.0,0.65804,0.50896
16,0,0.5,1,0.5,855,0.87312,1.0,1.0,1.0,0.6959,0.90093
17,0,0.5,1,0.95,855,0.87312,1.0,1.0,1.0,0.0,0.74379
18,0,0.5,2,0.05,1048,0.85426,1.0,1.0,1.0,0.78161,0.36425
19,0,0.5,2,0.5,1048,0.85426,1.0,1.0,1.0,0.83333,0.92124
20,0,0.5,2,0.95,1048,0.85426,1.0,1.0,1.0,0.0,0.77596
21,0,0.5,3,0.05,1280,0.70764,0.23077,1.0,1.0,0.76659,0.26351
22,0,0.5,3,0.5,1280,0.70764,0.23077,1.0,1.0,0.85851,0.92082
23,0,0.5,3,0.95,1280,0.70764,0.23077,1.0,1.0,0.0,0.77596
24,0,0.95,0,0.05,0,1.0,1.0,1.0,1.0,0.01666,0.17895
25,0,0.95,0,0.5,0,1.0,1.0,1.0,1.0,0.01666,0.19058
26,0,0.95,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.14886
27,0,0.95,1,0.05,0,1.0,1.0,1.0,1.0,0.01666,0.20737
