,pf,block clean threshold,weighting schema,stop count,av sim,sim q1,sim q2,sim q3,f-score
0,0,0.05,0,1869753,0.12374,0.07143,0.1,0.15,0.96457
1,0,0.05,1,3067741,0.14495,0.11111,0.13333,0.15385,0.97027
2,0,0.05,2,3115580,0.14405,0.11111,0.13333,0.15385,0.96488
3,0,0.05,3,4106977,0.12372,0.09091,0.11111,0.14286,0.96488
4,0,0.275,0,786826,0.14017,0.07143,0.11111,0.15385,0.96533
5,0,0.275,1,82920,0.37854,0.17647,0.25,0.4,0.97233
6,0,0.275,2,47464,0.39458,0.14286,0.22222,0.55556,0.96987
7,0,0.275,3,35031,0.41484,0.125,0.2,1.0,0.97119
8,0,0.5,0,41634,0.37861,0.09091,0.15789,1.0,0.97871
9,0,0.5,1,9696,0.92761,1.0,1.0,1.0,0.98134
10,0,0.5,2,9738,0.92754,1.0,1.0,1.0,0.98072
11,0,0.5,3,11762,0.77675,0.5,1.0,1.0,0.98076
12,0,0.7250000000000001,0,11826,0.50159,0.11111,0.25,1.0,0.98256
13,0,0.7250000000000001,1,19152,0.47183,0.11111,0.23077,1.0,0.97214
14,0,0.7250000000000001,2,0,0.0,0.0,0.0,0.0,0.0
15,0,0.7250000000000001,3,19152,0.47183,0.11111,0.23077,1.0,0.97214
16,1,0.05,0,7986,0.54849,0.125,0.41667,1.0,0.98217
17,1,0.05,1,12769,0.48997,0.11111,0.25,1.0,0.98269
18,1,0.05,2,11054,0.50565,0.11111,0.26491,1.0,0.98167
19,1,0.05,3,9752,0.5163,0.11111,0.3,1.0,0.98044
20,1,0.275,0,4714,0.52823,0.125,0.33333,1.0,0.98558
21,1,0.275,1,1660,0.50926,0.12917,0.33333,1.0,1.0
22,1,0.275,2,0,0.0,0.0,0.0,0.0,0.0
23,1,0.275,3,0,0.0,0.0,0.0,0.0,0.0
24,1,0.5,0,0,0.0,0.0,0.0,0.0,0.0
25,1,0.5,1,0,0.0,0.0,0.0,0.0,0.0
26,1,0.5,2,0,0.0,0.0,0.0,0.0,0.0
27,1,0.5,3,0,0.0,0.0,0.0,0.0,0.0
28,1,0.7250000000000001,0,0,0.0,0.0,0.0,0.0,0.0
29,1,0.7250000000000001,1,0,0.0,0.0,0.0,0.0,0.0
30,1,0.7250000000000001,2,0,0.0,0.0,0.0,0.0,0.0
31,1,0.7250000000000001,3,0,0.0,0.0,0.0,0.0,0.0
