,q-gram size,blocking threshold,match threshold,precision,recall,f-score,acc
0,4,0.25,0.0,0.09234,0.92581,0.16793,0.09166
1,5,0.25,0.0,0.18989,0.9411,0.31602,0.18766
2,4,0.25,0.01,0.13126,0.92581,0.22992,0.38597
3,5,0.25,0.01,0.23789,0.9411,0.37978,0.38707
4,4,0.25,0.02,0.16168,0.92581,0.27529,0.51738
5,5,0.25,0.02,0.27671,0.9411,0.42767,0.49771
6,4,0.25,0.03,0.20899,0.92581,0.341,0.64573
7,5,0.25,0.03,0.33488,0.9411,0.49398,0.61553
8,4,0.25,0.04,0.25404,0.92581,0.39868,0.7235
9,5,0.25,0.04,0.39041,0.9411,0.55188,0.69524
10,4,0.25,0.05,0.29377,0.92581,0.44601,0.77229
11,5,0.25,0.05,0.43961,0.9411,0.59928,0.74904
12,4,0.25,0.06,0.32507,0.92581,0.48119,0.80234
13,5,0.25,0.06,0.48005,0.9411,0.63579,0.78499
14,4,0.25,0.07,0.35604,0.92581,0.5143,0.82687
15,5,0.25,0.07,0.51476,0.9411,0.6655,0.81135
16,4,0.25,0.08,0.37559,0.92581,0.53439,0.84027
17,5,0.25,0.08,0.53722,0.9411,0.68399,0.82659
18,4,0.25,0.09,0.38871,0.92581,0.54753,0.84851
19,5,0.25,0.09,0.55283,0.9411,0.69651,0.83646
20,4,0.25,0.1,0.40082,0.92581,0.55944,0.85563
21,5,0.25,0.1,0.5689,0.9411,0.70913,0.84605
22,4,0.25,0.11,0.405,0.92581,0.5635,0.85799
23,5,0.25,0.11,0.57627,0.9411,0.71483,0.85026
24,4,0.25,0.12,0.41279,0.92581,0.57099,0.86226
25,5,0.25,0.12,0.58529,0.9411,0.72172,0.85529
26,4,0.25,0.13,0.4163,0.92581,0.57434,0.86413
27,5,0.25,0.13,0.59108,0.9411,0.72611,0.85842
28,4,0.25,0.14,0.41986,0.92581,0.57772,0.866
29,5,0.25,0.14,0.59613,0.9411,0.72991,0.86111
30,4,0.25,0.15,0.42305,0.92581,0.58073,0.86765
31,5,0.25,0.15,0.6004,0.9411,0.7331,0.86336
32,4,0.25,0.16,0.42603,0.92581,0.58353,0.86916
33,5,0.25,0.16,0.60421,0.9411,0.73593,0.86533
34,4,0.25,0.17,0.42869,0.92581,0.58603,0.8705
35,5,0.25,0.17,0.60737,0.9411,0.73827,0.86694
36,4,0.25,0.18,0.43048,0.92581,0.5877,0.87139
37,5,0.25,0.18,0.60949,0.9411,0.73984,0.86802
38,4,0.25,0.19,0.4322,0.92581,0.5893,0.87223
39,5,0.25,0.19,0.61127,0.9411,0.74115,0.86891
40,4,0.25,0.2,0.43411,0.92581,0.59107,0.87317
41,5,0.25,0.2,0.61414,0.9411,0.74325,0.87035
42,4,0.25,0.21,0.43494,0.92581,0.59184,0.87357
43,5,0.25,0.21,0.61541,0.9411,0.74418,0.87098
44,4,0.25,0.22,0.43614,0.92581,0.59295,0.87415
45,5,0.25,0.22,0.61668,0.9411,0.74511,0.8716
46,4,0.25,0.23,0.43669,0.92581,0.59346,0.87442
47,5,0.25,0.23,0.61777,0.9411,0.7459,0.87214
48,4,0.25,0.24,0.4379,0.92581,0.59457,0.87499
49,5,0.25,0.24,0.6196,0.9411,0.74724,0.87304
50,4,0.25,0.25,0.43921,0.92581,0.59578,0.87562
51,5,0.25,0.25,0.62144,0.9411,0.74857,0.87394
52,4,0.25,0.26,0.44099,0.92581,0.59741,0.87646
53,5,0.25,0.26,0.62255,0.9411,0.74938,0.87447
54,4,0.25,0.27,0.44213,0.92581,0.59846,0.877
55,5,0.25,0.27,0.62459,0.9411,0.75085,0.87546
56,4,0.25,0.28,0.44261,0.92581,0.5989,0.87722
57,5,0.25,0.28,0.62552,0.9411,0.75152,0.87591
58,4,0.25,0.29,0.44356,0.92581,0.59977,0.87767
59,5,0.25,0.29,0.62627,0.9411,0.75207,0.87627
60,4,0.25,0.3,0.44423,0.92581,0.60038,0.87798
61,5,0.25,0.3,0.62721,0.9411,0.75274,0.87671
62,4,0.25,0.31,0.44586,0.92581,0.60187,0.87873
63,5,0.25,0.31,0.62891,0.9411,0.75397,0.87752
64,4,0.25,0.32,0.44654,0.92581,0.60249,0.87905
65,5,0.25,0.32,0.62947,0.9411,0.75437,0.87779
66,4,0.25,0.33,0.4479,0.92581,0.60372,0.87967
67,5,0.25,0.33,0.63118,0.9411,0.7556,0.8786
68,4,0.25,0.34,0.5407,0.92581,0.68269,0.91479
69,5,0.25,0.34,0.68985,0.9411,0.79612,0.90388
70,4,0.25,0.35,0.56119,0.92581,0.6988,0.92098
71,5,0.25,0.35,0.70353,0.9411,0.80516,0.90917
72,4,0.25,0.36,0.65035,0.92581,0.76401,0.94337
73,5,0.25,0.36,0.76192,0.9411,0.84208,0.92962
74,4,0.25,0.37,0.70393,0.92581,0.79977,0.9541
75,5,0.25,0.37,0.78981,0.9411,0.85884,0.93831
76,4,0.25,0.38,0.75338,0.92581,0.83074,0.96265
77,5,0.25,0.38,0.8195,0.9411,0.8761,0.94692
78,4,0.25,0.39,0.79899,0.92581,0.85774,0.96959
79,5,0.25,0.39,0.84497,0.9411,0.89045,0.95382
80,4,0.25,0.4,0.83192,0.92581,0.87636,0.97414
81,5,0.25,0.4,0.87172,0.9411,0.90508,0.96064
82,4,0.25,0.41,0.84837,0.92581,0.8854,0.97627
83,5,0.25,0.41,0.88312,0.9411,0.91119,0.96342
84,4,0.25,0.42,0.86223,0.92581,0.89289,0.97801
85,5,0.25,0.42,0.89026,0.9411,0.91497,0.96512
86,4,0.25,0.43,0.87025,0.92581,0.89717,0.97899
87,5,0.25,0.43,0.89828,0.9411,0.91919,0.967
88,4,0.25,0.44,0.87729,0.92581,0.9009,0.97983
89,5,0.25,0.44,0.90489,0.9411,0.92264,0.96853
90,4,0.25,0.45,0.89019,0.92581,0.90765,0.98135
91,5,0.25,0.45,0.91198,0.9411,0.92631,0.97014
