,pf,block clean threshold,weighting schema,matching threshold,f-score
0,0,0.05,0,0.05,0.04259
1,0,0.05,0,0.35,0.12106
2,0,0.05,0,0.65,0.94641
3,0,0.05,0,0.95,0.78195
4,0,0.05,1,0.05,0.02595
5,0,0.05,1,0.35,0.09296
6,0,0.05,1,0.65,0.94967
7,0,0.05,1,0.95,0.77896
8,0,0.05,2,0.05,0.02555
9,0,0.05,2,0.35,0.09019
10,0,0.05,2,0.65,0.94939
11,0,0.05,2,0.95,0.78294
12,0,0.05,3,0.05,0.02137
13,0,0.05,3,0.35,0.05925
14,0,0.05,3,0.65,0.94857
15,0,0.05,3,0.95,0.78294
16,0,0.35,0,0.05,0.16536
17,0,0.35,0,0.35,0.39769
18,0,0.35,0,0.65,0.94082
19,0,0.35,0,0.95,0.7726
20,0,0.35,1,0.05,0.25655
21,0,0.35,1,0.35,0.65028
22,0,0.35,1,0.65,0.94198
23,0,0.35,1,0.95,0.76161
24,0,0.35,2,0.05,0.15237
25,0,0.35,2,0.35,0.43708
26,0,0.35,2,0.65,0.95105
27,0,0.35,2,0.95,0.77995
28,0,0.35,3,0.05,0.10895
29,0,0.35,3,0.35,0.33678
30,0,0.35,3,0.65,0.95043
31,0,0.35,3,0.95,0.77995
32,0,0.65,0,0.05,0.55047
33,0,0.65,0,0.35,0.73038
34,0,0.65,0,0.65,0.84489
35,0,0.65,0,0.95,0.67381
36,0,0.65,1,0.05,0.65462
37,0,0.65,1,0.35,0.73071
38,0,0.65,1,0.65,0.77435
39,0,0.65,1,0.95,0.61222
40,0,0.65,2,0.05,0.65487
41,0,0.65,2,0.35,0.80583
42,0,0.65,2,0.65,0.89104
43,0,0.65,2,0.95,0.71885
44,0,0.65,3,0.05,0.51328
45,0,0.65,3,0.35,0.74757
46,0,0.65,3,0.65,0.89882
47,0,0.65,3,0.95,0.72763
48,0,0.95,0,0.05,0.17895
49,0,0.95,0,0.35,0.18855
50,0,0.95,0,0.65,0.19243
51,0,0.95,0,0.95,0.14886
52,0,0.95,1,0.05,0.20737
53,0,0.95,1,0.35,0.22723
54,0,0.95,1,0.65,0.24116
55,0,0.95,1,0.95,0.19135
56,0,0.95,2,0.05,0.20737
57,0,0.95,2,0.35,0.22723
58,0,0.95,2,0.65,0.24116
59,0,0.95,2,0.95,0.19135
60,0,0.95,3,0.05,0.20737
61,0,0.95,3,0.35,0.22723
62,0,0.95,3,0.65,0.24116
63,0,0.95,3,0.95,0.19135
64,1,0.05,0,0.05,0.71798
65,1,0.05,0,0.35,0.83203
66,1,0.05,0,0.65,0.90762
67,1,0.05,0,0.95,0.71737
68,1,0.05,1,0.05,0.75928
69,1,0.05,1,0.35,0.83659
70,1,0.05,1,0.65,0.87308
71,1,0.05,1,0.95,0.68284
72,1,0.05,2,0.05,0.76834
73,1,0.05,2,0.35,0.88689
74,1,0.05,2,0.65,0.94751
75,1,0.05,2,0.95,0.76584
76,1,0.05,3,0.05,0.69432
77,1,0.05,3,0.35,0.86317
78,1,0.05,3,0.65,0.94808
79,1,0.05,3,0.95,0.76584
80,1,0.35,0,0.05,0.39076
81,1,0.35,0,0.35,0.3909
82,1,0.35,0,0.65,0.38813
83,1,0.35,0,0.95,0.27329
84,1,0.35,1,0.05,0.39106
85,1,0.35,1,0.35,0.3912
86,1,0.35,1,0.65,0.38843
87,1,0.35,1,0.95,0.27396
88,1,0.35,2,0.05,0.39106
89,1,0.35,2,0.35,0.3912
90,1,0.35,2,0.65,0.38843
91,1,0.35,2,0.95,0.27396
92,1,0.35,3,0.05,0.71593
93,1,0.35,3,0.35,0.71675
94,1,0.35,3,0.65,0.71511
95,1,0.35,3,0.95,0.55302
96,1,0.65,0,0.05,0.23192
97,1,0.65,0,0.35,0.23192
98,1,0.65,0,0.65,0.22921
99,1,0.65,0,0.95,0.15512
100,1,0.65,1,0.05,0.23192
101,1,0.65,1,0.35,0.23192
102,1,0.65,1,0.65,0.22921
103,1,0.65,1,0.95,0.15512
104,1,0.65,2,0.05,0.23192
105,1,0.65,2,0.35,0.23192
106,1,0.65,2,0.65,0.22921
107,1,0.65,2,0.95,0.15512
108,1,0.65,3,0.05,0.4722
109,1,0.65,3,0.35,0.4722
110,1,0.65,3,0.65,0.46957
111,1,0.65,3,0.95,0.33844
112,1,0.95,0,0.05,0.04311
113,1,0.95,0,0.35,0.04311
114,1,0.95,0,0.65,0.04225
115,1,0.95,0,0.95,0.02487
116,1,0.95,1,0.05,0.04311
117,1,0.95,1,0.35,0.04311
118,1,0.95,1,0.65,0.04225
119,1,0.95,1,0.95,0.02487
120,1,0.95,2,0.05,0.04311
121,1,0.95,2,0.35,0.04311
122,1,0.95,2,0.65,0.04225
123,1,0.95,2,0.95,0.02487
124,1,0.95,3,0.05,0.0877
125,1,0.95,3,0.35,0.0877
126,1,0.95,3,0.65,0.08688
127,1,0.95,3,0.95,0.0568
