,pf,block clean threshold,weighting schema,matching threshold,f-score
0,0,0.05,0,0.05,0.04259
1,0,0.05,0,0.5,0.90024
2,0,0.05,0,0.95,0.78195
3,0,0.05,1,0.05,0.02595
4,0,0.05,1,0.5,0.90834
5,0,0.05,1,0.95,0.77896
6,0,0.05,2,0.05,0.02555
7,0,0.05,2,0.5,0.90467
8,0,0.05,2,0.95,0.78294
9,0,0.05,3,0.05,0.02137
10,0,0.05,3,0.5,0.89862
11,0,0.05,3,0.95,0.78294
12,0,0.5,0,0.05,0.29753
13,0,0.5,0,0.5,0.90495
14,0,0.5,0,0.95,0.75694
15,0,0.5,1,0.05,0.50896
16,0,0.5,1,0.5,0.90093
17,0,0.5,1,0.95,0.74379
18,0,0.5,2,0.05,0.36425
19,0,0.5,2,0.5,0.92124
20,0,0.5,2,0.95,0.77596
21,0,0.5,3,0.05,0.26351
22,0,0.5,3,0.5,0.92082
23,0,0.5,3,0.95,0.77596
24,0,0.95,0,0.05,0.17895
25,0,0.95,0,0.5,0.19058
26,0,0.95,0,0.95,0.14886
27,0,0.95,1,0.05,0.20737
28,0,0.95,1,0.5,0.23875
29,0,0.95,1,0.95,0.19135
30,0,0.95,2,0.05,0.20737
31,0,0.95,2,0.5,0.23875
32,0,0.95,2,0.95,0.19135
33,0,0.95,3,0.05,0.20737
34,0,0.95,3,0.5,0.23875
35,0,0.95,3,0.95,0.19135
36,1,0.05,0,0.05,0.71798
37,1,0.05,0,0.5,0.89806
38,1,0.05,0,0.95,0.71737
39,1,0.05,1,0.05,0.75928
40,1,0.05,1,0.5,0.86598
41,1,0.05,1,0.95,0.68284
42,1,0.05,2,0.05,0.76834
43,1,0.05,2,0.5,0.93348
44,1,0.05,2,0.95,0.76584
45,1,0.05,3,0.05,0.69432
46,1,0.05,3,0.5,0.93304
47,1,0.05,3,0.95,0.76584
48,1,0.5,0,0.05,0.31352
49,1,0.5,0,0.5,0.31363
50,1,0.5,0,0.95,0.21223
51,1,0.5,1,0.05,0.31352
52,1,0.5,1,0.5,0.31363
53,1,0.5,1,0.95,0.21223
54,1,0.5,2,0.05,0.31352
55,1,0.5,2,0.5,0.31363
56,1,0.5,2,0.95,0.21223
57,1,0.5,3,0.05,0.61481
58,1,0.5,3,0.5,0.61437
59,1,0.5,3,0.95,0.45555
60,1,0.95,0,0.05,0.04311
61,1,0.95,0,0.5,0.04311
62,1,0.95,0,0.95,0.02487
63,1,0.95,1,0.05,0.04311
64,1,0.95,1,0.5,0.04311
65,1,0.95,1,0.95,0.02487
66,1,0.95,2,0.05,0.04311
67,1,0.95,2,0.5,0.04311
68,1,0.95,2,0.95,0.02487
69,1,0.95,3,0.05,0.0877
70,1,0.95,3,0.5,0.0877
71,1,0.95,3,0.95,0.0568
