,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,0.8,3,0.98611,2.0,0.91888
1,0,0.05,0,0.275,0.8,3,0.98611,2.0,0.91888
2,0,0.05,0,0.5,0.8,1,0.90226,2.0,0.91888
3,0,0.05,0,0.725,0.8,1,0.96484,2.0,0.91888
4,0,0.05,0,0.95,0.8,3,0.98611,2.0,0.91888
5,0,0.05,1,0.05,0.8,4,0.98611,2.0,0.91888
6,0,0.05,1,0.275,0.8,4,0.98611,2.0,0.91888
7,0,0.05,1,0.5,0.8,1,0.91441,2.0,0.91888
8,0,0.05,1,0.725,0.8,1,0.97002,2.0,0.91888
9,0,0.05,1,0.95,0.8,4,0.98611,2.0,0.91888
10,0,0.05,2,0.05,0.8,4,0.98611,2.0,0.91888
11,0,0.05,2,0.275,0.8,4,0.98611,2.0,0.91888
12,0,0.05,2,0.5,0.8,1,0.90578,2.0,0.91888
13,0,0.05,2,0.725,0.8,1,0.96515,2.0,0.91888
14,0,0.05,2,0.95,0.8,4,0.98611,2.0,0.91888
15,0,0.05,3,0.05,0.8,3,0.98611,2.0,0.91888
16,0,0.05,3,0.275,0.8,3,0.98611,2.0,0.91888
17,0,0.05,3,0.5,0.8,1,0.89972,2.0,0.91888
18,0,0.05,3,0.725,0.8,1,0.96515,2.0,0.91888
19,0,0.05,3,0.95,0.8,3,0.98611,2.0,0.91888
20,0,0.275,0,0.05,0.8,5,0.98611,2.0,0.91888
21,0,0.275,0,0.275,0.8,5,0.98611,2.0,0.91888
22,0,0.275,0,0.5,0.8,2,0.945,2.0,0.91888
23,0,0.275,0,0.725,0.8,2,0.97411,2.0,0.91888
24,0,0.275,0,0.95,0.8,5,0.98611,2.0,0.91888
25,0,0.275,1,0.05,0.8,4,0.98611,2.0,0.91888
26,0,0.275,1,0.275,0.8,1,0.87681,2.0,0.91888
27,0,0.275,1,0.5,0.8,1,0.95474,2.0,0.91888
28,0,0.275,1,0.725,0.8,1,0.97953,2.0,0.91888
29,0,0.275,1,0.95,0.8,4,0.98611,2.0,0.91888
30,0,0.275,2,0.05,0.8,4,0.98611,2.0,0.91888
31,0,0.275,2,0.275,0.8,1,0.85914,2.0,0.91888
32,0,0.275,2,0.5,0.8,1,0.95096,2.0,0.91888
33,0,0.275,2,0.725,0.8,1,0.97883,2.0,0.91888
34,0,0.275,2,0.95,0.8,4,0.98611,2.0,0.91888
35,0,0.275,3,0.05,0.8,4,0.98611,2.0,0.91888
36,0,0.275,3,0.275,0.8,4,0.98611,2.0,0.91888
37,0,0.275,3,0.5,0.8,1,0.945,2.0,0.91888
38,0,0.275,3,0.725,0.8,1,0.97411,2.0,0.91888
39,0,0.275,3,0.95,0.8,4,0.98611,2.0,0.91888
40,0,0.5,0,0.05,0.8,2,0.83033,2.0,0.91888
41,0,0.5,0,0.275,0.8,2,0.90168,2.0,0.91888
42,0,0.5,0,0.5,0.8,2,0.97065,2.0,0.91888
43,0,0.5,0,0.725,0.8,2,0.98597,2.0,0.91888
44,0,0.5,0,0.95,0.8,2,0.81318,2.0,0.91888
45,0,0.5,1,0.05,0.8,1,0.88883,2.0,0.91888
46,0,0.5,1,0.275,0.8,1,0.91919,2.0,0.91888
47,0,0.5,1,0.5,0.8,1,0.97357,2.0,0.91888
48,0,0.5,1,0.725,0.8,1,0.98611,2.0,0.91888
49,0,0.5,1,0.95,0.8,1,0.81846,2.0,0.91888
50,0,0.5,2,0.05,0.8,1,0.88758,2.0,0.91888
51,0,0.5,2,0.275,0.8,1,0.91856,2.0,0.91888
52,0,0.5,2,0.5,0.8,1,0.97319,2.0,0.91888
53,0,0.5,2,0.725,0.8,1,0.98577,2.0,0.91888
54,0,0.5,2,0.95,0.8,1,0.8175,2.0,0.91888
55,0,0.5,3,0.05,0.8,1,0.83033,2.0,0.91888
56,0,0.5,3,0.275,0.8,1,0.90168,2.0,0.91888
57,0,0.5,3,0.5,0.8,1,0.97065,2.0,0.91888
