,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,0.8,13,0.87156,2.0,0.94438
1,0,0.05,0,0.17857,0.8,2,0.87156,2.0,0.94438
2,0,0.05,0,0.30714,0.8,2,0.88963,2.0,0.94438
3,0,0.05,0,0.43571,0.8,2,0.94729,2.0,0.94438
4,0,0.05,0,0.56429,0.8,1,0.93251,2.0,0.94438
5,0,0.05,0,0.69286,0.8,1,0.96296,2.0,0.94438
6,0,0.05,0,0.82143,0.8,1,0.9445,2.0,0.94438
7,0,0.05,0,0.95,0.8,14,0.87156,2.0,0.94438
8,0,0.05,1,0.05,0.8,13,0.87156,2.0,0.94438
9,0,0.05,1,0.17857,0.8,2,0.87794,2.0,0.94438
10,0,0.05,1,0.30714,0.8,2,0.895,2.0,0.94438
11,0,0.05,1,0.43571,0.8,2,0.95356,2.0,0.94438
12,0,0.05,1,0.56429,0.8,1,0.94237,2.0,0.94438
13,0,0.05,1,0.69286,0.8,1,0.96761,2.0,0.94438
14,0,0.05,1,0.82143,0.8,1,0.94587,2.0,0.94438
15,0,0.05,1,0.95,0.8,5,0.8179,2.0,0.94438
16,0,0.05,2,0.05,0.8,5,0.88807,2.0,0.94438
17,0,0.05,2,0.17857,0.8,4,0.83558,2.0,0.94438
18,0,0.05,2,0.30714,0.8,4,0.86232,2.0,0.94438
19,0,0.05,2,0.43571,0.8,3,0.8562,2.0,0.94438
20,0,0.05,2,0.56429,0.8,1,0.93681,2.0,0.94438
21,0,0.05,2,0.69286,0.8,1,0.96198,2.0,0.94438
22,0,0.05,2,0.82143,0.8,1,0.94438,2.0,0.94438
23,0,0.05,2,0.95,0.8,5,0.81708,2.0,0.94438
24,0,0.05,3,0.05,0.8,5,0.82628,2.0,0.94438
25,0,0.05,3,0.17857,0.8,5,0.88974,2.0,0.94438
26,0,0.05,3,0.30714,0.8,5,0.90211,2.0,0.94438
27,0,0.05,3,0.43571,0.8,3,0.84767,2.0,0.94438
28,0,0.05,3,0.56429,0.8,1,0.93325,2.0,0.94438
29,0,0.05,3,0.69286,0.8,1,0.96198,2.0,0.94438
30,0,0.05,3,0.82143,0.8,1,0.94438,2.0,0.94438
31,0,0.05,3,0.95,0.8,5,0.8133,2.0,0.94438
32,0,0.17857,0,0.05,0.8,13,0.8654,2.0,0.94438
33,0,0.17857,0,0.17857,0.8,5,0.81796,2.0,0.94438
34,0,0.17857,0,0.30714,0.8,5,0.8359,2.0,0.94438
35,0,0.17857,0,0.43571,0.8,1,0.83809,2.0,0.94438
36,0,0.17857,0,0.56429,0.8,1,0.93758,2.0,0.94438
37,0,0.17857,0,0.69286,0.8,1,0.96518,2.0,0.94438
38,0,0.17857,0,0.82143,0.8,1,0.94568,2.0,0.94438
39,0,0.17857,0,0.95,0.8,5,0.80271,2.0,0.94438
40,0,0.17857,1,0.05,0.8,5,0.88954,2.0,0.94438
41,0,0.17857,1,0.17857,0.8,4,0.85255,2.0,0.94438
42,0,0.17857,1,0.30714,0.8,4,0.87907,2.0,0.94438
43,0,0.17857,1,0.43571,0.8,1,0.86706,2.0,0.94438
44,0,0.17857,1,0.56429,0.8,1,0.95422,2.0,0.94438
45,0,0.17857,1,0.69286,0.8,1,0.97349,2.0,0.94438
46,0,0.17857,1,0.82143,0.8,1,0.94744,2.0,0.94438
47,0,0.17857,1,0.95,0.8,5,0.8179,2.0,0.94438
48,0,0.17857,2,0.05,0.8,5,0.88807,2.0,0.94438
49,0,0.17857,2,0.17857,0.8,4,0.83558,2.0,0.94438
50,0,0.17857,2,0.30714,0.8,4,0.86232,2.0,0.94438
51,0,0.17857,2,0.43571,0.8,1,0.8562,2.0,0.94438
52,0,0.17857,2,0.56429,0.8,1,0.94757,2.0,0.94438
53,0,0.17857,2,0.69286,0.8,1,0.96794,2.0,0.94438
54,0,0.17857,2,0.82143,0.8,1,0.94571,2.0,0.94438
55,0,0.17857,2,0.95,0.8,5,0.81708,2.0,0.94438
56,0,0.17857,3,0.05,0.8,5,0.82628,2.0,0.94438
57,0,0.17857,3,0.17857,0.8,5,0.88974,2.0,0.94438
58,0,0.17857,3,0.30714,0.8,5,0.90211,2.0,0.94438
59,0,0.17857,3,0.43571,0.8,1,0.84767,2.0,0.94438
60,0,0.17857,3,0.56429,0.8,1,0.94595,2.0,0.94438
61,0,0.17857,3,0.69286,0.8,1,0.96773,2.0,0.94438
62,0,0.17857,3,0.82143,0.8,1,0.94571,2.0,0.94438
63,0,0.17857,3,0.95,0.8,5,0.8133,2.0,0.94438
64,0,0.30714,0,0.05,0.8,13,0.8654,2.0,0.94438
65,0,0.30714,0,0.17857,0.8,5,0.81796,2.0,0.94438
66,0,0.30714,0,0.30714,0.8,5,0.8359,2.0,0.94438
67,0,0.30714,0,0.43571,0.8,1,0.91697,2.0,0.94438
68,0,0.30714,0,0.56429,0.8,1,0.95538,2.0,0.94438
69,0,0.30714,0,0.69286,0.8,1,0.97327,2.0,0.94438
70,0,0.30714,0,0.82143,0.8,1,0.94829,2.0,0.94438
71,0,0.30714,0,0.95,0.8,5,0.80271,2.0,0.94438
72,0,0.30714,1,0.05,0.8,5,0.88954,2.0,0.94438
73,0,0.30714,1,0.17857,0.8,1,0.85255,2.0,0.94438
74,0,0.30714,1,0.30714,0.8,1,0.87907,2.0,0.94438
75,0,0.30714,1,0.43571,0.8,1,0.93699,2.0,0.94438
76,0,0.30714,1,0.56429,0.8,1,0.96597,2.0,0.94438
77,0,0.30714,1,0.69286,0.8,1,0.97962,2.0,0.94438
78,0,0.30714,1,0.82143,0.8,1,0.95243,2.0,0.94438
79,0,0.30714,1,0.95,0.8,5,0.8179,2.0,0.94438
80,0,0.30714,2,0.05,0.8,5,0.88807,2.0,0.94438
81,0,0.30714,2,0.17857,0.8,1,0.83558,2.0,0.94438
82,0,0.30714,2,0.30714,0.8,1,0.86232,2.0,0.94438
83,0,0.30714,2,0.43571,0.8,1,0.93313,2.0,0.94438
84,0,0.30714,2,0.56429,0.8,1,0.96545,2.0,0.94438
85,0,0.30714,2,0.69286,0.8,1,0.97892,2.0,0.94438
86,0,0.30714,2,0.82143,0.8,1,0.95126,2.0,0.94438
87,0,0.30714,2,0.95,0.8,5,0.81708,2.0,0.94438
88,0,0.30714,3,0.05,0.8,5,0.82628,2.0,0.94438
89,0,0.30714,3,0.17857,0.8,5,0.88974,2.0,0.94438
90,0,0.30714,3,0.30714,0.8,5,0.90211,2.0,0.94438
91,0,0.30714,3,0.43571,0.8,1,0.9253,2.0,0.94438
92,0,0.30714,3,0.56429,0.8,1,0.95995,2.0,0.94438
93,0,0.30714,3,0.69286,0.8,1,0.97403,2.0,0.94438
94,0,0.30714,3,0.82143,0.8,1,0.95041,2.0,0.94438
95,0,0.30714,3,0.95,0.8,5,0.8133,2.0,0.94438
96,0,0.43571,0,0.05,0.8,13,0.8654,2.0,0.94438
97,0,0.43571,0,0.17857,0.8,1,0.81796,2.0,0.94438
98,0,0.43571,0,0.30714,0.8,1,0.8359,2.0,0.94438
99,0,0.43571,0,0.43571,0.8,1,0.95285,2.0,0.94438
100,0,0.43571,0,0.56429,0.8,1,0.9723,2.0,0.94438
101,0,0.43571,0,0.69286,0.8,1,0.98409,2.0,0.94438
102,0,0.43571,0,0.82143,0.8,1,0.95684,2.0,0.94438
103,0,0.43571,0,0.95,0.8,1,0.80271,2.0,0.94438
104,0,0.43571,1,0.05,0.8,1,0.88954,2.0,0.94438
105,0,0.43571,1,0.17857,0.8,1,0.90963,2.0,0.94438
106,0,0.43571,1,0.30714,0.8,1,0.92086,2.0,0.94438
107,0,0.43571,1,0.43571,0.8,1,0.96469,2.0,0.94438
108,0,0.43571,1,0.56429,0.8,1,0.97791,2.0,0.94438
109,0,0.43571,1,0.69286,0.8,1,0.98599,2.0,0.94438
110,0,0.43571,1,0.82143,0.8,1,0.96214,2.0,0.94438
111,0,0.43571,1,0.95,0.8,1,0.8179,2.0,0.94438
112,0,0.43571,2,0.05,0.8,1,0.88807,2.0,0.94438
113,0,0.43571,2,0.17857,0.8,1,0.90925,2.0,0.94438
114,0,0.43571,2,0.30714,0.8,1,0.92023,2.0,0.94438
115,0,0.43571,2,0.43571,0.8,1,0.96452,2.0,0.94438
116,0,0.43571,2,0.56429,0.8,1,0.97744,2.0,0.94438
117,0,0.43571,2,0.69286,0.8,1,0.98565,2.0,0.94438
118,0,0.43571,2,0.82143,0.8,1,0.96164,2.0,0.94438
119,0,0.43571,2,0.95,0.8,1,0.81708,2.0,0.94438
120,0,0.43571,3,0.05,0.8,1,0.82628,2.0,0.94438
121,0,0.43571,3,0.17857,0.8,1,0.88974,2.0,0.94438
122,0,0.43571,3,0.30714,0.8,1,0.90211,2.0,0.94438
123,0,0.43571,3,0.43571,0.8,1,0.96118,2.0,0.94438
124,0,0.43571,3,0.56429,0.8,1,0.97825,2.0,0.94438
125,0,0.43571,3,0.69286,0.8,1,0.98586,2.0,0.94438
