,blocking threshold,match threshold,precision,recall,f-score,acc
0,0.05,0.0,0.0892,0.95953,0.16323,0.08886
1,0.05,0.01,0.08931,0.95953,0.16341,0.09016
2,0.05,0.02,0.0996,0.95953,0.18047,0.19293
3,0.05,0.03,0.12561,0.95953,0.22214,0.37765
4,0.05,0.04,0.15853,0.95953,0.2721,0.52457
5,0.05,0.05,0.19732,0.95953,0.32733,0.63475
6,0.05,0.06,0.23451,0.95953,0.3769,0.70617
7,0.05,0.07,0.27188,0.95953,0.4237,0.75827
8,0.05,0.08,0.3001,0.95953,0.45721,0.789
9,0.05,0.09,0.32085,0.95953,0.4809,0.80815
10,0.05,0.1,0.33921,0.95953,0.50123,0.82314
11,0.05,0.11,0.34705,0.95953,0.50974,0.82906
12,0.05,0.12,0.35715,0.95953,0.52055,0.8363
13,0.05,0.13,0.36305,0.95953,0.52678,0.84034
14,0.05,0.14,0.3692,0.95953,0.53323,0.84442
15,0.05,0.15,0.37301,0.95953,0.53719,0.84688
16,0.05,0.16,0.3761,0.95953,0.54039,0.84884
17,0.05,0.17,0.38182,0.95953,0.54627,0.85238
18,0.05,0.18,0.38354,0.95953,0.54803,0.85342
19,0.05,0.19,0.38638,0.95953,0.55092,0.85513
20,0.05,0.2,0.38849,0.95953,0.55306,0.85638
21,0.05,0.21,0.38999,0.95953,0.55458,0.85725
22,0.05,0.22,0.39149,0.95953,0.55609,0.85812
23,0.05,0.23,0.39228,0.95953,0.55689,0.85858
24,0.05,0.24,0.39329,0.95953,0.55791,0.85917
25,0.05,0.25,0.39475,0.95953,0.55937,0.86
26,0.05,0.26,0.39621,0.95953,0.56084,0.86083
27,0.05,0.27,0.39754,0.95953,0.56217,0.86158
28,0.05,0.28,0.3991,0.95953,0.56373,0.86246
29,0.05,0.29,0.4003,0.95953,0.56492,0.86312
30,0.05,0.3,0.40068,0.95953,0.5653,0.86333
31,0.05,0.31,0.40264,0.95953,0.56725,0.86441
32,0.05,0.32,0.40333,0.95953,0.56793,0.86479
33,0.05,0.33,0.40455,0.95953,0.56914,0.86545
34,0.05,0.34,0.40772,0.95953,0.57227,0.86716
35,0.05,0.35,0.41477,0.95953,0.57918,0.87087
36,0.05,0.36,0.4774,0.95953,0.63758,0.89898
37,0.05,0.37,0.53032,0.95953,0.6831,0.91755
38,0.05,0.38,0.59961,0.95953,0.73803,0.93691
39,0.05,0.39,0.67532,0.95953,0.79272,0.95353
40,0.05,0.4,0.73612,0.95953,0.83311,0.9644
41,0.05,0.41,0.77235,0.95953,0.85582,0.97006
42,0.05,0.42,0.80377,0.95953,0.87477,0.97456
43,0.05,0.43,0.81982,0.95953,0.88419,0.97672
44,0.05,0.44,0.83294,0.95953,0.89176,0.97843
45,0.05,0.45,0.84783,0.95953,0.90023,0.9803
46,0.05,0.46,0.85979,0.95953,0.90693,0.98176
47,0.05,0.47,0.86748,0.95953,0.91119,0.98268
48,0.05,0.48,0.87275,0.95908,0.91388,0.98326
49,0.05,0.49,0.88172,0.95863,0.91857,0.98426
50,0.05,0.5,0.88465,0.95863,0.92016,0.98459
51,0.05,0.51,0.89764,0.95818,0.92692,0.98601
52,0.05,0.52,0.90106,0.95818,0.92874,0.98638
53,0.05,0.53,0.90442,0.95728,0.9301,0.98667
54,0.05,0.54,0.90592,0.95683,0.93068,0.9868
55,0.05,0.55,0.9082,0.95638,0.93167,0.98701
56,0.05,0.56,0.91049,0.95594,0.93266,0.98722
57,0.05,0.57,0.91394,0.95504,0.93404,0.98751
58,0.05,0.58,0.91548,0.95459,0.93463,0.98763
59,0.05,0.59,0.91786,0.95459,0.93586,0.98788
60,0.05,0.6,0.92061,0.95414,0.93708,0.98813
61,0.05,0.61,0.92422,0.95414,0.93894,0.98851
62,0.05,0.62,0.92732,0.95234,0.93966,0.98867
63,0.05,0.63,0.9297,0.95144,0.94044,0.98884
64,0.05,0.64,0.93213,0.95099,0.94147,0.98905
65,0.05,0.65,0.93333,0.95054,0.94186,0.98913
66,0.05,0.66,0.93576,0.94964,0.94265,0.9893
67,0.05,0.67,0.96113,0.94514,0.95307,0.99138
68,0.05,0.68,0.96327,0.94335,0.95321,0.99142
69,0.05,0.69,0.96768,0.94245,0.9549,0.99175
70,0.05,0.7,0.96943,0.9411,0.95505,0.9918
71,0.05,0.71,0.96984,0.93975,0.95456,0.99171
72,0.05,0.72,0.97246,0.9366,0.95419,0.99167
73,0.05,0.73,0.97514,0.9348,0.95454,0.99175
74,0.05,0.74,0.976,0.93255,0.95378,0.99163
75,0.05,0.75,0.9773,0.92941,0.95275,0.99146
76,0.05,0.76,0.98088,0.92266,0.95088,0.99117
77,0.05,0.77,0.98177,0.91996,0.94986,0.99101
78,0.05,0.78,0.98385,0.90378,0.94212,0.98971
79,0.05,0.79,0.98374,0.89748,0.93863,0.98913
80,0.05,0.8,0.98458,0.89029,0.93506,0.98855
81,0.05,0.81,0.98495,0.88264,0.93099,0.98788
82,0.05,0.82,0.98484,0.87635,0.92743,0.9873
83,0.05,0.83,0.98477,0.8723,0.92513,0.98692
84,0.05,0.84,0.98484,0.84712,0.9108,0.98463
85,0.05,0.85,0.98474,0.84128,0.90737,0.98409
86,0.05,0.86,0.98606,0.82689,0.89949,0.98288
87,0.05,0.87,0.98567,0.80441,0.88586,0.9808
88,0.05,0.88,0.98709,0.79092,0.87818,0.97968
89,0.05,0.89,0.98775,0.76124,0.85983,0.97701
90,0.05,0.9,0.9877,0.75809,0.8578,0.97672
91,0.05,0.91,0.98718,0.72707,0.83739,0.97385
92,0.05,0.92,0.98675,0.70324,0.82121,0.97164
93,0.05,0.93,0.98761,0.68076,0.80597,0.96964
94,0.05,0.94,0.98827,0.64388,0.77974,0.96631
95,0.05,0.95,0.98862,0.625,0.76584,0.9646
96,0.05,0.96,0.98812,0.59847,0.74545,0.96215
97,0.05,0.97,0.98764,0.57464,0.72655,0.95994
98,0.05,0.98,0.98742,0.56475,0.71854,0.95902
99,0.05,0.99,0.98739,0.5634,0.71744,0.9589
100,0.06,0.0,0.11053,0.94424,0.19789,0.10981
101,0.06,0.01,0.11068,0.94424,0.19814,0.11117
102,0.06,0.02,0.12286,0.94424,0.21743,0.20958
103,0.06,0.03,0.15434,0.94424,0.26531,0.39186
104,0.06,0.04,0.19204,0.94424,0.31917,0.53153
105,0.06,0.05,0.23537,0.94424,0.37681,0.63679
106,0.06,0.06,0.27679,0.94424,0.42809,0.7066
107,0.06,0.07,0.31617,0.94424,0.47372,0.75601
108,0.06,0.08,0.34579,0.94424,0.5062,0.78577
109,0.06,0.09,0.36855,0.94424,0.53017,0.80538
110,0.06,0.1,0.38853,0.94424,0.55053,0.8207
111,0.06,0.11,0.39788,0.94424,0.55985,0.82734
112,0.06,0.12,0.40888,0.94424,0.57065,0.83476
113,0.06,0.13,0.41518,0.94424,0.57676,0.83884
114,0.06,0.14,0.42245,0.94424,0.58374,0.84339
115,0.06,0.15,0.42605,0.94424,0.58717,0.84559
116,0.06,0.16,0.42971,0.94424,0.59063,0.84778
117,0.06,0.17,0.43335,0.94424,0.59406,0.84993
118,0.06,0.18,0.43541,0.94424,0.59599,0.85113
119,0.06,0.19,0.43887,0.94424,0.59923,0.85312
120,0.06,0.2,0.44164,0.94424,0.6018,0.85469
121,0.06,0.21,0.44351,0.94424,0.60354,0.85573
