sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0.2227979274611398,0.2227979274611398,18.25,135.05,0.27,142.33,0.38,144.33,0.24,155.35,0.37,125.14,0.06,135.05,0.27,144.33,0.24,159.86,0.21,0.1688311688311687
2.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,0.2124352331606217,0.2124352331606217,14.4,2.7,0.33,50.3,0.38,0.42,0.26,0.06,0.37,1.03,0.08,2.7,0.33,0.42,0.26,81.84,0.23,0.2207792207792207
2.0,1.0,9.0,2.0,2.0,2.0,1.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,0.2176165803108808,0.2176165803108808,11.833333333333334,4.25,0.31,42.83,0.37,0.19,0.25,4.25,0.34,2.09,0.09,4.25,0.31,0.19,0.25,64.07,0.21,0.2272727272727273
1.0,1.0,9.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.2192846034214619,0.2192846034214619,12.90625,456359.55,0.29,643.0,1.0,456396.74,0.24,456355.29,0.33,456362.73,1.0,456359.55,0.29,456396.74,0.24,191.78,0.22,0.1078651685393258
2.0,1.0,7.0,2.0,1.0,3.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,0.2279792746113989,0.2279792746113989,16.11111111111111,2.01,0.32,46.21,0.35,0.22,0.25,0.06,0.36,4.65,0.02,2.01,0.32,0.22,0.25,82.78,0.21,0.1623376623376623
1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,0.19751166407465,0.19751166407465,11.64102564102564,2587.29,0.29,2762.9,1.0,953.81,0.33,588.13,0.33,5727.38,1.0,2587.26,0.43,953.8,0.24,230.8,0.23,0.1176470588235294
1.0,4.0,7.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.2659409020217729,0.2457231726283048,9.489795918367347,2587.58,0.36,2724.37,1.0,28.58,0.28,625.64,0.32,4802.6,0.02,29.62,0.22,1060.35,0.28,212.73,0.25,0.1050583657587548
1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.19751166407465,0.19751166407465,11.64102564102564,2587.29,0.29,2762.9,1.0,953.81,0.33,588.13,0.33,5727.38,1.0,2587.26,0.43,953.8,0.24,230.8,0.23,0.1176470588235294
2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,0.2020725388601036,0.2020725388601036,11.833333333333334,2.02,0.31,36.45,0.34,2.94,0.26,1.02,0.34,3.78,0.11,2.02,0.17,2.94,0.22,246.34,0.25,0.2012987012987013
2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,0.2176165803108808,0.2176165803108808,10.846153846153848,4465.33,0.32,172.58,0.34,1303.33,0.26,5935.54,0.34,8777.21,0.07,4465.35,0.32,1303.33,0.26,39.21,0.2,0.1753246753246753
