Age,Workclass,fnlwgt,Education,Education_Num,Martial_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,Hours_per_week,Country,income
-999,7,77516,9,13,4,1,1,4,1,2174,0,2.7019679342738842e-05,38,0
50,6,83311,9,13,2,4,0,4,1,0,0,-4.656732962826614e-06,38,0
38,4,215646,11,9,0,6,1,4,1,0,0,-4.15728714342029e-06,38,0
53,4,234721,1,7,2,6,0,2,1,0,0,5.885700156377142e-06,38,0
28,4,338409,9,13,2,10,5,2,0,0,0,-6.822167189548593e-06,5,0
37,4,284582,12,14,2,4,5,4,0,0,0,-1.409618614905171e-06,38,0
49,4,160187,6,5,3,8,1,2,0,0,0,-4.150381087835458e-06,22,0
52,6,209642,11,9,2,4,0,4,1,0,0,-2.621653921904179e-05,38,1
31,4,45781,12,14,4,10,1,4,0,14084,0,1.2323323015154568e-06,38,1
42,4,159449,9,13,,4,0,4,1,5178,0,-1.823609593027903e-06,38,1
37,4,280464,15,10,2,4,0,2,1,0,0,1.2712310502568996e-05,38,0
30,7,141297,9,13,2,10,0,1,1,0,0,5.490407536354829e-08,18,1
23,4,122272,9,13,,1,3,4,0,999,0,-1.2547474783141725e-05,38,0
32,4,205019,7,12,4,12,1,2,1,0,0,-2.5809887297952335e-06,38,0
40,4,121772,8,11,2,3,0,1,1,0,0,-2.0910828431366283e-05,0,1
34,4,245487,5,4,2,14,0,0,1,0,0,-1.2109178351996427e-05,25,0
25,6,176756,11,9,4,5,3,4,1,0,0,6.355059681529977e-06,38,0
32,4,186824,11,9,4,7,4,4,1,0,0,-2.473404399536633e-06,38,0
-999,4,28887,1,7,2,12,0,4,1,0,0,9.225082394980659e-06,38,0
43,6,292175,12,14,0,4,4,4,0,0,0,-1.9668922508780478e-05,38,0
40,4,193524,10,16,2,10,0,4,1,999,0,-2.4246139732375303e-06,38,1
54,4,302146,11,9,5,8,4,2,0,0,0,-4.755124983877854e-06,38,0
35,1,76845,6,5,2,5,0,2,1,0,0,9.558485826132061e-06,38,0
43,4,117037,1,7,2,14,0,4,1,0,2042,2042.0000067276276,38,0
-999,4,109015,11,9,0,13,4,4,0,0,0,6.42252150088298e-06,38,0
