race,gender,loan_type,applicant_age,lien_status,LV,DI,income_brackets,action_taken
1,1,4.999999067013503,0,1.0,1.000003375745488,5,3,1
1,0,6.00000131057826,0,1.0,1.000014074818613,6,0,1
0,1,2.0000036547447264,0,1.0,9.058490690174555e-07,2,0,1
1,1,2.0000317885367935,0,1.0,1.0000064393879329,2,2,0
-9999,1,5.000008512855748,1,1.0,-9999.00002050172,5,3,1
1,0,2.9999929273547004,0,1.0,0.9999995128159807,3,2,1
1,1,5.000009689978703,0,,0.999991567697297,5,2,1
1,1,5.999996381674629,0,1.0,0.9999878118693958,6,3,1
0,0,2.999995102498171,1,1.0,-8.781523669287508e-06,3,0,0
0,0,6.000009086013599,0,1.0,-3.3412344070081208e-06,6,2,1
1,0,6.000000310855878,0,1.0,1.0000091590254236,6,3,1
1,1,6.000002785759145,0,1.0,0.9999867360728226,6,3,1
1,1,5.000000139852219,0,-9999.0,1.0000003063149259,5,2,1
1,1,5.000003365831266,1,,0.9999951583056667,5,3,1
1,1,-9998.99999575034,1,1.0,0.9999967232690564,-9999,3,1
1,0,5.999980630330673,0,1.0,1.000010027578253,6,2,1
1,1,3.000006665726686,0,1.0,1.00000538115437,3,3,1
1,1,3.9999901798058017,0,1.0,1.0000133739810744,4,3,1
1,1,0.9999855770086444,0,1.0,0.9999984549432075,1,2,1
1,1,1.9999994158875614,1,1.0,0.9999930405738833,2,3,1
0,1,4.000000839810033,1,1.0,-2.2385881688049955e-06,4,3,1
0,1,-9999.00000693506,1,1.0,2.424967912712216e-06,-9999,1,1
0,1,4.000008310318576,0,1.0,1.7657335845371103e-06,4,2,1
1,1,3.999986578248336,1,,0.9999891561192776,4,3,1
0,0,5.999995930562513,0,1.0,9.048978162787423e-07,6,0,1
1,1,2.9999941512586505,0,1.0,1.0000022822833015,3,3,1
1,1,6.999999534127297,0,1.0,1.0000251747403754,7,2,1
1,0,5.000002788642846,1,1.0,1.0000187684461128,5,4,1
1,1,5.999989921070504,1,1.0,0.9999914675664944,6,3,1
1,1,2.000007242826775,0,1.0,0.9999971261663845,2,3,1
