missing_value,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,1,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,0.23661,113968.65917,0.13137,533.42143,0.13137,46448.00959,0.13137,1903.38419,0.13137,208119.95764,0.13137,2970.0185,0.13137,1778.00588,0.13137,3048.10559,0.13137,148.20998,0.13137,640.12289,0.13137,301.97253,0.13137,683.97315,0.13137,152167.02938,0.13137,164.29937,0.13137,0.05397751299149342
1,2,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,0.23661,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,694.7681,0.13137,0.1678855668834461
1,3,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,0.23661,484.55024,0.13137,778.01779,0.13137,300.56517,0.13137,1860.71277,0.13137,1171.58857,0.13137,115.40568,0.13137,2345.49618,0.13137,266.15148,0.13137,5232.47108,0.13137,11766.32276,0.13137,301.97253,0.13137,683.97315,0.13137,51.18828,0.13137,1477.89844,0.13137,0.1305993957378482
1,4,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,0.23661,2709.35016,0.13137,4220.49389,0.13137,950.00242,0.13137,11827.21798,0.13137,10957.57852,0.13137,2432.5615,0.13137,2954.78946,0.13137,131.64918,0.13137,30371.82913,0.13137,6783.26456,0.13137,3999.37252,0.13137,3483.8268,0.13137,2201.85409,0.13137,29591.88666,0.13137,0.1713123071032796
1,5,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,0.23661,258.41434,0.13137,4220.49389,0.13137,1092.58541,0.13137,11827.21798,0.13137,9460.4231,0.13137,2432.5615,0.13137,2954.78946,0.13137,131.64918,0.13137,30371.82913,0.13137,6783.26456,0.13137,3999.37252,0.13137,3483.8268,0.13137,2046.48532,0.13137,29591.88666,0.13137,0.16977747300312443
2,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.139,571.81821,0.139,52279.45793,0.139,2114.18863,0.139,232602.7845,0.139,2970.0185,0.139,1967.0139,0.139,3391.24845,0.139,161.4409,0.139,729.92987,0.139,331.19245,0.139,769.97512,0.139,168382.36467,0.139,167.7667,0.139,0.05457566798240117
2,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,0.16928565095225137
2,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,0.139,902.58379,0.139,345.1193,0.139,2020.94346,0.139,800.96323,0.139,56.22378,0.139,2596.09881,0.139,288.49348,0.139,5836.99697,0.139,13103.28639,0.139,331.19245,0.139,769.97512,0.139,63.23188,0.139,1640.6317,0.139,0.1480106522516793
2,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,0.139,4662.82725,0.139,1045.30995,0.139,13226.98324,0.139,12216.24514,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2446.99475,0.139,32935.24494,0.139,0.1712324997630455
2,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,0.139,4662.82725,0.139,1203.06599,0.139,13226.98324,0.139,10548.83194,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2274.14021,0.139,32935.24494,0.139,0.17132458079435303
