missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
1,1,1,1,0.49996587729475195,0.49996587729475195,0.18881,2.01378,0.041863393890282596,0.21295,113968.65917,533.42143,46448.00959,1903.38419,208119.95764,2970.0185,1778.00588,3048.10559,148.20998,640.12289,301.97253,683.97315,152167.02938,164.29937,0.05397751299149342
1,1,2,1,0.49996587729475195,0.49996587729475195,0.20582,2.5716,0.04149487004347413,0.17382,99456.4276,356.48341,42731.98499,1277.6241,214847.19525,2417.67144,1352.29492,2467.94678,67.5921,545.46009,603.96413,184.42113,163133.00691,126.05345,0.08600011263505376
1,1,3,1,0.49996587729475195,0.49996587729475195,0.19064,2.09227,0.04171773687664236,0.16553,91983.21127,389.2735,36223.11983,1365.02519,163373.05075,2334.04282,1319.69832,2390.64782,105.75558,483.47512,221.91746,508.84955,141707.55723,139.45207,0.0511814755258589
1,1,4,1,0.49996587729475195,0.49996587729475195,0.18808,2.01337,0.04170481904666545,0.19489,107241.20593,474.79412,44555.3411,1705.6101,192904.40102,2760.84622,1595.98242,2834.08293,143.11772,589.63358,258.18171,461.48424,146717.76898,164.38962,0.047685076686717176
1,1,5,1,0.49996587729475195,0.49996587729475195,0.18594,1.988,0.041404721853531834,0.19292,106961.18092,476.73027,44871.44702,1714.03585,194874.23271,2780.73214,1651.26775,2848.30843,141.39673,595.78069,228.99095,292.62897,143889.35006,168.15639,0.04845536645229291
1,1,6,1,0.49996587729475195,0.49996587729475195,0.17796,1.95303,0.039858905038575504,0.17861,103390.96765,446.94468,43355.49813,1627.93885,190893.99022,2625.68593,1530.5404,2702.23116,135.24735,557.71673,185.06793,24.62981,138956.35721,164.3034,0.030943974573833237
1,1,7,1,0.49996587729475195,0.49996587729475195,0.17468,1.94049,0.039205804614753405,0.17339,102293.3462,436.3126,43466.43483,1615.64088,189377.47794,2567.13606,1530.0964,2645.21052,127.51135,543.03476,154.96906,43.65013,137770.82571,162.49776,0.02251034937136965
1,2,1,1,0.49996587729475195,0.500034122705248,0.18881,2.01378,0.041863393890282596,0.21295,694.7681,533.42143,694.7681,1903.38419,694.7681,2970.0185,1778.00588,3048.10559,148.20998,640.12289,694.7681,694.7681,694.7681,164.29937,0.1678855668834461
1,2,2,1,0.49996587729475195,0.500034122705248,0.20582,2.5716,0.04149487004347413,0.17382,1100.49683,356.48341,871.96913,1277.6241,426.06093,2417.67144,1352.29492,2467.94678,67.5921,545.46009,4463.8443,3478.56893,445.62716,126.05345,0.18307253986270075
1,2,3,1,0.49996587729475195,0.500034122705248,0.19186,1.96624,0.04287953783865242,0.16135,583.41044,476.09402,620.43117,1473.1377,538.55818,2338.44726,1404.21045,2388.21753,128.15038,502.07446,528.63079,490.26053,529.78661,141.96085,0.1743097859094052
1,2,4,1,0.49996587729475195,0.500034122705248,0.19342,1.9821,0.04311440599479841,0.19888,663.11499,525.09816,773.26881,1802.13544,608.28952,2927.36133,1670.68399,2980.73853,153.93898,628.60618,767.50158,660.12292,679.43824,154.08634,0.17661879432112376
1,2,5,1,0.49996587729475195,0.500034122705248,0.19179,1.98208,0.04275008466101971,0.20251,645.64149,513.84188,759.27158,1833.43498,632.40106,2950.9459,1693.58075,3026.57759,155.59849,634.90928,799.47412,706.3462,691.24317,155.56977,0.17397355646679077
1,2,6,1,0.49996587729475195,0.500034122705248,0.19118,1.99323,0.0425351572919924,0.2041,674.62842,514.28699,790.32473,1860.60852,641.02942,3014.19331,1713.52024,3083.75294,153.11076,639.8568,830.00459,715.52061,719.44278,156.52594,0.1731997083044433
1,2,7,1,0.49996587729475195,0.500034122705248,0.19143,1.99138,0.04260381599701339,0.20527,697.50967,514.6827,837.06905,1868.98236,642.58991,3026.10074,1730.46219,3091.895,151.91389,644.71609,813.15981,735.42894,742.51717,153.56692,0.17230547210274952
1,3,1,1,0.49996587729475195,0.550194499419914,0.18881,2.01378,0.041863393890282596,0.21295,484.55024,533.42143,300.56517,1903.38419,1171.58857,2970.0185,1778.00588,3048.10559,148.20998,640.12289,301.97253,683.97315,51.18828,164.29937,0.1305993957378482
1,3,2,1,0.49996587729475195,0.550194499419914,0.20582,2.5716,0.04149487004347413,0.17382,805.21218,356.48341,430.12327,1277.6241,816.68132,2417.67144,1352.29492,2467.94678,67.5921,545.46009,603.96413,184.42113,1.70614,126.05345,0.17767291646811129
