missing_value,normalization,outlier,model,utility_sp
1,1,1,1,0.05983460631874594
1,1,2,1,0.10942632170978628
1,1,3,1,0.07376740527513723
1,1,4,1,0.06333198630788248
1,1,5,1,0.019147122729655436
1,1,6,1,0.016309151100259142
1,1,7,1,0.002512664640324215
1,1,8,1,0.002169474612955302
1,2,1,1,0.172809271934749
1,2,2,1,0.1967979002624672
1,2,3,1,0.16043513066517126
1,2,4,1,0.17196875499075995
1,2,5,1,0.18601782056266686
1,2,6,1,0.17743509607248026
1,2,7,1,0.1764881611174998
1,2,8,1,0.17700608238257853
1,3,1,1,0.15479562704188404
1,3,2,1,0.2014360704911886
1,3,3,1,0.15366923080048925
1,3,4,1,0.16712470203448082
1,3,5,1,0.18019445991796224
1,3,6,1,0.16709493260345268
1,3,7,1,0.16300254310494092
1,3,8,1,0.16340936200157624
1,4,1,1,0.16235671403236798
1,4,2,1,0.18836520434945633
1,4,3,1,0.09201623815967523
1,4,4,1,0.1762317597096368
1,4,5,1,0.19149507215769096
1,4,6,1,0.19185818830589738
1,4,7,1,0.17901126826254307
1,4,8,1,0.17678432889142517
1,5,1,1,0.1641146871443066
1,5,2,1,0.19061117360329957
1,5,3,1,0.1002710027100271
1,5,4,1,0.17740508865762816
1,5,5,1,0.19287900631659155
1,5,6,1,0.1942319598546687
1,5,7,1,0.18254079957105995
1,5,8,1,0.1802120306457552
2,1,1,1,0.05983460631874594
2,1,2,1,0.10942632170978628
2,1,3,1,0.07376740527513723
2,1,4,1,0.06333198630788248
2,1,5,1,0.019147122729655436
2,1,6,1,0.016309151100259142
2,1,7,1,0.002512664640324215
2,1,8,1,0.002169474612955302
2,2,1,1,0.172809271934749
2,2,2,1,0.1967979002624672
2,2,3,1,0.16043513066517126
2,2,4,1,0.17196875499075995
2,2,5,1,0.18601782056266686
2,2,6,1,0.17743509607248026
2,2,7,1,0.1764881611174998
2,2,8,1,0.17700608238257853
2,3,1,1,0.15479562704188404
2,3,2,1,0.2014360704911886
2,3,3,1,0.15366923080048925
2,3,4,1,0.16712470203448082
2,3,5,1,0.18019445991796224
2,3,6,1,0.16709493260345268
2,3,7,1,0.16300254310494092
2,3,8,1,0.16340936200157624
2,4,1,1,0.16235671403236798
2,4,2,1,0.18836520434945633
2,4,3,1,0.09201623815967523
2,4,4,1,0.1762317597096368
2,4,5,1,0.19149507215769096
2,4,6,1,0.19185818830589738
2,4,7,1,0.17901126826254307
2,4,8,1,0.17678432889142517
2,5,1,1,0.1641146871443066
2,5,2,1,0.19061117360329957
2,5,3,1,0.1002710027100271
2,5,4,1,0.17740508865762816
2,5,5,1,0.19287900631659155
2,5,6,1,0.1942319598546687
2,5,7,1,0.18254079957105995
2,5,8,1,0.1802120306457552
3,1,1,1,0.05983460631874594
3,1,2,1,0.10942632170978628
3,1,3,1,0.07376740527513723
3,1,4,1,0.06333198630788248
3,1,5,1,0.019147122729655436
3,1,6,1,0.016309151100259142
3,1,7,1,0.002512664640324215
3,1,8,1,0.002169474612955302
3,2,1,1,0.172809271934749
3,2,2,1,0.1967979002624672
3,2,3,1,0.16043513066517126
3,2,4,1,0.17196875499075995
3,2,5,1,0.18601782056266686
3,2,6,1,0.17743509607248026
3,2,7,1,0.1764881611174998
3,2,8,1,0.17700608238257853
3,3,1,1,0.15479562704188404
3,3,2,1,0.2014360704911886
3,3,3,1,0.15366923080048925
3,3,4,1,0.16712470203448082
3,3,5,1,0.18019445991796224
3,3,6,1,0.16709493260345268
3,3,7,1,0.16300254310494092
3,3,8,1,0.16340936200157624
3,4,1,1,0.16235671403236798
3,4,2,1,0.18836520434945633
