missing_value,normalization,outlier,model,utility_sp
1,1,1,1,0.06442497510703718
1,1,2,1,0.09057590875440837
1,1,3,1,0.0608316636729298
1,1,4,1,0.05523717867000441
1,1,5,1,0.0515122686900836
1,1,6,1,0.049293055676568526
1,1,7,1,0.033000917400360645
1,1,8,1,0.028267653914712733
1,2,1,1,0.16965152909546566
1,2,2,1,0.18993360108301147
1,2,3,1,0.12693072038172112
1,2,4,1,0.1747809020439251
1,2,5,1,0.1767468881897717
1,2,6,1,0.17549486623669727
1,2,7,1,0.1741224736458555
1,2,8,1,0.1736991207741704
1,3,1,1,0.14339926274025405
1,3,2,1,0.15284369073472318
1,3,3,1,0.12663900509584014
1,3,4,1,0.16084121497315934
1,3,5,1,0.17540007930214116
1,3,6,1,0.142175811049282
1,3,7,1,0.15550590022892866
1,3,8,1,0.14471731754974515
1,4,1,1,0.17205878306279754
1,4,2,1,0.18840308086386404
1,4,3,1,0.11250961395215228
1,4,4,1,0.17317214175948475
1,4,5,1,0.17784550501085716
1,4,6,1,0.18203514897820328
1,4,7,1,0.18391882436076828
1,4,8,1,0.18606117296525662
1,5,1,1,0.17251888247158328
1,5,2,1,0.18825634688676923
1,5,3,1,0.11455162095331914
1,5,4,1,0.17535810810463173
1,5,5,1,0.17710444009972867
1,5,6,1,0.18208439159665063
1,5,7,1,0.18494468643647058
1,5,8,1,0.18526937611019115
2,1,1,1,0.06442497510703718
2,1,2,1,0.09057590875440837
2,1,3,1,0.0608316636729298
2,1,4,1,0.05523717867000441
2,1,5,1,0.0515122686900836
2,1,6,1,0.049293055676568526
2,1,7,1,0.033000917400360645
2,1,8,1,0.028267653914712733
2,2,1,1,0.16965152909546566
2,2,2,1,0.18993360108301147
2,2,3,1,0.12693072038172112
2,2,4,1,0.1747809020439251
2,2,5,1,0.1767468881897717
2,2,6,1,0.17549486623669727
2,2,7,1,0.1741224736458555
2,2,8,1,0.1736991207741704
2,3,1,1,0.14339926274025405
2,3,2,1,0.15284369073472318
2,3,3,1,0.12663900509584014
2,3,4,1,0.16084121497315934
2,3,5,1,0.17540007930214116
2,3,6,1,0.142175811049282
2,3,7,1,0.15550590022892866
2,3,8,1,0.14471731754974515
2,4,1,1,0.17205878306279754
2,4,2,1,0.18840308086386404
2,4,3,1,0.11250961395215228
2,4,4,1,0.17317214175948475
2,4,5,1,0.17784550501085716
2,4,6,1,0.18203514897820328
2,4,7,1,0.18391882436076828
2,4,8,1,0.18606117296525662
2,5,1,1,0.17251888247158328
2,5,2,1,0.18825634688676923
2,5,3,1,0.11455162095331914
2,5,4,1,0.17535810810463173
2,5,5,1,0.17710444009972867
2,5,6,1,0.18208439159665063
2,5,7,1,0.18494468643647058
2,5,8,1,0.18526937611019115
3,1,1,1,0.06442497510703718
3,1,2,1,0.09057590875440837
3,1,3,1,0.0608316636729298
3,1,4,1,0.05523717867000441
3,1,5,1,0.0515122686900836
3,1,6,1,0.049293055676568526
3,1,7,1,0.033000917400360645
3,1,8,1,0.028267653914712733
3,2,1,1,0.16965152909546566
3,2,2,1,0.18993360108301147
3,2,3,1,0.12693072038172112
3,2,4,1,0.1747809020439251
3,2,5,1,0.1767468881897717
3,2,6,1,0.17549486623669727
3,2,7,1,0.1741224736458555
3,2,8,1,0.1736991207741704
3,3,1,1,0.14339926274025405
3,3,2,1,0.15284369073472318
3,3,3,1,0.12663900509584014
3,3,4,1,0.16084121497315934
3,3,5,1,0.17540007930214116
3,3,6,1,0.142175811049282
3,3,7,1,0.15550590022892866
3,3,8,1,0.14471731754974515
3,4,1,1,0.17205878306279754
3,4,2,1,0.18840308086386404
3,4,3,1,0.11250961395215228
3,4,4,1,0.17317214175948475
3,4,5,1,0.17784550501085716
3,4,6,1,0.18203514897820328
3,4,7,1,0.18391882436076828
3,4,8,1,0.18606117296525662
3,5,1,1,0.17251888247158328
3,5,2,1,0.18825634688676923
3,5,3,1,0.11455162095331914
3,5,4,1,0.17535810810463173
3,5,5,1,0.17710444009972867
3,5,6,1,0.18208439159665063
3,5,7,1,0.18494468643647058
3,5,8,1,0.18526937611019115
4,1,1,1,0.06442497510703718
4,1,2,1,0.09057590875440837
4,1,3,1,0.0608316636729298
4,1,4,1,0.05523717867000441
4,1,5,1,0.0515122686900836
4,1,6,1,0.049293055676568526
4,1,7,1,0.033000917400360645
4,1,8,1,0.028267653914712733
4,2,1,1,0.16965152909546566
4,2,2,1,0.18993360108301147
4,2,3,1,0.12693072038172112
4,2,4,1,0.1747809020439251
4,2,5,1,0.1767468881897717
4,2,6,1,0.17549486623669727
4,2,7,1,0.1741224736458555
4,2,8,1,0.1736991207741704
4,3,1,1,0.14339926274025405
4,3,2,1,0.15284369073472318
4,3,3,1,0.12663900509584014
4,3,4,1,0.16084121497315934
4,3,5,1,0.17540007930214116
4,3,6,1,0.142175811049282
4,3,7,1,0.15550590022892866
4,3,8,1,0.14471731754974515
4,4,1,1,0.17205878306279754
4,4,2,1,0.18840308086386404
4,4,3,1,0.11250961395215228
4,4,4,1,0.17317214175948475
4,4,5,1,0.17784550501085716
4,4,6,1,0.18203514897820328
4,4,7,1,0.18391882436076828
4,4,8,1,0.18606117296525662
