missing_value,normalization,outlier,model,utility_accuracy_score
1,1,1,1,0.21108305466457378
1,1,2,1,0.21583347551612353
1,1,3,1,0.21702508960573474
1,1,4,1,0.212511091393079
1,1,5,1,0.20970802919708031
1,1,6,1,0.20437574671445635
1,1,7,1,0.20006019110676398
1,2,1,1,0.1757319320275711
1,2,2,1,0.1845248251151681
1,2,3,1,0.17551942186088532
1,2,4,1,0.17996778444867478
1,2,5,1,0.1776824034334764
1,2,6,1,0.17756745303008903
1,2,7,1,0.17695010541110334
1,3,1,1,0.1835119088241316
1,3,2,1,0.18529261218222148
1,3,3,1,0.1815497494631353
1,3,4,1,0.17780069234735218
1,3,5,1,0.1819297106155734
1,3,6,1,0.18248801774089707
1,3,7,1,0.17733638182337808
1,4,1,1,0.17866648467890534
1,4,2,1,0.18887561849513734
1,4,3,1,0.1817497648165569
1,4,4,1,0.18791998749804661
1,4,5,1,0.18702114618449284
1,4,6,1,0.18476875796417058
1,4,7,1,0.18310067213235837
1,5,1,1,0.1792806933733706
1,5,2,1,0.18879030882102033
1,5,3,1,0.18147661093368406
1,5,4,1,0.18795592115474158
1,5,5,1,0.1869628052027078
1,5,6,1,0.18397559886921588
1,5,7,1,0.18270715388574366
2,1,1,1,0.21067501996191884
2,1,2,1,0.21381957773512472
2,1,3,1,0.21363526472721417
2,1,4,1,0.21109562678346272
2,1,5,1,0.20874738493723854
2,1,6,1,0.20541518664968839
2,1,7,1,0.20467599162105543
2,2,1,1,0.17486640869725445
2,2,2,1,0.17942418426103646
2,2,3,1,0.1735992864672018
2,2,4,1,0.17819898996523909
2,2,5,1,0.17711799334527767
2,2,6,1,0.17626217891939766
2,2,7,1,0.17583249243188703
2,3,1,1,0.1781217369940421
2,3,2,1,0.18272552783109408
2,3,3,1,0.17437379576107903
2,3,4,1,0.1759699129057799
2,3,5,1,0.173502393582611
2,3,6,1,0.1772963271585155
2,3,7,1,0.17487668951380442
2,4,1,1,0.1779374731281862
2,4,2,1,0.18441458733205374
2,4,3,1,0.1787643484132343
2,4,4,1,0.1857303055789179
2,4,5,1,0.1849544801149976
2,4,6,1,0.18269488347173857
2,4,7,1,0.18145800316957206
2,5,1,1,0.1781217369940421
2,5,2,1,0.18418426103646834
2,5,3,1,0.17803954564577196
2,5,4,1,0.1849219620958752
