missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_accuracy_score
1,1,1,1,0.14834152334152334,0.14834152334152334,3.12790533878011,231321.08,0.42,956.22,0.15,94102.74,0.34,4025.46,0.15,100262.49,0.5,5803.9,0.15,3653.25,0.15,5991.22,0.15,292.33,0.15,1350.38,0.15,622.04,0.08,1360.06,0.05,311993.47,0.32,294.92,0.15,0.21232596232596235
1,1,2,1,0.14834152334152334,0.14834152334152334,3.111364433532094,202560.63,0.5,639.76,0.15,85253.57,0.33,2844.55,0.15,82402.87,0.46,4647.83,0.15,2749.07,0.15,4788.91,0.15,171.45,0.15,1205.61,0.15,843.02,0.07,394.16,0.02,318101.99,0.32,205.19,0.15,0.21665315872541913
1,1,3,1,0.14834152334152334,0.14834152334152334,3.072,189305.58,0.4,731.17,0.15,72959.06,0.33,3081.9,0.15,77125.08,0.49,4611.27,0.15,2810.67,0.15,4732.77,0.15,238.3,0.15,1047.64,0.15,452.06,0.08,1019.35,0.04,296261.83,0.27,256.45,0.15,0.21450258974816927
1,1,4,1,0.14834152334152334,0.14834152334152334,3.1283438533213106,223631.57,0.43,915.24,0.15,89831.66,0.33,3717.02,0.15,94246.71,0.5,5539.92,0.15,3439.84,0.15,5717.66,0.15,280.56,0.15,1244.61,0.15,533.52,0.08,1204.13,0.04,320115.37,0.34,284.06,0.15,0.21933017837641067
1,1,5,1,0.14834152334152334,0.14834152334152334,3.1876959832760936,223066.01,0.4,878.06,0.15,92728.33,0.33,3775.06,0.15,95933.09,0.5,5562.58,0.15,3460.75,0.15,5730.78,0.15,280.05,0.15,1262.57,0.15,529.89,0.07,957.66,0.03,303022.48,0.34,281.04,0.15,0.21180246033160988
1,1,6,1,0.14834152334152334,0.14834152334152334,3.2523321608808686,220109.74,0.46,886.05,0.15,93152.13,0.3,3684.35,0.15,94801.03,0.5,5520.47,0.15,3406.46,0.15,5679.23,0.15,273.91,0.15,1259.49,0.15,498.2,0.06,601.23,0.02,298095.57,0.34,282.58,0.15,0.20941523412213192
1,1,7,1,0.14834152334152334,0.14834152334152334,3.385557704706641,213250.0,0.46,833.44,0.15,92181.51,0.32,3539.47,0.15,92512.32,0.5,5276.83,0.15,3232.61,0.15,5430.68,0.15,256.35,0.15,1211.86,0.15,452.47,0.06,189.59,0.01,289548.32,0.31,267.63,0.15,0.2061158482799177
1,2,1,1,0.14834152334152334,0.14834152334152334,3.12790533878011,1452.98,0.42,956.22,0.3,1452.98,0.34,4025.46,0.29,1452.98,0.5,5803.9,0.21,3653.25,0.41,5991.22,0.34,292.33,0.15,1350.38,0.33,1452.98,0.08,1452.98,0.05,1452.98,0.32,294.92,0.1,0.19703794703794708
1,2,2,1,0.14834152334152334,0.14834152334152334,3.111364433532094,2019.26,0.5,639.76,0.26,1854.67,0.33,2844.55,0.26,1565.11,0.46,4647.83,0.18,2749.07,0.39,4788.91,0.3,171.45,0.08,1205.61,0.29,7729.41,0.07,6399.83,0.02,861.78,0.32,205.19,0.05,0.20829245403745256
1,2,3,1,0.14834152334152334,0.14834152334152334,3.1042810098792537,1152.59,0.39,747.44,0.3,1218.92,0.31,3119.95,0.29,1025.1,0.5,4615.27,0.2,2828.67,0.4,4743.39,0.34,248.87,0.14,1063.81,0.33,1291.95,0.07,1101.97,0.05,1044.43,0.33,234.37,0.11,0.19951858785771592
1,2,4,1,0.14834152334152334,0.14834152334152334,3.108383233532934,1390.71,0.4,916.59,0.3,1503.84,0.33,3812.66,0.29,1297.98,0.5,5664.06,0.21,3470.04,0.41,5800.92,0.34,288.24,0.14,1315.46,0.33,1553.21,0.08,1448.95,0.05,1319.75,0.32,276.37,0.1,0.20044454161200986
1,2,5,1,0.14834152334152334,0.14834152334152334,3.1322533136966126,1422.59,0.43,927.99,0.3,1515.55,0.27,3870.47,0.29,1345.03,0.5,5839.58,0.21,3506.56,0.41,5977.13,0.34,288.39,0.15,1353.73,0.33,1685.63,0.08,1472.31,0.05,1370.82,0.32,281.0,0.1,0.20001425618361968
1,2,6,1,0.14834152334152334,0.14834152334152334,3.1472007016518053,1477.24,0.47,937.39,0.3,1544.0,0.33,3922.4,0.29,1356.62,0.5,5867.14,0.21,3556.56,0.41,6014.47,0.34,299.77,0.15,1345.61,0.33,1743.22,0.08,1560.57,0.04,1438.06,0.34,282.2,0.1,0.19879454372422545
1,2,7,1,0.14834152334152334,0.14834152334152334,3.1603622024244196,1518.01,0.47,931.84,0.3,1596.15,0.3,3913.72,0.29,1356.78,0.5,5877.09,0.21,3547.87,0.41,6038.8,0.34,301.27,0.15,1357.8,0.33,1861.77,0.08,1618.32,0.04,1472.76,0.28,276.9,0.1,0.19827283577897914
1,3,1,1,0.14834152334152334,0.14834152334152334,3.12790533878011,1180.98,0.42,956.22,0.3,632.05,0.34,4025.46,0.29,10.3,0.5,5803.9,0.21,3653.25,0.41,5991.22,0.34,292.33,0.15,1350.38,0.33,622.04,0.08,1360.06,0.05,108.52,0.32,294.92,0.1,0.19946082446082447
1,3,2,1,0.14834152334152334,0.14834152334152334,3.111364433532094,1631.08,0.5,639.76,0.26,923.75,0.33,2844.55,0.26,43.8,0.46,4647.83,0.18,2749.07,0.39,4788.91,0.3,171.45,0.08,1205.61,0.29,843.02,0.07,394.16,0.02,2.83,0.32,205.19,0.05,0.2109371667448705
1,3,3,1,0.14834152334152334,0.14834152334152334,3.0925356949213807,964.15,0.4,802.51,0.3,582.54,0.33,3191.7,0.29,6.71,0.5,4439.97,0.21,3009.31,0.41,4595.18,0.34,241.68,0.14,1054.76,0.33,484.4,0.08,1043.85,0.05,86.91,0.34,246.53,0.11,0.2004504504504504
1,3,4,1,0.14834152334152334,0.14834152334152334,3.16883904213398,1251.83,0.38,956.24,0.3,645.35,0.32,3859.27,0.28,3.08,0.5,5622.24,0.21,3515.74,0.41,5782.17,0.34,327.28,0.14,1344.7,0.33,523.89,0.07,1133.46,0.04,102.53,0.3,284.2,0.1,0.1974478295644586
1,3,5,1,0.14834152334152334,0.14834152334152334,3.1937321937321936,1274.08,0.44,944.02,0.3,663.15,0.31,3907.18,0.28,1.94,0.5,5704.46,0.21,3533.02,0.41,5884.81,0.34,324.44,0.14,1339.2,0.33,523.4,0.07,1107.31,0.04,107.64,0.31,274.8,0.1,0.19729691075514877
1,3,6,1,0.14834152334152334,0.14834152334152334,3.2414729852097794,1210.16,0.43,929.64,0.3,653.17,0.37,3788.77,0.28,1.52,0.5,5661.97,0.21,3517.65,0.41,5846.27,0.34,307.59,0.14,1325.8,0.33,496.44,0.07,1094.72,0.04,115.39,0.32,276.46,0.1,0.19733845715912324
1,3,7,1,0.14834152334152334,0.14834152334152334,3.2804321363359707,1182.57,0.44,921.23,0.3,647.98,0.33,3762.71,0.29,0.52,0.5,5723.27,0.21,3475.52,0.41,5893.6,0.34,302.46,0.14,1314.0,0.33,485.09,0.07,1066.06,0.04,116.16,0.34,275.56,0.1,0.19821549180619247
1,4,1,1,0.14834152334152334,0.14834152334152334,3.12790533878011,4947.03,0.42,956.22,0.3,2036.53,0.34,4025.46,0.29,10939.8,0.5,5803.9,0.21,3653.25,0.41,5991.22,0.34,292.33,0.15,1350.38,0.33,8303.98,0.08,7539.0,0.05,4073.37,0.32,294.92,0.1,0.1983346983346983
1,4,2,1,0.14834152334152334,0.14834152334152334,3.111364433532094,3589.92,0.5,639.76,0.26,1746.32,0.33,2844.55,0.26,8348.05,0.46,4647.83,0.18,2749.07,0.39,4788.91,0.3,171.45,0.08,1205.61,0.29,7198.09,0.07,6985.13,0.02,3521.21,0.32,205.19,0.05,0.21033997355287293
1,4,3,1,0.14834152334152334,0.14834152334152334,3.135067437379576,3638.82,0.36,762.2,0.3,1530.29,0.3,3013.95,0.28,8091.83,0.5,4303.74,0.21,2721.81,0.4,4429.33,0.33,238.31,0.15,996.49,0.33,6156.71,0.07,5545.94,0.04,3010.88,0.31,230.01,0.1,0.20479008433903356
1,4,4,1,0.14834152334152334,0.14834152334152334,3.021087160262418,4059.23,0.47,916.21,0.3,2036.66,0.32,3645.13,0.51,9250.32,0.5,5226.69,0.2,3300.75,0.4,5357.8,0.33,285.35,0.15,1191.73,0.32,7663.52,0.08,7012.14,0.04,3301.19,0.33,268.5,0.1,0.20696888474536768
1,4,5,1,0.14834152334152334,0.14834152334152334,3.013449488002445,4139.77,0.43,941.92,0.3,2095.15,0.35,3697.35,0.29,9421.0,0.5,5340.7,0.2,3357.22,0.4,5473.52,0.33,304.69,0.15,1243.31,0.32,7880.19,0.08,7259.55,0.04,3361.28,0.29,269.83,0.1,0.2054836252856055
1,4,6,1,0.14834152334152334,0.14834152334152334,3.028828828828829,4255.55,0.46,947.11,0.3,2103.05,0.33,3723.23,0.29,9774.7,0.51,5468.46,0.21,3384.4,0.4,5604.89,0.33,306.95,0.15,1263.26,0.33,8007.2,0.08,7410.65,0.04,3454.37,0.33,268.77,0.1,0.20374925462134763
1,4,7,1,0.14834152334152334,0.14834152334152334,3.04882783335822,4307.55,0.43,952.6,0.3,2078.65,0.31,3779.88,0.29,9953.01,0.51,5594.04,0.21,3432.31,0.41,5716.47,0.33,302.29,0.15,1311.41,0.33,8014.72,0.08,7473.87,0.04,3548.28,0.28,272.96,0.1,0.20258159690208377
1,5,1,1,0.14834152334152334,0.14834152334152334,3.12790533878011,387.7,0.42,956.22,0.3,2302.59,0.34,4025.46,0.29,9567.81,0.5,5803.9,0.21,3653.25,0.41,5991.22,0.34,292.33,0.15,1350.38,0.33,8303.98,0.08,7539.0,0.05,3777.14,0.32,294.92,0.1,0.19847119847119843
1,5,2,1,0.14834152334152334,0.14834152334152334,3.111364433532094,190.67,0.5,639.76,0.26,1967.53,0.33,2844.55,0.26,7264.33,0.46,4647.83,0.18,2749.07,0.39,4788.91,0.3,171.45,0.08,1205.61,0.29,7198.09,0.07,6985.13,0.02,3276.58,0.32,205.19,0.05,0.21042528686601547
1,5,3,1,0.14834152334152334,0.14834152334152334,3.140195890147878,294.22,0.46,781.21,0.3,1736.1,0.32,3045.99,0.28,7100.76,0.5,4263.58,0.2,2699.77,0.4,4387.27,0.33,234.52,0.15,997.8,0.33,6162.22,0.07,5564.66,0.04,2818.18,0.3,241.15,0.1,0.20382224696168472
1,5,4,1,0.14834152334152334,0.14834152334152334,3.0133188787362553,283.15,0.41,929.45,0.3,2318.05,0.33,3690.51,0.29,8108.12,0.5,5261.8,0.21,3330.27,0.4,5387.46,0.33,296.18,0.15,1183.22,0.32,7740.33,0.08,7102.22,0.04,3053.21,0.3,266.29,0.1,0.20645211082812376
1,5,5,1,0.14834152334152334,0.14834152334152334,3.0174665856622114,297.83,0.39,928.79,0.3,2356.53,0.32,3718.19,0.29,8318.24,0.5,5346.04,0.21,3371.31,0.4,5476.29,0.33,304.11,0.15,1250.67,0.32,7930.6,0.08,7292.48,0.04,3142.54,0.3,264.83,0.1,0.20483157536577068
1,5,6,1,0.14834152334152334,0.14834152334152334,3.033328351516963,305.79,0.39,933.71,0.3,2360.16,0.33,3759.61,0.29,8594.07,0.51,5484.8,0.21,3415.32,0.4,5623.77,0.33,300.75,0.15,1274.15,0.33,8037.92,0.08,7444.64,0.04,3229.35,0.29,271.88,0.1,0.20372772075443735
1,5,7,1,0.14834152334152334,0.14834152334152334,3.0585786500148675,314.13,0.49,947.97,0.3,2334.1,0.28,3818.71,0.29,8783.47,0.51,5620.06,0.21,3459.9,0.41,5744.09,0.33,304.51,0.15,1317.32,0.33,8044.28,0.08,7490.67,0.04,3328.37,0.33,273.5,0.1,0.20206608542750382
2,1,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,256991.61,0.41,1045.63,0.15,105269.17,0.32,4429.44,0.15,111413.08,0.5,5803.9,0.15,4031.66,0.15,6698.63,0.15,330.95,0.15,1517.53,0.15,692.98,0.08,1518.91,0.05,344649.23,0.33,316.91,0.15,0.211517199017199
2,1,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,229342.37,0.41,679.98,0.15,97357.03,0.33,3075.26,0.15,92403.5,0.46,4585.56,0.15,2974.13,0.15,5204.07,0.15,181.02,0.15,1271.13,0.15,784.94,0.07,453.86,0.02,373598.06,0.31,223.07,0.15,0.21575552825552824
2,1,3,1,0.15052211302211302,0.15052211302211302,3.0911484040802897,209651.8,0.43,807.67,0.15,81222.72,0.34,3381.38,0.15,85729.69,0.49,4591.29,0.15,3125.87,0.15,5252.12,0.15,257.76,0.15,1179.31,0.15,502.66,0.08,1143.29,0.05,326242.58,0.3,263.54,0.15,0.2144695568245798
2,1,4,1,0.15052211302211302,0.15052211302211302,3.1498371335504887,250304.16,0.39,995.54,0.15,100887.66,0.32,4075.18,0.15,104932.31,0.5,5577.61,0.15,3791.38,0.15,6422.38,0.15,323.49,0.15,1410.78,0.15,602.54,0.08,1358.07,0.04,357069.51,0.3,307.92,0.15,0.21245421245421248
2,1,5,1,0.15052211302211302,0.15052211302211302,3.2058665231431647,248858.5,0.45,971.79,0.15,103723.03,0.32,4203.38,0.15,106979.43,0.5,5580.3,0.15,3858.13,0.15,6432.86,0.15,325.49,0.15,1422.1,0.15,592.26,0.07,1132.51,0.04,337931.57,0.33,304.39,0.15,0.21220167637084908
2,1,6,1,0.15052211302211302,0.15052211302211302,3.2657775333425,245603.78,0.45,972.18,0.15,104129.2,0.3,4060.52,0.15,105878.35,0.5,5545.03,0.15,3776.53,0.15,6378.73,0.15,311.62,0.15,1414.23,0.15,566.5,0.07,747.35,0.02,329827.56,0.34,301.53,0.15,0.20918614020950843
2,1,7,1,0.15052211302211302,0.15052211302211302,3.3494784969281324,239447.57,0.47,925.61,0.15,103643.85,0.32,3965.34,0.15,103725.82,0.5,5376.11,0.15,3649.57,0.15,6189.01,0.15,294.91,0.15,1370.39,0.15,523.33,0.06,346.99,0.01,322911.05,0.31,294.47,0.15,0.20619538795085735
2,2,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,1596.34,0.41,1045.63,0.3,1596.34,0.32,4429.44,0.29,1596.34,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,1596.34,0.08,1596.34,0.05,1596.34,0.33,316.91,0.1,0.1955466830466831
2,2,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,2072.87,0.41,679.98,0.25,2353.84,0.33,3075.26,0.25,1570.38,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,6325.3,0.07,7227.05,0.02,919.81,0.31,223.07,0.05,0.20803900491400495
2,2,3,1,0.15052211302211302,0.15052211302211302,3.132464533157374,1305.33,0.37,834.91,0.3,1348.8,0.29,3449.74,0.29,1143.3,0.5,4538.97,0.29,3138.9,0.4,5339.7,0.33,280.49,0.14,1197.64,0.33,1424.9,0.07,1196.06,0.05,1132.2,0.33,253.18,0.1,0.1976368208853938
2,2,4,1,0.15052211302211302,0.15052211302211302,3.1313199406768235,1524.75,0.43,993.25,0.3,1646.64,0.3,4216.89,0.29,1428.28,0.5,5556.56,0.29,3843.63,0.4,6508.85,0.34,322.96,0.15,1479.91,0.33,1683.33,0.08,1555.51,0.05,1464.22,0.32,293.72,0.1,0.19838783369231772
2,2,5,1,0.15052211302211302,0.15052211302211302,3.1546419098143237,1578.76,0.44,1026.42,0.3,1649.57,0.29,4277.65,0.29,1480.15,0.5,5704.13,0.29,3890.24,0.41,6689.19,0.34,323.09,0.15,1511.67,0.33,1763.38,0.08,1629.68,0.05,1503.44,0.34,296.62,0.1,0.19753559343676175
2,2,6,1,0.15052211302211302,0.15052211302211302,3.1713005666095664,1628.92,0.38,1033.03,0.3,1672.83,0.32,4324.21,0.29,1495.56,0.5,5754.51,0.29,3939.19,0.41,6740.53,0.34,330.78,0.15,1519.41,0.33,1889.6,0.08,1722.07,0.04,1566.25,0.32,296.8,0.1,0.19648723780641897
2,2,7,1,0.15052211302211302,0.15052211302211302,3.1842590155304027,1659.69,0.44,1029.67,0.3,1741.27,0.3,4320.83,0.29,1500.17,0.5,5765.68,0.29,3934.96,0.41,6745.13,0.34,335.05,0.15,1522.16,0.33,2015.46,0.08,1747.8,0.04,1606.2,0.31,298.64,0.1,0.1961814292903875
2,3,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,1314.21,0.41,1045.63,0.3,708.51,0.32,4429.44,0.29,8.73,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,692.98,0.08,1518.91,0.05,121.86,0.33,316.91,0.1,0.19953931203931208
2,3,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,1695.42,0.41,679.98,0.25,1240.91,0.33,3075.26,0.25,29.44,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,784.94,0.07,453.86,0.02,0.27,0.31,223.07,0.05,0.21187807125307123
2,3,3,1,0.15052211302211302,0.15052211302211302,3.1467168822662517,1071.41,0.41,890.41,0.3,641.18,0.34,3539.39,0.29,3.47,0.5,4408.44,0.29,3326.33,0.41,5173.08,0.34,282.53,0.15,1183.94,0.33,536.03,0.08,1172.27,0.05,91.11,0.31,269.0,0.11,0.1984283683462328
2,3,4,1,0.15052211302211302,0.15052211302211302,3.1932841932841933,1384.61,0.45,1071.66,0.3,717.55,0.3,4277.89,0.28,2.16,0.5,5540.95,0.29,3892.86,0.4,6505.49,0.34,369.8,0.14,1500.21,0.33,593.93,0.07,1299.11,0.04,119.56,0.33,309.25,0.1,0.19667968749999998
2,3,5,1,0.15052211302211302,0.15052211302211302,3.2297150610583447,1408.96,0.39,1056.21,0.3,735.21,0.32,4311.81,0.28,1.0,0.5,5624.4,0.29,3894.84,0.41,6604.87,0.34,362.32,0.14,1507.26,0.33,580.95,0.07,1258.85,0.04,120.4,0.33,297.08,0.1,0.19574631892984318
2,3,6,1,0.15052211302211302,0.15052211302211302,3.257177847326167,1356.15,0.43,1023.16,0.3,751.4,0.36,4217.47,0.28,1.24,0.5,5571.7,0.29,3905.85,0.41,6569.29,0.34,349.81,0.14,1487.63,0.33,558.7,0.07,1231.62,0.04,131.92,0.29,294.26,0.1,0.1958703573483347
