missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,1,1,1,0.49996587729475195,0.49996587729475195,0.18881,2.01378,0.041863393890282596,0.23661,113968.65917,0.0,533.42143,0.0,46448.00959,0.0,1903.38419,0.0,208119.95764,0.0,2970.0185,0.0,1778.00588,0.0,3048.10559,0.0,148.20998,0.0,640.12289,0.0,301.97253,0.0,683.97315,0.0,152167.02938,0.0,164.29937,0.0,0.05397751299149342
1,1,2,1,0.49996587729475195,0.49996587729475195,0.20582,2.5716,0.04149487004347413,0.24143,99456.4276,20.0027,356.48341,20.0027,42731.98499,20.0027,1277.6241,20.0027,214847.19525,20.0027,2417.67144,20.0027,1352.29492,20.0027,2467.94678,20.0027,67.5921,20.0027,545.46009,20.0027,603.96413,20.0027,184.42113,20.0027,163133.00691,20.0027,126.05345,20.0027,0.08600011263505376
1,1,3,1,0.49996587729475195,0.49996587729475195,0.19064,2.09227,0.04171773687664236,0.24149,91983.21127,23.8381,389.2735,23.8381,36223.11983,23.8381,1365.02519,23.8381,163373.05075,23.8381,2334.04282,23.8381,1319.69832,23.8381,2390.64782,23.8381,105.75558,23.8381,483.47512,23.8381,221.91746,23.8381,508.84955,23.8381,141707.55723,23.8381,139.45207,23.8381,0.0511814755258589
1,1,4,1,0.49996587729475195,0.49996587729475195,0.18808,2.01337,0.04170481904666545,0.23462,107241.20593,7.7049,474.79412,7.7049,44555.3411,7.7049,1705.6101,7.7049,192904.40102,7.7049,2760.84622,7.7049,1595.98242,7.7049,2834.08293,7.7049,143.11772,7.7049,589.63358,7.7049,258.18171,7.7049,461.48424,7.7049,146717.76898,7.7049,164.38962,7.7049,0.047685076686717176
1,1,5,1,0.49996587729475195,0.49996587729475195,0.18594,1.988,0.041404721853531834,0.22927,106961.18092,6.5038,476.73027,6.5038,44871.44702,6.5038,1714.03585,6.5038,194874.23271,6.5038,2780.73214,6.5038,1651.26775,6.5038,2848.30843,6.5038,141.39673,6.5038,595.78069,6.5038,228.99095,6.5038,292.62897,6.5038,143889.35006,6.5038,168.15639,6.5038,0.04845536645229291
1,1,6,1,0.49996587729475195,0.49996587729475195,0.17796,1.95303,0.039858905038575504,0.21714,103390.96765,8.6057,446.94468,8.6057,43355.49813,8.6057,1627.93885,8.6057,190893.99022,8.6057,2625.68593,8.6057,1530.5404,8.6057,2702.23116,8.6057,135.24735,8.6057,557.71673,8.6057,185.06793,8.6057,24.62981,8.6057,138956.35721,8.6057,164.3034,8.6057,0.030943974573833237
1,1,7,1,0.49996587729475195,0.49996587729475195,0.17468,1.94049,0.039205804614753405,0.2124,102293.3462,9.295,436.3126,9.295,43466.43483,9.295,1615.64088,9.295,189377.47794,9.295,2567.13606,9.295,1530.0964,9.295,2645.21052,9.295,127.51135,9.295,543.03476,9.295,154.96906,9.295,43.65013,9.295,137770.82571,9.295,162.49776,9.295,0.02251034937136965
1,2,1,1,0.49996587729475195,0.500034122705248,0.18881,2.01378,0.041863393890282596,0.23661,694.7681,0.0,533.42143,0.0,694.7681,0.0,1903.38419,0.0,694.7681,0.0,2970.0185,0.0,1778.00588,0.0,3048.10559,0.0,148.20998,0.0,640.12289,0.0,694.7681,0.0,694.7681,0.0,694.7681,0.0,164.29937,0.0,0.1678855668834461
1,2,2,1,0.49996587729475195,0.500034122705248,0.20582,2.5716,0.04149487004347413,0.24143,1100.49683,20.0027,356.48341,20.0027,871.96913,20.0027,1277.6241,20.0027,426.06093,20.0027,2417.67144,20.0027,1352.29492,20.0027,2467.94678,20.0027,67.5921,20.0027,545.46009,20.0027,4463.8443,20.0027,3478.56893,20.0027,445.62716,20.0027,126.05345,20.0027,0.18307253986270075
1,2,3,1,0.49996587729475195,0.500034122705248,0.19186,1.96624,0.04287953783865242,0.23731,583.41044,24.4523,476.09402,24.4523,620.43117,24.4523,1473.1377,24.4523,538.55818,24.4523,2338.44726,24.4523,1404.21045,24.4523,2388.21753,24.4523,128.15038,24.4523,502.07446,24.4523,528.63079,24.4523,490.26053,24.4523,529.78661,24.4523,141.96085,24.4523,0.1743097859094052
1,2,4,1,0.49996587729475195,0.500034122705248,0.19342,1.9821,0.04311440599479841,0.23708,663.11499,6.7904,525.09816,6.7904,773.26881,6.7904,1802.13544,6.7904,608.28952,6.7904,2927.36133,6.7904,1670.68399,6.7904,2980.73853,6.7904,153.93898,6.7904,628.60618,6.7904,767.50158,6.7904,660.12292,6.7904,679.43824,6.7904,154.08634,6.7904,0.17661879432112376
1,2,5,1,0.49996587729475195,0.500034122705248,0.19179,1.98208,0.04275008466101971,0.23584,645.64149,4.5929,513.84188,4.5929,759.27158,4.5929,1833.43498,4.5929,632.40106,4.5929,2950.9459,4.5929,1693.58075,4.5929,3026.57759,4.5929,155.59849,4.5929,634.90928,4.5929,799.47412,4.5929,706.3462,4.5929,691.24317,4.5929,155.56977,4.5929,0.17397355646679077
1,2,6,1,0.49996587729475195,0.500034122705248,0.19118,1.99323,0.0425351572919924,0.23471,674.62842,3.3781,514.28699,3.3781,790.32473,3.3781,1860.60852,3.3781,641.02942,3.3781,3014.19331,3.3781,1713.52024,3.3781,3083.75294,3.3781,153.11076,3.3781,639.8568,3.3781,830.00459,3.3781,715.52061,3.3781,719.44278,3.3781,156.52594,3.3781,0.1731997083044433
1,2,7,1,0.49996587729475195,0.500034122705248,0.19143,1.99138,0.04260381599701339,0.23486,697.50967,2.8868,514.6827,2.8868,837.06905,2.8868,1868.98236,2.8868,642.58991,2.8868,3026.10074,2.8868,1730.46219,2.8868,3091.895,2.8868,151.91389,2.8868,644.71609,2.8868,813.15981,2.8868,735.42894,2.8868,742.51717,2.8868,153.56692,2.8868,0.17230547210274952
1,3,1,1,0.49996587729475195,0.550194499419914,0.18881,2.01378,0.041863393890282596,0.23661,484.55024,0.0,533.42143,0.0,300.56517,0.0,1903.38419,0.0,1171.58857,0.0,2970.0185,0.0,1778.00588,0.0,3048.10559,0.0,148.20998,0.0,640.12289,0.0,301.97253,0.0,683.97315,0.0,51.18828,0.0,164.29937,0.0,0.1305993957378482
1,3,2,1,0.49996587729475195,0.550194499419914,0.20582,2.5716,0.04149487004347413,0.24143,805.21218,20.0027,356.48341,20.0027,430.12327,20.0027,1277.6241,20.0027,816.68132,20.0027,2417.67144,20.0027,1352.29492,20.0027,2467.94678,20.0027,67.5921,20.0027,545.46009,20.0027,603.96413,20.0027,184.42113,20.0027,1.70614,20.0027,126.05345,20.0027,0.17767291646811129
1,3,3,1,0.49996587729475195,0.550194499419914,0.18791,1.97234,0.04195298650511886,0.23533,402.05669,23.7289,457.20668,23.7289,298.30774,23.7289,1462.10351,23.7289,872.31451,23.7289,2339.8055,23.7289,1393.85684,23.7289,2405.36869,23.7289,131.96648,23.7289,488.51394,23.7289,230.87972,23.7289,491.85968,23.7289,42.8798,23.7289,146.41439,23.7289,0.12812951869448463
1,3,4,1,0.49996587729475195,0.550194499419914,0.19674,1.99383,0.04376799493094003,0.2351,527.0799,7.3432,563.90307,7.3432,341.88797,7.3432,1771.36565,7.3432,1025.49561,7.3432,2850.45697,7.3432,1683.15838,7.3432,2928.47914,7.3432,160.91071,7.3432,648.97211,7.3432,245.40475,7.3432,560.65841,7.3432,51.51968,7.3432,167.56299,7.3432,0.14573623957974385
1,3,5,1,0.49996587729475195,0.550194499419914,0.1923,1.99287,0.042787990070467456,0.23064,516.7036,5.4323,529.30224,5.4323,339.97467,5.4323,1755.86868,5.4323,1050.00759,5.4323,2837.08065,5.4323,1671.41673,5.4323,2936.85242,5.4323,146.74296,5.4323,641.42829,5.4323,244.64599,5.4323,542.65439,5.4323,48.18866,5.4323,148.54626,5.4323,0.1306892323004536
1,3,6,1,0.49996587729475195,0.550194499419914,0.19161,2.0043,0.04255221312847382,0.23077,491.05513,4.5997,510.5987,4.5997,352.35302,4.5997,1736.55807,4.5997,1069.27354,4.5997,2892.94212,4.5997,1658.10301,4.5997,2979.084,4.5997,151.03062,4.5997,640.92875,4.5997,230.67569,4.5997,561.94572,4.5997,51.59308,4.5997,151.15047,4.5997,0.12894166776244334
1,3,7,1,0.49996587729475195,0.550194499419914,0.19182,1.99764,0.04264723315526993,0.23128,494.47812,4.4837,507.48507,4.4837,366.33765,4.4837,1759.70441,4.4837,1058.62828,4.4837,2910.2445,4.4837,1672.82596,4.4837,2987.91297,4.4837,147.57571,4.4837,642.88149,4.4837,235.20086,4.4837,523.79411,4.4837,58.2356,4.4837,148.35598,4.4837,0.17339946945150775
1,4,1,1,0.49996587729475195,0.5001706135262404,0.18881,2.01378,0.041863393890282596,0.23661,2709.35016,0.0,533.42143,0.0,950.00242,0.0,1903.38419,0.0,10957.57852,0.0,2970.0185,0.0,1778.00588,0.0,3048.10559,0.0,148.20998,0.0,640.12289,0.0,3999.37252,0.0,3483.8268,0.0,2201.85409,0.0,164.29937,0.0,0.1713123071032796
1,4,2,1,0.49996587729475195,0.5001706135262404,0.20582,2.5716,0.04149487004347413,0.24143,1830.09068,20.0027,356.48341,20.0027,855.8308,20.0027,1277.6241,20.0027,9062.80454,20.0027,2417.67144,20.0027,1352.29492,20.0027,2467.94678,20.0027,67.5921,20.0027,545.46009,20.0027,3566.46039,20.0027,3431.58803,20.0027,1805.14369,20.0027,126.05345,20.0027,0.1825990394251569
1,4,3,1,0.49996587729475195,0.5001706135262404,0.18938,2.04323,0.04178556385656415,0.23565,1958.69149,27.4551,433.19473,27.4551,710.73834,27.4551,1388.77676,27.4551,7958.25431,27.4551,2198.90194,27.4551,1314.35194,27.4551,2252.72507,27.4551,110.68675,27.4551,465.92217,27.4551,2910.05564,27.4551,2544.17684,27.4551,1631.54967,27.4551,134.5917,27.4551,0.16935285731895344
1,4,4,1,0.49996587729475195,0.5001706135262404,0.19077,2.04135,0.04210514206824661,0.24449,2163.80506,12.6595,504.5771,12.6595,985.25029,12.6595,1700.09402,12.6595,9090.93221,12.6595,2666.39923,12.6595,1630.93367,12.6595,2739.25929,12.6595,137.86265,12.6595,555.45711,12.6595,3702.88,12.6595,3241.41953,12.6595,1733.51514,12.6595,150.48264,12.6595,0.17898155074651312
1,4,5,1,0.49996587729475195,0.5001706135262404,0.19441,2.04455,0.042885570934817464,0.24556,2207.08138,10.9261,492.15769,10.9261,1009.71177,10.9261,1696.77438,10.9261,9203.21257,10.9261,2726.53488,10.9261,1598.97389,10.9261,2789.38764,10.9261,157.83516,10.9261,586.31027,10.9261,3807.72094,10.9261,3359.54034,10.9261,1739.6546,10.9261,148.26049,10.9261,0.18326547671750956
1,4,6,1,0.49996587729475195,0.5001706135262404,0.1984,1.99798,0.044107522357552886,0.24256,2338.68354,8.9538,487.86003,8.9538,983.01689,8.9538,1701.85168,8.9538,9652.66915,8.9538,2813.14854,8.9538,1625.36192,8.9538,2875.71612,8.9538,164.5621,8.9538,634.3198,8.9538,3849.28157,8.9538,3410.55101,8.9538,1851.29996,8.9538,153.48589,8.9538,0.183915207778602
1,4,7,1,0.49996587729475195,0.5001706135262404,0.20004,1.98545,0.04456337082639455,0.24086,2403.18485,7.6025,479.7652,7.6025,967.8629,7.6025,1742.60612,7.6025,9953.69837,7.6025,2846.57224,7.6025,1660.57303,7.6025,2922.68117,7.6025,161.43056,7.6025,658.91971,7.6025,3865.26438,7.6025,3454.61111,7.6025,1921.62274,7.6025,144.56402,7.6025,0.1847333317986322
1,5,1,1,0.49996587729475195,0.49996587729475195,0.18881,2.01378,0.041863393890282596,0.23661,258.41434,0.0,533.42143,0.0,1092.58541,0.0,1903.38419,0.0,9460.4231,0.0,2970.0185,0.0,1778.00588,0.0,3048.10559,0.0,148.20998,0.0,640.12289,0.0,3999.37252,0.0,3483.8268,0.0,2046.48532,0.0,164.29937,0.0,0.16977747300312443
1,5,2,1,0.49996587729475195,0.49996587729475195,0.20582,2.5716,0.04149487004347413,0.24143,101.95598,20.0027,356.48341,20.0027,976.46673,20.0027,1277.6241,20.0027,7885.23641,20.0027,2417.67144,20.0027,1352.29492,20.0027,2467.94678,20.0027,67.5921,20.0027,545.46009,20.0027,3566.46039,20.0027,3431.58803,20.0027,1680.85159,20.0027,126.05345,20.0027,0.18295448966212371
1,5,3,1,0.49996587729475195,0.49996587729475195,0.1879,2.05568,0.041371726531804084,0.23605,179.85099,27.3459,433.90164,27.3459,824.73065,27.3459,1403.37519,27.3459,6846.74793,27.3459,2198.02527,27.3459,1334.382,27.3459,2255.19148,27.3459,116.77739,27.3459,457.84196,27.3459,2928.59236,27.3459,2546.23556,27.3459,1498.99625,27.3459,140.90658,27.3459,0.16971372061566162
1,5,4,1,0.49996587729475195,0.49996587729475195,0.1905,2.032,0.04211089985184545,0.24414,184.52683,12.059,503.14709,12.059,1118.50702,12.059,1701.61388,12.059,7907.04943,12.059,2679.64142,12.059,1619.55098,12.059,2755.90624,12.059,139.9522,12.059,559.10357,12.059,3718.27846,12.059,3258.97086,12.059,1622.30863,12.059,151.34262,12.059,0.17814729041222788
1,5,5,1,0.49996587729475195,0.49996587729475195,0.19663,2.0447,0.043373609682302444,0.24576,190.24425,10.2778,506.08597,10.2778,1156.5138,10.2778,1707.69801,10.2778,7973.28586,10.2778,2718.72971,10.2778,1613.53847,10.2778,2785.1109,10.2778,160.64414,10.2778,603.79394,10.2778,3838.91518,10.2778,3404.93996,10.2778,1613.72831,10.2778,154.87094,10.2778,0.185338266128019
1,5,6,1,0.49996587729475195,0.49996587729475195,0.19933,1.9971,0.04432071275897807,0.24185,217.0007,8.2645,498.89436,8.2645,1118.71302,8.2645,1723.8582,8.2645,8429.06443,8.2645,2823.61861,8.2645,1636.07066,8.2645,2891.93186,8.2645,165.81384,8.2645,646.51734,8.2645,3856.92625,8.2645,3429.46381,8.2645,1746.3224,8.2645,157.59574,8.2645,0.18591822766745464
1,5,7,1,0.49996587729475195,0.49996587729475195,0.1996,1.98137,0.04449613350229433,0.2405,223.87949,7.1794,493.08637,7.1794,1105.97082,7.1794,1757.99225,7.1794,8649.80501,7.1794,2856.16977,7.1794,1668.92038,7.1794,2930.78462,7.1794,158.90458,7.1794,660.177,7.1794,3873.96707,7.1794,3451.23831,7.1794,1800.23482,7.1794,149.80455,7.1794,0.18539536333349
2,1,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.0,571.81821,0.0,52279.45793,0.0,2114.18863,0.0,232602.7845,0.0,2970.0185,0.0,1967.0139,0.0,3391.24845,0.0,161.4409,0.0,729.92987,0.0,331.19245,0.0,769.97512,0.0,168382.36467,0.0,167.7667,0.0,0.05457566798240117
2,1,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.23916,113688.04658,19.9988,346.29024,19.9988,46186.46437,19.9988,1350.99386,19.9988,244520.90565,19.9988,2493.23909,19.9988,1406.41203,19.9988,2788.52208,19.9988,100.19643,19.9988,708.08031,19.9988,343.86314,19.9988,308.79605,19.9988,188621.82503,19.9988,110.03981,19.9988,0.08970918542213431
2,1,3,1,0.5000307106443094,0.5000307106443094,0.19457,2.05866,0.04281766359029258,0.24015,101846.84123,23.7823,409.33539,23.7823,41089.78019,23.7823,1486.09344,23.7823,184241.53515,23.7823,2344.56792,23.7823,1449.17725,23.7823,2675.1302,23.7823,112.44591,23.7823,565.41149,23.7823,245.90017,23.7823,576.4753,23.7823,157727.70913,23.7823,128.00217,23.7823,0.055863753533224356
