missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,profile_median,corr_OverallQual,ot_OverallQual,corr_YearBuilt,ot_YearBuilt,corr_YearRemodAdd,ot_YearRemodAdd,corr_TotalBsmtSF,ot_TotalBsmtSF,corr_1stFlrSF,ot_1stFlrSF,corr_GrLivArea,ot_GrLivArea,corr_FullBath,ot_FullBath,corr_TotRmsAbvGrd,ot_TotRmsAbvGrd,corr_Fireplaces,ot_Fireplaces,corr_GarageCars,ot_GarageCars,corr_GarageArea,ot_GarageArea,corr_ExterQual,ot_ExterQual,corr_BsmtQual,ot_BsmtQual,corr_KitchenQual,ot_KitchenQual,corr_GarageFinish,ot_GarageFinish,utility_rmse
1,1,1,1,0.1780821917808219,0.1780821917808219,162750.0,0.78377,0.0,0.52505,0.0,0.52733,0.0,3281.424,0.0,3281.43378,0.0,0.63175,0.0,0.61429,0.0,0.70423,0.0,0.50855,0.0,3281.43163,0.0,0.50027,0.0,0.45064,0.0,3281.47344,0.0,0.6584,0.0,0.65626,0.0,168.79740858161543
1,1,2,1,0.1780821917808219,0.1780821917808219,160000.0,0.73738,0.0,0.64611,0.0,0.57919,0.0,4175.55712,0.0,4175.56687,0.0,0.53719,0.0,0.49085,0.0,0.75859,0.0,0.64184,0.0,4175.5637,0.0,0.52742,0.0,0.43255,0.0,4175.62756,0.0,0.64182,0.0,0.64887,0.0,144.9774505366976
1,1,3,1,0.1780821917808219,0.1780821917808219,160200.0,0.79071,0.0,0.55648,0.0,0.53381,0.0,2561.35841,0.0,2561.36733,0.0,0.64237,0.0,0.62414,0.0,0.72478,0.0,0.52146,0.0,2561.36457,0.0,0.52273,0.0,0.43999,0.0,2561.39817,0.0,0.67917,0.0,0.6749,0.0,158.03187839484318
1,1,4,1,0.1780821917808219,0.1780821917808219,160000.0,0.76431,0.0,0.60048,0.0,0.55348,0.0,2657.47469,0.0,2657.48313,0.0,0.61155,0.0,0.59267,0.0,0.71224,0.0,0.52715,0.0,2657.48032,0.0,0.48986,0.0,0.42612,0.0,2657.51589,0.0,0.65918,0.0,0.68597,0.0,162.6987467185482
1,1,5,1,0.1780821917808219,0.1780821917808219,164000.0,0.77682,0.0,0.60416,0.0,0.59277,0.0,2805.74586,0.0,2805.75494,0.0,0.63592,0.0,0.62018,0.0,0.70816,0.0,0.51062,0.0,2805.75137,0.0,0.47913,0.0,0.39261,0.0,2805.78933,0.0,0.68353,0.0,0.70887,0.0,158.79018208975899
1,1,6,1,0.1780821917808219,0.1780821917808219,166000.0,0.76819,0.0,0.59781,0.0,0.57613,0.0,3302.05151,0.0,3302.06254,0.0,0.56376,0.0,0.55859,0.0,0.68849,0.0,0.51241,0.0,3302.05762,0.0,0.43786,0.0,0.3981,0.0,3302.10286,0.0,0.6703,0.0,0.69364,0.0,156.55418481620237
1,1,7,1,0.1780821917808219,0.1780821917808219,164000.0,0.74735,0.0,0.6045,0.0,0.5773,0.0,3608.68056,0.0,3608.69172,0.0,0.52108,0.0,0.50983,0.0,0.69494,0.0,0.54906,0.0,3608.68675,0.0,0.43218,0.0,0.39416,0.0,3608.7383,0.0,0.63992,0.0,0.663,0.0,155.1899430055653
1,2,1,1,0.1780821917808219,0.1780821917808219,162750.0,0.78377,0.0,0.52505,0.0,0.52733,0.0,-0.66724,0.0,-0.58576,0.0,0.63175,0.0,0.61429,0.0,0.70423,0.0,0.50855,0.0,-0.61117,0.0,0.50027,0.0,0.45064,0.0,-0.51812,0.0,0.6584,0.0,0.65626,0.0,168.79740858161546
1,2,2,1,0.1780821917808219,0.1780821917808219,160000.0,0.73738,0.0,0.64611,0.0,0.57919,0.0,-0.65225,0.0,-0.55381,0.0,0.53719,0.0,0.49085,0.0,0.75859,0.0,0.64184,0.0,-0.54562,0.0,0.52742,0.0,0.43255,0.0,-0.56401,0.0,0.64182,0.0,0.64887,0.0,144.97745053669763
1,2,3,1,0.1780821917808219,0.1780821917808219,155000.0,0.79054,0.0,0.50133,0.0,0.53616,0.0,-0.72691,0.0,-0.61237,0.0,0.65166,0.0,0.63566,0.0,0.72374,0.0,0.55182,0.0,-0.63171,0.0,0.57227,0.0,0.44878,0.0,-0.50401,0.0,0.65406,0.0,0.65909,0.0,171.60873182756802
