missing_value,normalization,outlier,model,utility_f-1
1,1,1,1,0.37904035334270225
1,1,2,1,0.3492798353909465
1,1,3,1,0.37416020671834627
1,1,4,1,0.36584289496910855
1,1,5,1,0.3611296419835446
1,1,6,1,0.30550621669627
1,1,7,1,0.2685006877579092
1,2,1,1,0.5400964457938918
1,2,2,1,0.5290659699542782
1,2,3,1,0.5444314185228605
1,2,4,1,0.5301987767584098
1,2,5,1,0.5348314606741573
1,2,6,1,0.5314945956019381
1,2,7,1,0.5343934911242604
1,3,1,1,0.4877119451324062
1,3,2,1,0.5253496503496503
1,3,3,1,0.48305732484076436
1,3,4,1,0.5045155993431856
1,3,5,1,0.4711558632263478
1,3,6,1,0.4653112555019912
1,3,7,1,0.525611620795107
1,4,1,1,0.5250362844702468
1,4,2,1,0.5095259193619849
1,4,3,1,0.5106382978723404
1,4,4,1,0.5190961807638472
1,4,5,1,0.5242642759695966
1,4,6,1,0.5216378808461091
1,4,7,1,0.523177534141181
1,5,1,1,0.52262402326004
1,5,2,1,0.5100730573389418
1,5,3,1,0.5140845070422535
1,5,4,1,0.5173375846950976
1,5,5,1,0.5258487654320988
1,5,6,1,0.5239653512993263
1,5,7,1,0.5251289891075864
2,1,1,1,0.3898968338669513
2,1,2,1,0.3460906316036628
2,1,3,1,0.38391819660701837
2,1,4,1,0.38436229920650283
2,1,5,1,0.3668451318659528
2,1,6,1,0.3178277320275985
2,1,7,1,0.28846605590791635
2,2,1,1,0.5399903053805138
2,2,2,1,0.5380509982209923
2,2,3,1,0.5420320855614973
2,2,4,1,0.5301746498357254
2,2,5,1,0.534006734006734
2,2,6,1,0.5325503355704698
2,2,7,1,0.5329983249581239
2,3,1,1,0.5166666666666667
2,3,2,1,0.5264623955431755
2,3,3,1,0.5175477565526433
2,3,4,1,0.5186789388197076
2,3,5,1,0.5334029227557411
2,3,6,1,0.4989130434782609
2,3,7,1,0.5283344851416725
2,4,1,1,0.52359809241901
2,4,2,1,0.5176706827309236
2,4,3,1,0.5175398633257403
2,4,4,1,0.5252597635256181
2,4,5,1,0.5271263563178159
2,4,6,1,0.5247386759581881
2,4,7,1,0.5237435008665511
2,5,1,1,0.5231831634330812
2,5,2,1,0.519527338273583
2,5,3,1,0.5212669683257919
2,5,4,1,0.5240315638450502
2,5,5,1,0.5279223031564343
2,5,6,1,0.5269896193771626
2,5,7,1,0.5258248402141994
3,1,1,1,0.3898968338669513
3,1,2,1,0.3460906316036628
3,1,3,1,0.38391819660701837
3,1,4,1,0.38436229920650283
3,1,5,1,0.3668451318659528
3,1,6,1,0.3178277320275985
3,1,7,1,0.28846605590791635
3,2,1,1,0.5399903053805138
3,2,2,1,0.5380509982209923
3,2,3,1,0.5420320855614973
3,2,4,1,0.5301746498357254
3,2,5,1,0.534006734006734
3,2,6,1,0.5325503355704698
3,2,7,1,0.5329983249581239
3,3,1,1,0.5166666666666667
3,3,2,1,0.5264623955431755
3,3,3,1,0.5175477565526433
3,3,4,1,0.5186789388197076
3,3,5,1,0.5334029227557411
3,3,6,1,0.4989130434782609
3,3,7,1,0.5283344851416725
3,4,1,1,0.52359809241901
3,4,2,1,0.5176706827309236
3,4,3,1,0.5175398633257403
3,4,4,1,0.5252597635256181
3,4,5,1,0.5271263563178159
3,4,6,1,0.5247386759581881
3,4,7,1,0.5237435008665511
3,5,1,1,0.5231831634330812
3,5,2,1,0.519527338273583
3,5,3,1,0.5212669683257919
3,5,4,1,0.5240315638450502
3,5,5,1,0.5279223031564343
3,5,6,1,0.5269896193771626
3,5,7,1,0.5258248402141994
4,1,1,1,0.39801875110560764
4,1,2,1,0.3694581280788177
4,1,3,1,0.38044237485448196
4,1,4,1,0.38443670150987225
4,1,5,1,0.366375892149088
4,1,6,1,0.3150067598017125
4,1,7,1,0.28173076923076923
4,2,1,1,0.5421764327108821
4,2,2,1,0.5382982828477716
4,2,3,1,0.5480033984706882
4,2,4,1,0.5328743545611015
4,2,5,1,0.5368067226890756
4,2,6,1,0.5342304457527334
4,2,7,1,0.5354806240563664
4,3,1,1,0.5484588496981252
4,3,2,1,0.5349332301141861
4,3,3,1,0.5617283950617284
4,3,4,1,0.5185979971387696
4,3,5,1,0.5070524412296564
4,3,6,1,0.49836541954231744
4,3,7,1,0.5370879120879121
4,4,1,1,0.5264191068215279
4,4,2,1,0.5181836052683311
4,4,3,1,0.514324693042292
4,4,4,1,0.5197903488161938
4,4,5,1,0.5235398230088496
4,4,6,1,0.5266096667248299
4,4,7,1,0.5267702936096719
4,5,1,1,0.5264018309628903
4,5,2,1,0.5195924764890282
4,5,3,1,0.5197561526303907
4,5,4,1,0.5192134223344759
4,5,5,1,0.5266841644794401
4,5,6,1,0.5272978576364893
4,5,7,1,0.5253186358939028
5,1,1,1,0.3898968338669513
5,1,2,1,0.3460906316036628
5,1,3,1,0.38391819660701837
5,1,4,1,0.38436229920650283
5,1,5,1,0.3668451318659528
5,1,6,1,0.3178277320275985
5,1,7,1,0.28846605590791635
5,2,1,1,0.5399903053805138
5,2,2,1,0.5380509982209923
5,2,3,1,0.5420320855614973
5,2,4,1,0.5301746498357254
5,2,5,1,0.534006734006734
5,2,6,1,0.5325503355704698
5,2,7,1,0.5329983249581239
5,3,1,1,0.5166666666666667
5,3,2,1,0.5264623955431755
5,3,3,1,0.5175477565526433
5,3,4,1,0.5186789388197076
5,3,5,1,0.5334029227557411
5,3,6,1,0.4989130434782609
5,3,7,1,0.5283344851416725
5,4,1,1,0.52359809241901
5,4,2,1,0.5176706827309236
5,4,3,1,0.5175398633257403
5,4,4,1,0.5252597635256181
5,4,5,1,0.5271263563178159
5,4,6,1,0.5247386759581881
5,4,7,1,0.5237435008665511
5,5,1,1,0.5231831634330812
5,5,2,1,0.519527338273583
5,5,3,1,0.5212669683257919
5,5,4,1,0.5240315638450502
5,5,5,1,0.5279223031564343
5,5,6,1,0.5269896193771626
5,5,7,1,0.5258248402141994
6,1,1,1,0.3898968338669513
6,1,2,1,0.3460906316036628
6,1,3,1,0.38391819660701837
6,1,4,1,0.38436229920650283
6,1,5,1,0.3668451318659528
6,1,6,1,0.3178277320275985
6,1,7,1,0.28846605590791635
6,2,1,1,0.5399903053805138
6,2,2,1,0.5380509982209923
6,2,3,1,0.5420320855614973
6,2,4,1,0.5301746498357254
6,2,5,1,0.534006734006734
6,2,6,1,0.5325503355704698
6,2,7,1,0.5329983249581239
6,3,1,1,0.5166666666666667
6,3,2,1,0.5264623955431755
6,3,3,1,0.5175477565526433
6,3,4,1,0.5186789388197076
6,3,5,1,0.5334029227557411
6,3,6,1,0.4989130434782609
6,3,7,1,0.5283344851416725
6,4,1,1,0.52359809241901
6,4,2,1,0.5176706827309236
6,4,3,1,0.5175398633257403
6,4,4,1,0.5252597635256181
6,4,5,1,0.5271263563178159
6,4,6,1,0.5247386759581881
6,4,7,1,0.5237435008665511
6,5,1,1,0.5231831634330812
6,5,2,1,0.519527338273583
6,5,3,1,0.5212669683257919
6,5,4,1,0.5240315638450502
6,5,5,1,0.5279223031564343
6,5,6,1,0.5269896193771626
6,5,7,1,0.5258248402141994
7,1,1,1,0.3898968338669513
7,1,2,1,0.3460906316036628
7,1,3,1,0.38391819660701837
7,1,4,1,0.38436229920650283
7,1,5,1,0.3668451318659528
7,1,6,1,0.3178277320275985
7,1,7,1,0.28846605590791635
7,2,1,1,0.5399903053805138
7,2,2,1,0.5380509982209923
7,2,3,1,0.5420320855614973
7,2,4,1,0.5301746498357254
7,2,5,1,0.534006734006734
7,2,6,1,0.5325503355704698
7,2,7,1,0.5329983249581239
7,3,1,1,0.5166666666666667
7,3,2,1,0.5264623955431755
7,3,3,1,0.5175477565526433
7,3,4,1,0.5186789388197076
7,3,5,1,0.5334029227557411
7,3,6,1,0.4989130434782609
7,3,7,1,0.5283344851416725
7,4,1,1,0.52359809241901
7,4,2,1,0.5176706827309236
7,4,3,1,0.5175398633257403
7,4,4,1,0.5252597635256181
7,4,5,1,0.5271263563178159
7,4,6,1,0.5247386759581881
7,4,7,1,0.5237435008665511
7,5,1,1,0.5231831634330812
7,5,2,1,0.519527338273583
7,5,3,1,0.5212669683257919
7,5,4,1,0.5240315638450502
7,5,5,1,0.5279223031564343
7,5,6,1,0.5269896193771626
7,5,7,1,0.5258248402141994
8,1,1,1,0.3898968338669513
8,1,2,1,0.3460906316036628
8,1,3,1,0.38391819660701837
8,1,4,1,0.38436229920650283
8,1,5,1,0.3668451318659528
8,1,6,1,0.3178277320275985
8,1,7,1,0.28846605590791635
8,2,1,1,0.5399903053805138
8,2,2,1,0.5380509982209923
8,2,3,1,0.5420320855614973
8,2,4,1,0.5301746498357254
8,2,5,1,0.534006734006734
8,2,6,1,0.5325503355704698
8,2,7,1,0.5329983249581239
8,3,1,1,0.5166666666666667
8,3,2,1,0.5264623955431755
8,3,3,1,0.5175477565526433
8,3,4,1,0.5186789388197076
8,3,5,1,0.5334029227557411
8,3,6,1,0.4989130434782609
8,3,7,1,0.5283344851416725
8,4,1,1,0.52359809241901
8,4,2,1,0.5176706827309236
8,4,3,1,0.5175398633257403
8,4,4,1,0.5252597635256181
8,4,5,1,0.5271263563178159
8,4,6,1,0.5247386759581881
8,4,7,1,0.5237435008665511
8,5,1,1,0.5231831634330812
8,5,2,1,0.519527338273583
8,5,3,1,0.5212669683257919
8,5,4,1,0.5240315638450502
8,5,5,1,0.5279223031564343
8,5,6,1,0.5269896193771626
8,5,7,1,0.5258248402141994
9,1,1,1,0.3898968338669513
9,1,2,1,0.3460906316036628
9,1,3,1,0.38391819660701837
9,1,4,1,0.38436229920650283
9,1,5,1,0.3668451318659528
9,1,6,1,0.3178277320275985
9,1,7,1,0.28846605590791635
9,2,1,1,0.5399903053805138
9,2,2,1,0.5380509982209923
9,2,3,1,0.5420320855614973
9,2,4,1,0.5301746498357254
9,2,5,1,0.534006734006734
9,2,6,1,0.5325503355704698
9,2,7,1,0.5329983249581239
9,3,1,1,0.5166666666666667
9,3,2,1,0.5264623955431755
9,3,3,1,0.5175477565526433
9,3,4,1,0.5186789388197076
9,3,5,1,0.5334029227557411
9,3,6,1,0.4989130434782609
9,3,7,1,0.5283344851416725
9,4,1,1,0.52359809241901
9,4,2,1,0.5176706827309236
9,4,3,1,0.5175398633257403
9,4,4,1,0.5252597635256181
9,4,5,1,0.5271263563178159
9,4,6,1,0.5247386759581881
9,4,7,1,0.5237435008665511
9,5,1,1,0.5231831634330812
9,5,2,1,0.519527338273583
9,5,3,1,0.5212669683257919
9,5,4,1,0.5240315638450502
9,5,5,1,0.5279223031564343
9,5,6,1,0.5269896193771626
9,5,7,1,0.5258248402141994
