missing_value,fselection,outlier,normalization,model,utility_rmse
1,1,1,1,1,188.79983416185624
1,1,1,2,1,188.79983416185627
1,1,1,3,1,188.79983416185624
1,1,1,4,1,188.79983416185624
1,1,1,5,1,188.79983416185624
1,1,2,1,1,155.5133505394992
1,1,2,2,1,155.5133505394992
1,1,2,3,1,155.5133505394992
1,1,2,4,1,155.5133505394992
1,1,2,5,1,155.5133505394992
1,1,3,1,1,156.6729803512847
1,1,3,2,1,156.6729803512847
1,1,3,3,1,156.6729803512847
1,1,3,4,1,156.6729803512847
1,1,3,5,1,156.6729803512847
1,1,4,1,1,183.1930240060438
1,1,4,2,1,183.19302400604377
1,1,4,3,1,183.1930240060438
1,1,4,4,1,183.19302400604377
1,1,4,5,1,183.1930240060438
1,1,5,1,1,171.74641045573483
1,1,5,2,1,171.74641045573483
1,1,5,3,1,171.74641045573483
1,1,5,4,1,171.74641045573483
1,1,5,5,1,171.74641045573483
1,1,6,1,1,165.43035750395777
1,1,6,2,1,165.43035750395777
1,1,6,3,1,165.43035750395777
1,1,6,4,1,165.43035750395777
1,1,6,5,1,165.43035750395777
1,1,7,1,1,166.35261258573468
1,1,7,2,1,166.35261258573465
1,1,7,3,1,166.35261258573468
1,1,7,4,1,166.35261258573465
1,1,7,5,1,166.35261258573468
1,1,8,1,1,164.63586693626624
1,1,8,2,1,164.6358669362662
1,1,8,3,1,164.6358669362662
1,1,8,4,1,164.63586693626624
1,1,8,5,1,164.6358669362662
2,1,1,1,1,188.79983416185624
2,1,1,2,1,188.79983416185627
2,1,1,3,1,188.79983416185624
2,1,1,4,1,188.79983416185624
2,1,1,5,1,188.79983416185624
2,1,2,1,1,155.5133505394992
2,1,2,2,1,155.5133505394992
2,1,2,3,1,155.5133505394992
2,1,2,4,1,155.5133505394992
2,1,2,5,1,155.5133505394992
2,1,3,1,1,156.6729803512847
2,1,3,2,1,156.6729803512847
2,1,3,3,1,156.6729803512847
2,1,3,4,1,156.6729803512847
2,1,3,5,1,156.6729803512847
2,1,4,1,1,183.1930240060438
2,1,4,2,1,183.19302400604377
2,1,4,3,1,183.1930240060438
2,1,4,4,1,183.19302400604377
2,1,4,5,1,183.1930240060438
2,1,5,1,1,171.74641045573483
2,1,5,2,1,171.74641045573483
2,1,5,3,1,171.74641045573483
2,1,5,4,1,171.74641045573483
2,1,5,5,1,171.74641045573483
2,1,6,1,1,165.43035750395777
2,1,6,2,1,165.43035750395777
2,1,6,3,1,165.43035750395777
2,1,6,4,1,165.43035750395777
2,1,6,5,1,165.43035750395777
2,1,7,1,1,166.35261258573468
2,1,7,2,1,166.35261258573465
2,1,7,3,1,166.35261258573468
2,1,7,4,1,166.35261258573465
2,1,7,5,1,166.35261258573468
2,1,8,1,1,164.63586693626624
2,1,8,2,1,164.6358669362662
2,1,8,3,1,164.6358669362662
2,1,8,4,1,164.63586693626624
2,1,8,5,1,164.6358669362662
3,1,1,1,1,188.79983416185624
3,1,1,2,1,188.79983416185627
3,1,1,3,1,188.79983416185624
3,1,1,4,1,188.79983416185624
3,1,1,5,1,188.79983416185624
3,1,2,1,1,155.5133505394992
3,1,2,2,1,155.5133505394992
3,1,2,3,1,155.5133505394992
3,1,2,4,1,155.5133505394992
3,1,2,5,1,155.5133505394992
3,1,3,1,1,156.6729803512847
3,1,3,2,1,156.6729803512847
3,1,3,3,1,156.6729803512847
3,1,3,4,1,156.6729803512847
3,1,3,5,1,156.6729803512847
3,1,4,1,1,183.1930240060438
3,1,4,2,1,183.19302400604377
3,1,4,3,1,183.1930240060438
3,1,4,4,1,183.19302400604377
3,1,4,5,1,183.1930240060438
3,1,5,1,1,171.74641045573483
3,1,5,2,1,171.74641045573483
3,1,5,3,1,171.74641045573483
3,1,5,4,1,171.74641045573483
3,1,5,5,1,171.74641045573483
3,1,6,1,1,165.43035750395777
3,1,6,2,1,165.43035750395777
3,1,6,3,1,165.43035750395777
3,1,6,4,1,165.43035750395777
3,1,6,5,1,165.43035750395777
3,1,7,1,1,166.35261258573468
3,1,7,2,1,166.35261258573465
3,1,7,3,1,166.35261258573468
3,1,7,4,1,166.35261258573465
3,1,7,5,1,166.35261258573468
3,1,8,1,1,164.63586693626624
3,1,8,2,1,164.6358669362662
3,1,8,3,1,164.6358669362662
3,1,8,4,1,164.63586693626624
3,1,8,5,1,164.6358669362662
4,1,1,1,1,188.79983416185624
4,1,1,2,1,188.79983416185627
4,1,1,3,1,188.79983416185624
4,1,1,4,1,188.79983416185624
4,1,1,5,1,188.79983416185624
4,1,2,1,1,155.5133505394992
4,1,2,2,1,155.5133505394992
4,1,2,3,1,155.5133505394992
4,1,2,4,1,155.5133505394992
4,1,2,5,1,155.5133505394992
4,1,3,1,1,156.6729803512847
4,1,3,2,1,156.6729803512847
4,1,3,3,1,156.6729803512847
4,1,3,4,1,156.6729803512847
4,1,3,5,1,156.6729803512847
4,1,4,1,1,183.1930240060438
4,1,4,2,1,183.19302400604377
4,1,4,3,1,183.1930240060438
4,1,4,4,1,183.19302400604377
4,1,4,5,1,183.1930240060438
4,1,5,1,1,171.74641045573483
4,1,5,2,1,171.74641045573483
4,1,5,3,1,171.74641045573483
4,1,5,4,1,171.74641045573483
4,1,5,5,1,171.74641045573483
4,1,6,1,1,165.43035750395777
4,1,6,2,1,165.43035750395777
4,1,6,3,1,165.43035750395777
4,1,6,4,1,165.43035750395777
4,1,6,5,1,165.43035750395777
4,1,7,1,1,166.35261258573468
4,1,7,2,1,166.35261258573465
4,1,7,3,1,166.35261258573468
4,1,7,4,1,166.35261258573465
4,1,7,5,1,166.35261258573468
4,1,8,1,1,164.63586693626624
4,1,8,2,1,164.6358669362662
4,1,8,3,1,164.6358669362662
4,1,8,4,1,164.63586693626624
4,1,8,5,1,164.6358669362662
5,1,1,1,1,188.79983416185624
5,1,1,2,1,188.79983416185627
5,1,1,3,1,188.79983416185624
5,1,1,4,1,188.79983416185624
5,1,1,5,1,188.79983416185624
5,1,2,1,1,155.5133505394992
5,1,2,2,1,155.5133505394992
5,1,2,3,1,155.5133505394992
5,1,2,4,1,155.5133505394992
5,1,2,5,1,155.5133505394992
5,1,3,1,1,156.6729803512847
5,1,3,2,1,156.6729803512847
5,1,3,3,1,156.6729803512847
5,1,3,4,1,156.6729803512847
5,1,3,5,1,156.6729803512847
5,1,4,1,1,183.1930240060438
5,1,4,2,1,183.19302400604377
5,1,4,3,1,183.1930240060438
5,1,4,4,1,183.19302400604377
5,1,4,5,1,183.1930240060438
5,1,5,1,1,171.74641045573483
5,1,5,2,1,171.74641045573483
5,1,5,3,1,171.74641045573483
5,1,5,4,1,171.74641045573483
5,1,5,5,1,171.74641045573483
5,1,6,1,1,165.43035750395777
5,1,6,2,1,165.43035750395777
5,1,6,3,1,165.43035750395777
5,1,6,4,1,165.43035750395777
5,1,6,5,1,165.43035750395777
5,1,7,1,1,166.35261258573468
5,1,7,2,1,166.35261258573465
5,1,7,3,1,166.35261258573468
5,1,7,4,1,166.35261258573465
5,1,7,5,1,166.35261258573468
5,1,8,1,1,164.63586693626624
5,1,8,2,1,164.6358669362662
5,1,8,3,1,164.6358669362662
5,1,8,4,1,164.63586693626624
5,1,8,5,1,164.6358669362662
6,1,1,1,1,188.79983416185624
6,1,1,2,1,188.79983416185627
6,1,1,3,1,188.79983416185624
6,1,1,4,1,188.79983416185624
6,1,1,5,1,188.79983416185624
6,1,2,1,1,155.5133505394992
6,1,2,2,1,155.5133505394992
6,1,2,3,1,155.5133505394992
6,1,2,4,1,155.5133505394992
6,1,2,5,1,155.5133505394992
6,1,3,1,1,156.6729803512847
6,1,3,2,1,156.6729803512847
6,1,3,3,1,156.6729803512847
6,1,3,4,1,156.6729803512847
6,1,3,5,1,156.6729803512847
6,1,4,1,1,183.1930240060438
6,1,4,2,1,183.19302400604377
6,1,4,3,1,183.1930240060438
6,1,4,4,1,183.19302400604377
6,1,4,5,1,183.1930240060438
6,1,5,1,1,171.74641045573483
6,1,5,2,1,171.74641045573483
6,1,5,3,1,171.74641045573483
6,1,5,4,1,171.74641045573483
6,1,5,5,1,171.74641045573483
6,1,6,1,1,165.43035750395777
6,1,6,2,1,165.43035750395777
6,1,6,3,1,165.43035750395777
6,1,6,4,1,165.43035750395777
6,1,6,5,1,165.43035750395777
6,1,7,1,1,166.35261258573468
6,1,7,2,1,166.35261258573465
6,1,7,3,1,166.35261258573468
6,1,7,4,1,166.35261258573465
6,1,7,5,1,166.35261258573468
6,1,8,1,1,164.63586693626624
6,1,8,2,1,164.6358669362662
6,1,8,3,1,164.6358669362662
6,1,8,4,1,164.63586693626624
6,1,8,5,1,164.6358669362662
7,1,1,1,1,188.79983416185624
7,1,1,2,1,188.79983416185627
7,1,1,3,1,188.79983416185624
7,1,1,4,1,188.79983416185624
7,1,1,5,1,188.79983416185624
7,1,2,1,1,155.5133505394992
7,1,2,2,1,155.5133505394992
7,1,2,3,1,155.5133505394992
7,1,2,4,1,155.5133505394992
7,1,2,5,1,155.5133505394992
7,1,3,1,1,156.6729803512847
7,1,3,2,1,156.6729803512847
7,1,3,3,1,156.6729803512847
7,1,3,4,1,156.6729803512847
7,1,3,5,1,156.6729803512847
7,1,4,1,1,183.1930240060438
7,1,4,2,1,183.19302400604377
7,1,4,3,1,183.1930240060438
7,1,4,4,1,183.19302400604377
7,1,4,5,1,183.1930240060438
7,1,5,1,1,171.74641045573483
7,1,5,2,1,171.74641045573483
7,1,5,3,1,171.74641045573483
7,1,5,4,1,171.74641045573483
7,1,5,5,1,171.74641045573483
7,1,6,1,1,165.43035750395777
7,1,6,2,1,165.43035750395777
7,1,6,3,1,165.43035750395777
7,1,6,4,1,165.43035750395777
7,1,6,5,1,165.43035750395777
7,1,7,1,1,166.35261258573468
7,1,7,2,1,166.35261258573465
7,1,7,3,1,166.35261258573468
7,1,7,4,1,166.35261258573465
7,1,7,5,1,166.35261258573468
7,1,8,1,1,164.63586693626624
7,1,8,2,1,164.6358669362662
7,1,8,3,1,164.6358669362662
7,1,8,4,1,164.63586693626624
7,1,8,5,1,164.6358669362662
8,1,1,1,1,188.79983416185624
8,1,1,2,1,188.79983416185627
8,1,1,3,1,188.79983416185624
8,1,1,4,1,188.79983416185624
8,1,1,5,1,188.79983416185624
8,1,2,1,1,155.5133505394992
8,1,2,2,1,155.5133505394992
8,1,2,3,1,155.5133505394992
8,1,2,4,1,155.5133505394992
8,1,2,5,1,155.5133505394992
8,1,3,1,1,156.6729803512847
8,1,3,2,1,156.6729803512847
8,1,3,3,1,156.6729803512847
8,1,3,4,1,156.6729803512847
8,1,3,5,1,156.6729803512847
8,1,4,1,1,183.1930240060438
8,1,4,2,1,183.19302400604377
8,1,4,3,1,183.1930240060438
8,1,4,4,1,183.19302400604377
8,1,4,5,1,183.1930240060438
8,1,5,1,1,171.74641045573483
8,1,5,2,1,171.74641045573483
8,1,5,3,1,171.74641045573483
8,1,5,4,1,171.74641045573483
8,1,5,5,1,171.74641045573483
8,1,6,1,1,165.43035750395777
8,1,6,2,1,165.43035750395777
8,1,6,3,1,165.43035750395777
8,1,6,4,1,165.43035750395777
8,1,6,5,1,165.43035750395777
8,1,7,1,1,166.35261258573468
8,1,7,2,1,166.35261258573465
8,1,7,3,1,166.35261258573468
8,1,7,4,1,166.35261258573465
8,1,7,5,1,166.35261258573468
8,1,8,1,1,164.63586693626624
8,1,8,2,1,164.6358669362662
8,1,8,3,1,164.6358669362662
8,1,8,4,1,164.63586693626624
8,1,8,5,1,164.6358669362662
9,1,1,1,1,188.79983416185624
9,1,1,2,1,188.79983416185627
9,1,1,3,1,188.79983416185624
9,1,1,4,1,188.79983416185624
9,1,1,5,1,188.79983416185624
9,1,2,1,1,155.5133505394992
9,1,2,2,1,155.5133505394992
9,1,2,3,1,155.5133505394992
9,1,2,4,1,155.5133505394992
9,1,2,5,1,155.5133505394992
9,1,3,1,1,156.6729803512847
9,1,3,2,1,156.6729803512847
9,1,3,3,1,156.6729803512847
9,1,3,4,1,156.6729803512847
9,1,3,5,1,156.6729803512847
9,1,4,1,1,183.1930240060438
