missing_value,normalization,model,utility_sp
1,1,1,0.05397751299149342
1,2,1,0.1678855668834461
1,3,1,0.1305993957378482
1,4,1,0.1713123071032796
1,5,1,0.16977747300312443
2,1,1,0.05457566798240117
2,2,1,0.16928565095225137
2,3,1,0.1480106522516793
2,4,1,0.1712324997630455
2,5,1,0.17132458079435303
3,1,1,0.05457566798240117
3,2,1,0.16928565095225137
3,3,1,0.1480106522516793
3,4,1,0.1712324997630455
3,5,1,0.17132458079435303
4,1,1,0.0651735475198252
4,2,1,0.1700207704639518
4,3,1,0.17038114514763028
4,4,1,0.17196670203148998
4,5,1,0.1723350261567202
5,1,1,0.05457566798240117
5,2,1,0.16928565095225137
5,3,1,0.1480106522516793
5,4,1,0.1712324997630455
5,5,1,0.17132458079435303
6,1,1,0.05457566798240117
6,2,1,0.16928565095225137
6,3,1,0.1480106522516793
6,4,1,0.1712324997630455
6,5,1,0.17132458079435303
7,1,1,0.05457566798240117
7,2,1,0.16928565095225137
7,3,1,0.1480106522516793
7,4,1,0.1712324997630455
7,5,1,0.17132458079435303
8,1,1,0.05457566798240117
8,2,1,0.16928565095225137
8,3,1,0.1480106522516793
8,4,1,0.1712324997630455
8,5,1,0.17132458079435303
9,1,1,0.05457566798240117
9,2,1,0.16928565095225137
9,3,1,0.1480106522516793
9,4,1,0.1712324997630455
9,5,1,0.17132458079435303
