missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,profile_median,corr_OverallQual,ot_OverallQual,corr_YearBuilt,ot_YearBuilt,corr_YearRemodAdd,ot_YearRemodAdd,corr_ExterQual,ot_ExterQual,corr_BsmtQual,ot_BsmtQual,corr_TotalBsmtSF,ot_TotalBsmtSF,corr_1stFlrSF,ot_1stFlrSF,corr_GrLivArea,ot_GrLivArea,corr_FullBath,ot_FullBath,corr_KitchenQual,ot_KitchenQual,corr_TotRmsAbvGrd,ot_TotRmsAbvGrd,corr_Fireplaces,ot_Fireplaces,corr_GarageFinish,ot_GarageFinish,corr_GarageCars,ot_GarageCars,corr_GarageArea,ot_GarageArea,utility_rmse
1,1,1,1,0.17465753424657535,0.17465753424657535,160600.0,0.78,0.25,0.51,0.4,0.54,0.53,3363.18,0.0,3363.18,0.0,0.57,0.13,0.58,0.16,0.65,0.15,0.5,0.03,3363.18,0.0,0.48,0.19,0.46,0.08,3363.23,0.0,0.62,0.41,0.59,0.21,186.14548582958727
1,1,2,1,0.17465753424657535,0.17465753424657535,157000.0,0.77,0.18,0.65,0.42,0.57,0.54,4133.08,0.0,4133.09,0.0,0.56,0.22,0.53,0.25,0.74,0.2,0.62,1.0,4133.09,0.0,0.52,0.21,0.41,0.05,4133.15,0.0,0.63,0.38,0.61,0.16,145.05955099917364
1,1,3,1,0.17465753424657535,0.17465753424657535,159467.0,0.78,0.21,0.59,0.41,0.55,0.52,4013.02,0.0,4013.04,0.0,0.58,0.27,0.57,0.28,0.68,0.21,0.49,0.02,4013.03,0.0,0.43,0.28,0.41,0.07,4013.09,0.0,0.62,0.4,0.59,0.26,157.7671060443903
1,1,4,1,0.17465753424657535,0.17465753424657535,163000.0,0.8,0.25,0.54,0.32,0.55,0.47,2474.96,0.0,2474.97,0.0,0.64,0.18,0.62,0.21,0.71,0.22,0.5,0.02,2474.97,0.0,0.49,0.18,0.43,0.53,2475.0,0.0,0.67,0.4,0.65,0.28,162.68348301067036
1,1,5,1,0.17465753424657535,0.17465753424657535,161750.0,0.79,0.23,0.57,0.36,0.56,0.53,2778.25,0.0,2778.26,0.0,0.62,0.2,0.6,0.31,0.68,0.25,0.51,0.02,2778.25,0.0,0.45,0.31,0.43,0.55,2778.29,0.0,0.66,0.38,0.66,0.22,165.540316240018
1,1,6,1,0.17465753424657535,0.17465753424657535,162500.0,0.78,0.23,0.59,0.36,0.59,0.67,2864.18,0.0,2864.19,0.0,0.61,0.2,0.59,0.31,0.68,0.31,0.51,0.02,2864.18,0.0,0.44,0.29,0.4,0.55,2864.22,0.0,0.66,0.37,0.66,0.21,162.84595280791734
1,1,7,1,0.17465753424657535,0.17465753424657535,164500.0,0.78,0.2,0.57,0.38,0.57,0.6,3257.81,0.0,3257.82,0.0,0.57,0.32,0.57,0.28,0.7,0.29,0.52,0.02,3257.82,0.0,0.46,0.26,0.39,0.55,3257.86,0.0,0.65,0.35,0.65,0.21,157.85173855691278
1,1,8,1,0.17465753424657535,0.17465753424657535,164000.0,0.78,0.2,0.57,0.34,0.58,0.58,3481.38,0.0,3481.39,0.0,0.52,0.26,0.53,0.28,0.72,0.3,0.57,0.02,3481.38,0.0,0.48,0.26,0.41,0.55,3481.43,0.0,0.62,0.34,0.61,0.21,156.3469340536561
1,2,1,1,0.17465753424657535,0.17465753424657535,160600.0,0.78,0.25,0.51,0.4,0.54,0.53,3363.27,0.04,3363.27,0.1,0.57,0.13,0.58,0.16,0.65,0.15,0.5,0.03,3363.27,0.1,0.48,0.19,0.46,0.08,3363.27,0.52,0.62,0.41,0.59,0.21,186.14548582958727
1,2,2,1,0.17465753424657535,0.17465753424657535,157000.0,0.77,0.18,0.65,0.42,0.57,0.54,4133.21,0.34,4133.2,0.01,0.56,0.22,0.53,0.25,0.74,0.2,0.62,1.0,4133.2,0.02,0.52,0.21,0.41,0.05,4133.21,0.51,0.63,0.38,0.61,0.16,145.05955099917367
1,2,3,1,0.17465753424657535,0.17465753424657535,153000.0,0.73,0.17,0.58,0.43,0.52,0.49,4638.54,0.31,4638.53,0.03,0.52,0.23,0.52,0.28,0.66,0.21,0.54,0.01,4638.53,0.03,0.41,0.27,0.4,0.07,4638.54,0.48,0.58,0.4,0.54,0.24,152.83649782443027
1,2,4,1,0.17465753424657535,0.17465753424657535,158000.0,0.78,0.21,0.54,0.35,0.55,0.5,2393.03,0.03,2393.03,0.1,0.68,0.13,0.66,0.19,0.68,0.21,0.5,0.02,2393.03,0.09,0.48,0.16,0.44,0.56,2393.03,0.52,0.61,0.15,0.59,0.25,166.0281084418605
1,2,5,1,0.17465753424657535,0.17465753424657535,155000.0,0.81,0.2,0.6,0.34,0.56,0.51,2829.37,0.34,2829.37,0.09,0.63,0.21,0.58,0.28,0.66,0.26,0.47,0.0,2829.37,0.09,0.43,0.27,0.4,0.55,2829.37,0.52,0.67,0.43,0.65,0.22,155.8261185818897
1,2,6,1,0.17465753424657535,0.17465753424657535,160000.0,0.8,0.19,0.59,0.36,0.55,0.59,2977.62,0.35,2977.62,0.08,0.65,0.19,0.6,0.23,0.68,0.25,0.5,0.45,2977.62,0.08,0.48,0.25,0.4,0.53,2977.62,1.0,0.68,0.42,0.66,0.2,152.86463259999886
1,2,7,1,0.17465753424657535,0.17465753424657535,160000.0,0.79,0.18,0.6,0.33,0.54,0.52,3164.87,0.35,3164.87,0.05,0.61,0.23,0.58,0.24,0.7,0.25,0.54,0.47,3164.87,0.05,0.5,0.25,0.39,0.53,3164.87,1.0,0.68,0.39,0.65,0.16,154.2834070021829
