missing_value,normalization,outlier,fselection,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,profile_median,corr_OverallQual,ot_OverallQual,corr_YearBuilt,ot_YearBuilt,corr_YearRemodAdd,ot_YearRemodAdd,corr_ExterQual,ot_ExterQual,corr_BsmtQual,ot_BsmtQual,corr_TotalBsmtSF,ot_TotalBsmtSF,corr_1stFlrSF,ot_1stFlrSF,corr_GrLivArea,ot_GrLivArea,corr_FullBath,ot_FullBath,corr_KitchenQual,ot_KitchenQual,corr_TotRmsAbvGrd,ot_TotRmsAbvGrd,corr_Fireplaces,ot_Fireplaces,corr_GarageFinish,ot_GarageFinish,corr_GarageCars,ot_GarageCars,corr_GarageArea,ot_GarageArea,utility_rmse
1,1,1,1,1,0.1567732115677321,0.1567732115677321,167500.0,0.8,0.27,0.56,0.42,0.52,0.65,3147.88,0.0,3147.89,0.0,0.66,0.18,0.63,0.18,0.74,0.17,0.58,0.03,3147.89,0.0,0.56,0.17,0.49,0.08,3147.93,0.0,0.65,0.46,0.64,0.26,186.57432344202866
1,1,2,1,1,0.1567732115677321,0.1567732115677321,164000.0,0.77,0.19,0.6,0.36,0.55,0.58,5061.12,0.0,5061.13,0.0,0.58,0.17,0.56,0.18,0.73,0.25,0.63,0.01,5061.12,0.0,0.52,0.23,0.41,0.05,5061.19,0.0,0.64,0.1,0.62,0.24,149.8746099063248
1,1,3,1,1,0.1567732115677321,0.1567732115677321,162900.0,0.82,0.24,0.6,0.49,0.56,0.58,4143.14,0.0,4143.16,0.0,0.65,0.24,0.61,0.23,0.74,0.17,0.58,0.02,4143.15,0.0,0.54,0.27,0.47,0.54,4143.2,0.0,0.69,0.44,0.67,0.3,156.60013484343253
1,1,4,1,1,0.1567732115677321,0.1567732115677321,169000.0,0.81,0.27,0.56,0.36,0.51,0.63,2396.64,0.0,2396.65,0.0,0.69,0.23,0.67,0.19,0.78,0.17,0.58,0.03,2396.65,0.0,0.57,0.16,0.48,0.54,2396.67,0.0,0.66,0.19,0.65,0.25,179.5979550901036
1,1,5,1,1,0.1567732115677321,0.1567732115677321,169000.0,0.82,0.13,0.59,0.35,0.55,0.65,3172.24,0.0,3172.25,0.0,0.67,0.2,0.64,0.23,0.74,0.2,0.59,0.01,3172.25,0.0,0.57,0.14,0.48,0.07,3172.29,0.0,0.69,0.43,0.72,0.23,162.64602566259705
1,1,6,1,1,0.1567732115677321,0.1567732115677321,172500.0,0.83,0.13,0.6,0.35,0.57,0.6,3227.93,0.0,3227.94,0.0,0.67,0.15,0.65,0.22,0.74,0.22,0.6,0.02,3227.94,0.0,0.58,0.14,0.49,0.07,3227.97,0.0,0.69,0.44,0.71,0.28,162.3120240845981
1,1,7,1,1,0.1567732115677321,0.1567732115677321,175000.0,0.82,0.25,0.59,0.27,0.56,0.57,3568.35,0.0,3568.35,0.0,0.65,0.18,0.62,0.23,0.75,0.24,0.6,0.02,3568.35,0.0,0.56,0.14,0.46,0.08,3568.39,0.0,0.69,0.17,0.72,0.22,160.17370180198378
1,1,8,1,1,0.1567732115677321,0.1567732115677321,175000.0,0.81,0.23,0.58,0.3,0.56,0.59,3846.22,0.0,3846.23,0.0,0.61,0.28,0.6,0.27,0.73,0.29,0.6,0.02,3846.23,0.0,0.55,0.14,0.45,0.08,3846.27,0.0,0.67,0.15,0.69,0.2,157.24589212622547
1,2,1,1,1,0.1567732115677321,0.1567732115677321,167500.0,0.8,0.27,0.56,0.42,0.52,0.65,3147.97,0.05,3147.97,0.14,0.66,0.18,0.63,0.18,0.74,0.17,0.58,0.03,3147.97,0.11,0.56,0.17,0.49,0.08,3147.97,0.28,0.65,0.46,0.64,0.26,186.57432344202869
1,2,2,1,1,0.1567732115677321,0.1567732115677321,164000.0,0.77,0.19,0.6,0.36,0.55,0.58,5061.26,0.37,5061.26,0.05,0.58,0.17,0.56,0.18,0.73,0.25,0.63,0.01,5061.26,0.02,0.52,0.23,0.41,0.05,5061.27,0.2,0.64,0.1,0.62,0.24,149.87460990632485
