missing_value,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,var_Age,ent_Age,corr_fnlwgt,ot_fnlwgt,var_fnlwgt,ent_fnlwgt,corr_Education_Num,ot_Education_Num,var_Education_Num,ent_Education_Num,corr_Capital_Gain,ot_Capital_Gain,var_Capital_Gain,ent_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,var_Capital_Loss,ent_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,var_Hours_per_week,ent_Hours_per_week,utility_sp
1,1,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,113968.66,0.46,190.85,2.83,46448.01,0.31,11280647297.31,1.51,208119.96,0.29,6.63,2.47,301.97,0.08,58600491.84,0.19,683.97,0.05,160214.42,0.35,152167.03,0.32,155.43,2.22,0.05397751299149342
1,2,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,694.77,0.46,1.0,2.83,694.77,0.31,1.0,1.51,694.77,0.29,1.0,2.14,694.77,0.08,1.0,0.19,694.77,0.05,1.0,0.35,694.77,0.32,1.0,2.22,0.1678855668834461
1,3,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,484.55,0.46,0.48,2.83,300.57,0.31,0.76,1.51,1171.59,0.29,0.41,2.47,301.97,0.08,58600491.84,0.19,683.97,0.05,160214.42,0.35,51.19,0.32,6.22,2.14,0.1305993957378482
1,4,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,2709.35,0.46,0.02,2.83,950.0,0.31,0.01,1.51,10957.58,0.29,0.03,2.47,3999.37,0.08,0.01,0.19,3483.83,0.05,0.01,0.35,2201.85,0.32,0.02,2.22,0.1713123071032796
1,5,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,258.41,0.46,0.04,2.83,1092.59,0.31,0.01,1.51,9460.42,0.29,0.03,2.11,3999.37,0.08,0.01,0.19,3483.83,0.05,0.01,0.35,2046.49,0.32,0.02,2.22,0.16977747300312443
2,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,191.8,2.83,52279.46,0.3,11175641703.85,1.51,232602.78,0.29,6.59,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,168382.36,0.35,155.73,2.22,0.05457566798240117
2,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,769.61,0.46,1.0,2.83,769.61,0.3,1.0,1.51,769.61,0.29,1.0,2.47,769.61,0.08,1.0,0.18,769.61,0.05,1.0,0.36,769.61,0.35,1.0,2.22,0.16928565095225137
2,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,539.31,0.46,0.48,2.83,345.12,0.3,0.76,1.51,800.96,0.29,0.73,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,63.23,0.35,6.23,2.14,0.1480106522516793
2,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,0.02,2.83,1045.31,0.3,0.01,1.51,12216.25,0.29,0.03,2.47,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2446.99,0.35,0.02,2.22,0.1712324997630455
2,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,0.04,2.83,1203.07,0.3,0.01,1.51,10548.83,0.29,0.03,2.11,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2274.14,0.35,0.02,2.22,0.17132458079435303
3,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,191.8,2.83,52279.46,0.3,11175641703.85,1.51,232602.78,0.29,6.59,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,168382.36,0.35,155.73,2.22,0.05457566798240117
3,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,769.61,0.46,1.0,2.83,769.61,0.3,1.0,1.51,769.61,0.29,1.0,2.47,769.61,0.08,1.0,0.18,769.61,0.05,1.0,0.36,769.61,0.35,1.0,2.22,0.16928565095225137
3,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,539.31,0.46,0.48,2.83,345.12,0.3,0.76,1.51,800.96,0.29,0.73,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,63.23,0.35,6.23,2.14,0.1480106522516793
3,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,0.02,2.83,1045.31,0.3,0.01,1.51,12216.25,0.29,0.03,2.47,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2446.99,0.35,0.02,2.22,0.1712324997630455
3,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,0.04,2.83,1203.07,0.3,0.01,1.51,10548.83,0.29,0.03,2.11,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2274.14,0.35,0.02,2.22,0.17132458079435303
4,1,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,191.8,2.83,52279.46,0.3,11175641703.85,1.51,232602.78,0.29,6.59,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,168382.36,0.35,155.73,2.22,0.0651735475198252
4,2,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,3.233229329173167,769.61,0.46,1.0,2.83,769.61,0.3,1.0,1.51,769.61,0.29,1.0,2.47,769.61,0.08,1.0,0.18,769.61,0.05,1.0,0.36,769.61,0.35,1.0,2.22,0.1700207704639518
4,3,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,3.233229329173167,539.31,0.46,0.48,2.83,345.12,0.3,0.76,1.51,800.96,0.29,0.73,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,63.23,0.35,6.23,2.14,0.17038114514763028
4,4,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,0.02,2.83,1045.31,0.3,0.01,1.51,12216.25,0.29,0.03,2.47,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2446.99,0.35,0.02,2.22,0.17196670203148998
4,5,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,0.04,2.83,1203.07,0.3,0.01,1.51,10548.83,0.29,0.03,2.11,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2274.14,0.35,0.02,2.22,0.1723350261567202
5,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,191.8,2.83,52279.46,0.3,11175641703.85,1.51,232602.78,0.29,6.59,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,168382.36,0.35,155.73,2.22,0.05457566798240117
5,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,769.61,0.46,1.0,2.83,769.61,0.3,1.0,1.51,769.61,0.29,1.0,2.47,769.61,0.08,1.0,0.18,769.61,0.05,1.0,0.36,769.61,0.35,1.0,2.22,0.16928565095225137
5,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,539.31,0.46,0.48,2.83,345.12,0.3,0.76,1.51,800.96,0.29,0.73,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,63.23,0.35,6.23,2.14,0.1480106522516793
5,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,0.02,2.83,1045.31,0.3,0.01,1.51,12216.25,0.29,0.03,2.47,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2446.99,0.35,0.02,2.22,0.1712324997630455
5,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,0.04,2.83,1203.07,0.3,0.01,1.51,10548.83,0.29,0.03,2.11,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2274.14,0.35,0.02,2.22,0.17132458079435303
6,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,191.8,2.83,52279.46,0.3,11175641703.85,1.51,232602.78,0.29,6.59,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,168382.36,0.35,155.73,2.22,0.05457566798240117
6,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,769.61,0.46,1.0,2.83,769.61,0.3,1.0,1.51,769.61,0.29,1.0,2.47,769.61,0.08,1.0,0.18,769.61,0.05,1.0,0.36,769.61,0.35,1.0,2.22,0.16928565095225137
6,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,539.31,0.46,0.48,2.83,345.12,0.3,0.76,1.51,800.96,0.29,0.73,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,63.23,0.35,6.23,2.14,0.1480106522516793
6,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,0.02,2.83,1045.31,0.3,0.01,1.51,12216.25,0.29,0.03,2.47,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2446.99,0.35,0.02,2.22,0.1712324997630455
6,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,0.04,2.83,1203.07,0.3,0.01,1.51,10548.83,0.29,0.03,2.11,4442.92,0.08,0.01,0.18,3846.59,0.05,0.01,0.36,2274.14,0.35,0.02,2.22,0.17132458079435303
7,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,191.8,2.83,52279.46,0.3,11175641703.85,1.51,232602.78,0.29,6.59,2.47,331.19,0.08,57516084.77,0.18,769.98,0.05,162493.87,0.36,168382.36,0.35,155.73,2.22,0.05457566798240117
