sampling,missing_value,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,1,1,1,0.12878787878787878,0.19523,2.02072,0.043235004463377046,3.16545842217484,230819.31,0.43,921.82,0.0,94679.18,0.33,3984.4,0.0,417656.62,0.29,5835.6,0.0,3606.02,0.0,5993.27,0.0,295.12,0.0,1354.66,0.0,618.39,0.08,1358.67,0.05,307974.45,0.31,290.97,0.0,0.07001327132151709
1,1,2,1,0.12878787878787878,0.19523,2.02072,0.043235004463377046,3.16545842217484,1428.26,0.43,921.82,0.3,1428.26,0.33,3984.4,0.29,1428.26,0.29,5835.6,0.21,3606.02,0.41,5993.27,0.34,295.12,0.15,1354.66,0.33,1428.26,0.08,1428.26,0.05,1428.26,0.31,290.97,0.1,0.17456389761463537
1,1,3,1,0.12878787878787878,0.19523,2.02072,0.043235004463377046,3.16545842217484,1184.97,0.43,921.82,0.3,629.82,0.33,3984.4,0.29,1447.54,0.29,5835.6,0.21,3606.02,0.41,5993.27,0.34,295.12,0.15,1354.66,0.33,618.39,0.08,1358.67,0.05,106.03,0.31,290.97,0.1,0.15960480100660937
1,1,4,1,0.12878787878787878,0.19523,2.02072,0.043235004463377046,3.16545842217484,5063.74,0.43,921.82,0.3,1969.67,0.33,3984.4,0.29,21403.72,0.29,5835.6,0.21,3606.02,0.41,5993.27,0.34,295.12,0.15,1354.66,0.33,8203.51,0.08,7444.66,0.05,4197.3,0.31,290.97,0.1,0.17696226807625648
1,1,5,1,0.12878787878787878,0.19523,2.02072,0.043235004463377046,3.16545842217484,412.54,0.43,921.82,0.3,2232.29,0.33,3984.4,0.29,18467.18,0.29,5835.6,0.21,3606.02,0.41,5993.27,0.34,295.12,0.15,1354.66,0.33,8203.51,0.08,7444.66,0.05,3895.6,0.31,290.97,0.1,0.17763071665898672
1,2,1,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,256991.61,0.41,1045.63,0.0,105269.17,0.32,4429.44,0.0,463479.97,0.29,5835.6,0.0,4031.66,0.0,6698.63,0.0,330.95,0.0,1517.53,0.0,692.98,0.08,1518.91,0.05,344649.23,0.33,316.91,0.0,0.07001327132151709
1,2,2,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,1596.34,0.41,1045.63,0.3,1596.34,0.32,4429.44,0.29,1596.34,0.29,5630.63,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,1596.34,0.08,1596.34,0.05,1596.34,0.33,316.91,0.1,0.17426779553115904
1,2,3,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,1314.21,0.41,1045.63,0.3,708.51,0.32,4429.44,0.29,1622.64,0.29,5630.63,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,692.98,0.08,1518.91,0.05,121.86,0.33,316.91,0.1,0.15328421929083347
1,2,4,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,5584.1,0.41,1045.63,0.3,2212.51,0.32,4429.44,0.29,23637.14,0.29,5630.63,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4612.55,0.33,316.91,0.1,0.17823471535288946
1,2,5,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,449.46,0.41,1045.63,0.3,2505.54,0.32,4429.44,0.29,20388.41,0.29,5630.63,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4279.49,0.33,316.91,0.1,0.1785527677676206
1,3,1,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,256991.61,0.41,1045.63,0.0,105269.17,0.32,4429.44,0.0,463479.97,0.29,5835.6,0.0,4031.66,0.0,6698.63,0.0,330.95,0.0,1517.53,0.0,692.98,0.08,1518.91,0.05,344649.23,0.33,316.91,0.0,0.07001327132151709
1,3,2,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,1596.34,0.41,1045.63,0.3,1596.34,0.32,4429.44,0.29,1596.34,0.29,5630.63,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,1596.34,0.08,1596.34,0.05,1596.34,0.33,316.91,0.1,0.17426779553115904
1,3,3,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,1314.21,0.41,1045.63,0.3,708.51,0.32,4429.44,0.29,1622.64,0.29,5630.63,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,692.98,0.08,1518.91,0.05,121.86,0.33,316.91,0.1,0.15328421929083347
1,3,4,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,5584.1,0.41,1045.63,0.3,2212.51,0.32,4429.44,0.29,23637.14,0.29,5630.63,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4612.55,0.33,316.91,0.1,0.17823471535288946
1,3,5,1,0.13731572481572482,0.19627,2.02321,0.0434472369306056,3.152531564851422,449.46,0.41,1045.63,0.3,2505.54,0.32,4429.44,0.29,20388.41,0.29,5630.63,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4279.49,0.33,316.91,0.1,0.1785527677676206
1,4,1,1,0.13682432432432431,0.19627,2.02321,0.0434472369306056,3.152531564851422,256991.61,0.41,1045.63,0.0,105269.17,0.32,4429.44,0.0,463479.97,0.29,5265.29,0.0,4031.66,0.0,6698.63,0.0,330.95,0.0,1517.53,0.0,692.98,0.08,1518.91,0.05,344649.23,0.33,316.91,0.0,0.05673767024901748
1,4,2,1,0.13682432432432431,0.19627,2.02321,0.0434472369306056,3.152531564851422,1596.34,0.41,1045.63,0.3,1596.34,0.32,4429.44,0.29,1596.34,0.29,5265.29,0.19,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,1596.34,0.08,1596.34,0.05,1596.34,0.33,316.91,0.1,0.17559122424186643
