sampling,missing_value,model,utility_sp
1,1,1,0.09628150536287333
1,2,1,0.09628150536287333
1,3,1,0.09628150536287333
1,4,1,0.09628150536287333
1,5,1,0.09628150536287333
1,6,1,0.09628150536287333
1,7,1,0.09628150536287333
1,8,1,0.09628150536287333
1,9,1,0.09628150536287333
2,1,1,0.13515199982939338
2,2,1,0.13515199982939338
2,3,1,0.13515199982939338
2,4,1,0.13515199982939338
2,5,1,0.13515199982939338
2,6,1,0.13515199982939338
2,7,1,0.13515199982939338
2,8,1,0.13515199982939338
2,9,1,0.13515199982939338
3,1,1,0.07899999999999999
3,2,1,0.07899999999999999
3,3,1,0.07899999999999999
3,4,1,0.07899999999999999
3,5,1,0.07899999999999999
3,6,1,0.07899999999999999
3,7,1,0.07899999999999999
3,8,1,0.07899999999999999
3,9,1,0.07899999999999999
