sampling,missing_value,normalization,model,utility_sp
1,1,1,1,0.09628150536287333
1,1,2,1,0.19909109619423696
1,1,3,1,0.17913428723490837
1,1,4,1,0.20267169993987516
1,1,5,1,0.20312956076467234
1,2,1,1,0.09628150536287333
1,2,2,1,0.19909109619423696
1,2,3,1,0.17913428723490837
1,2,4,1,0.20267169993987516
1,2,5,1,0.20312956076467234
1,3,1,1,0.09628150536287333
1,3,2,1,0.19909109619423696
1,3,3,1,0.17913428723490837
1,3,4,1,0.20267169993987516
1,3,5,1,0.20312956076467234
1,4,1,1,0.09628150536287333
1,4,2,1,0.19909109619423696
1,4,3,1,0.17913428723490837
1,4,4,1,0.20267169993987516
1,4,5,1,0.20312956076467234
1,5,1,1,0.09628150536287333
1,5,2,1,0.19909109619423696
1,5,3,1,0.17913428723490837
1,5,4,1,0.20267169993987516
1,5,5,1,0.20312956076467234
1,6,1,1,0.09628150536287333
1,6,2,1,0.19909109619423696
1,6,3,1,0.17913428723490837
1,6,4,1,0.20267169993987516
1,6,5,1,0.20312956076467234
1,7,1,1,0.09628150536287333
1,7,2,1,0.19909109619423696
1,7,3,1,0.17913428723490837
1,7,4,1,0.20267169993987516
1,7,5,1,0.20312956076467234
1,8,1,1,0.09628150536287333
1,8,2,1,0.19909109619423696
1,8,3,1,0.17913428723490837
1,8,4,1,0.20267169993987516
1,8,5,1,0.20312956076467234
1,9,1,1,0.09628150536287333
1,9,2,1,0.19909109619423696
1,9,3,1,0.17913428723490837
1,9,4,1,0.20267169993987516
1,9,5,1,0.20312956076467234
2,1,1,1,0.13515199982939338
2,1,2,1,0.1997129543733939
2,1,3,1,0.16756028988907015
2,1,4,1,0.2079762856807737
2,1,5,1,0.20843038361607824
2,2,1,1,0.13515199982939338
2,2,2,1,0.1997129543733939
2,2,3,1,0.16756028988907015
2,2,4,1,0.2079762856807737
2,2,5,1,0.20843038361607824
2,3,1,1,0.13515199982939338
2,3,2,1,0.1997129543733939
2,3,3,1,0.16756028988907015
2,3,4,1,0.2079762856807737
2,3,5,1,0.20843038361607824
2,4,1,1,0.13515199982939338
2,4,2,1,0.1997129543733939
2,4,3,1,0.16756028988907015
2,4,4,1,0.2079762856807737
2,4,5,1,0.20843038361607824
2,5,1,1,0.13515199982939338
2,5,2,1,0.1997129543733939
2,5,3,1,0.16756028988907015
2,5,4,1,0.2079762856807737
2,5,5,1,0.20843038361607824
2,6,1,1,0.13515199982939338
2,6,2,1,0.1997129543733939
2,6,3,1,0.16756028988907015
2,6,4,1,0.2079762856807737
2,6,5,1,0.20843038361607824
2,7,1,1,0.13515199982939338
2,7,2,1,0.1997129543733939
2,7,3,1,0.16756028988907015
2,7,4,1,0.2079762856807737
2,7,5,1,0.20843038361607824
2,8,1,1,0.13515199982939338
2,8,2,1,0.1997129543733939
2,8,3,1,0.16756028988907015
2,8,4,1,0.2079762856807737
2,8,5,1,0.20843038361607824
2,9,1,1,0.13515199982939338
2,9,2,1,0.1997129543733939
2,9,3,1,0.16756028988907015
2,9,4,1,0.2079762856807737
2,9,5,1,0.20843038361607824
3,1,1,1,0.07899999999999999
3,1,2,1,0.1825
3,1,3,1,0.17116666666666666
3,1,4,1,0.1905
3,1,5,1,0.19116666666666665
3,2,1,1,0.07899999999999999
3,2,2,1,0.1825
3,2,3,1,0.17116666666666666
3,2,4,1,0.1905
3,2,5,1,0.19116666666666665
3,3,1,1,0.07899999999999999
3,3,2,1,0.1825
3,3,3,1,0.17116666666666666
3,3,4,1,0.1905
3,3,5,1,0.19116666666666665
3,4,1,1,0.07899999999999999
3,4,2,1,0.1825
3,4,3,1,0.17116666666666666
3,4,4,1,0.1905
3,4,5,1,0.19116666666666665
3,5,1,1,0.07899999999999999
3,5,2,1,0.1825
3,5,3,1,0.17116666666666666
3,5,4,1,0.1905
3,5,5,1,0.19116666666666665
3,6,1,1,0.07899999999999999
3,6,2,1,0.1825
3,6,3,1,0.17116666666666666
3,6,4,1,0.1905
3,6,5,1,0.19116666666666665
3,7,1,1,0.07899999999999999
3,7,2,1,0.1825
3,7,3,1,0.17116666666666666
3,7,4,1,0.1905
3,7,5,1,0.19116666666666665
3,8,1,1,0.07899999999999999
3,8,2,1,0.1825
3,8,3,1,0.17116666666666666
3,8,4,1,0.1905
3,8,5,1,0.19116666666666665
3,9,1,1,0.07899999999999999
3,9,2,1,0.1825
3,9,3,1,0.17116666666666666
3,9,4,1,0.1905
3,9,5,1,0.19116666666666665
