missing_value,normalization,model,utility_sp
1,1,1,0.09628150536287333
1,2,1,0.19909109619423696
1,3,1,0.17913428723490837
1,4,1,0.20267169993987516
1,5,1,0.20312956076467234
2,1,1,0.09628150536287333
2,2,1,0.19909109619423696
2,3,1,0.17913428723490837
2,4,1,0.20267169993987516
2,5,1,0.20312956076467234
3,1,1,0.09628150536287333
3,2,1,0.19909109619423696
3,3,1,0.17913428723490837
3,4,1,0.20267169993987516
3,5,1,0.20312956076467234
4,1,1,0.09628150536287333
4,2,1,0.19909109619423696
4,3,1,0.17913428723490837
4,4,1,0.20267169993987516
4,5,1,0.20312956076467234
5,1,1,0.09628150536287333
5,2,1,0.19909109619423696
5,3,1,0.17913428723490837
5,4,1,0.20267169993987516
5,5,1,0.20312956076467234
6,1,1,0.09628150536287333
6,2,1,0.19909109619423696
6,3,1,0.17913428723490837
6,4,1,0.20267169993987516
6,5,1,0.20312956076467234
7,1,1,0.09628150536287333
7,2,1,0.19909109619423696
7,3,1,0.17913428723490837
7,4,1,0.20267169993987516
7,5,1,0.20312956076467234
8,1,1,0.09628150536287333
8,2,1,0.19909109619423696
8,3,1,0.17913428723490837
8,4,1,0.20267169993987516
8,5,1,0.20312956076467234
9,1,1,0.09628150536287333
9,2,1,0.19909109619423696
9,3,1,0.17913428723490837
9,4,1,0.20267169993987516
9,5,1,0.20312956076467234
