missing_value,normalization,model,outlier_bef_normalization_strat,profile_median,corr_OverallQual,ot_OverallQual,corr_YearBuilt,ot_YearBuilt,corr_YearRemodAdd,ot_YearRemodAdd,corr_ExterQual,ot_ExterQual,corr_BsmtQual,ot_BsmtQual,corr_TotalBsmtSF,ot_TotalBsmtSF,corr_1stFlrSF,ot_1stFlrSF,corr_GrLivArea,ot_GrLivArea,corr_FullBath,ot_FullBath,corr_KitchenQual,ot_KitchenQual,corr_TotRmsAbvGrd,ot_TotRmsAbvGrd,corr_Fireplaces,ot_Fireplaces,corr_GarageFinish,ot_GarageFinish,corr_GarageCars,ot_GarageCars,corr_GarageArea,ot_GarageArea,utility_mae
1,1,1,0.1780821917808219,162750.0,0.78,0.25,0.53,0.38,0.53,0.42,3281.42,0.0,3281.43,0.0,0.63,0.16,0.61,0.18,0.7,0.2,0.51,0.02,3281.43,0.0,0.5,0.32,0.45,0.56,3281.47,0.0,0.66,0.41,0.66,0.28,20282.94795950242
1,2,1,0.1780821917808219,162750.0,0.78,0.25,0.53,0.38,0.53,0.42,3281.52,0.04,3281.52,0.1,0.63,0.16,0.61,0.18,0.7,0.2,0.51,0.02,3281.52,0.1,0.5,0.32,0.45,0.56,3281.52,0.53,0.66,0.41,0.66,0.28,20282.947959502457
1,3,1,0.1780821917808219,162750.0,0.78,0.25,0.53,0.38,0.53,0.42,3281.53,0.04,3281.51,0.1,0.63,0.16,0.61,0.18,0.7,0.2,0.51,0.02,3281.54,0.1,0.5,0.32,0.45,0.56,3281.51,0.53,0.66,0.41,0.66,0.28,20282.94795950245
1,4,1,0.1780821917808219,162750.0,0.78,0.25,0.53,0.38,0.53,0.42,3281.49,0.04,3281.49,0.1,0.63,0.16,0.61,0.18,0.7,0.2,0.51,0.02,3281.49,0.1,0.5,0.32,0.45,0.56,3281.5,0.53,0.66,0.41,0.66,0.28,20282.947959502464
1,5,1,0.1780821917808219,162750.0,0.78,0.25,0.53,0.38,0.53,0.42,3281.49,0.04,3281.49,0.1,0.63,0.16,0.61,0.18,0.7,0.2,0.51,0.02,3281.49,0.1,0.5,0.32,0.45,0.56,3281.5,0.53,0.66,0.41,0.66,0.28,20282.94795950242
2,1,1,0.17945205479452056,163000.0,0.69,0.2,0.5,0.36,0.5,0.45,4033.93,0.0,4033.94,0.0,0.57,0.14,0.59,0.19,0.68,0.2,0.53,0.03,4033.93,0.0,0.51,0.19,0.45,0.08,4033.99,0.0,0.63,0.41,0.6,0.22,22274.488087251295
2,2,1,0.17945205479452056,163000.0,0.69,0.2,0.5,0.36,0.5,0.45,4034.04,0.04,4034.04,0.11,0.57,0.14,0.59,0.19,0.68,0.2,0.53,0.03,4034.04,0.09,0.51,0.19,0.45,0.08,4034.04,0.52,0.63,0.41,0.6,0.22,22274.48808725126
2,3,1,0.17945205479452056,163000.0,0.69,0.2,0.5,0.36,0.5,0.45,4034.06,0.04,4034.03,0.11,0.57,0.14,0.59,0.19,0.68,0.2,0.53,0.03,4034.07,0.09,0.51,0.19,0.45,0.08,4034.04,0.52,0.63,0.41,0.6,0.22,22274.488087251262
2,4,1,0.17945205479452056,163000.0,0.69,0.2,0.5,0.36,0.5,0.45,4034.0,0.04,4034.01,0.11,0.57,0.14,0.59,0.19,0.68,0.2,0.53,0.03,4034.01,0.09,0.51,0.19,0.45,0.08,4034.01,0.52,0.63,0.41,0.6,0.22,22274.488087251248
2,5,1,0.17945205479452056,163000.0,0.69,0.2,0.5,0.36,0.5,0.45,4034.0,0.04,4034.01,0.11,0.57,0.14,0.59,0.19,0.68,0.2,0.53,0.03,4034.01,0.09,0.51,0.19,0.45,0.08,4034.01,0.52,0.63,0.41,0.6,0.22,22274.48808725123
