missing_value,outlier,normalization,model,utility_sp
1,1,1,1,0.06037916586237414
1,1,2,1,0.1716433091598158
1,1,3,1,0.13457707849426215
1,1,4,1,0.1773989755337413
1,1,5,1,0.1773573440748463
1,2,1,1,0.07244255973565625
1,2,2,1,0.18009596279662496
1,2,3,1,0.13394130893913384
1,2,4,1,0.17813520839941205
1,2,5,1,0.17894935358853226
1,3,1,1,0.05190104297124637
1,3,2,1,0.1383452203494636
1,3,3,1,0.1383452203494636
1,3,4,1,0.13489500058389323
1,3,5,1,0.13671609960888928
1,4,1,1,0.052549941534079415
1,4,2,1,0.1777308701091423
1,4,3,1,0.1027037126679472
1,4,4,1,0.18451453795712136
1,4,5,1,0.18470269336786846
1,5,1,1,0.06685150789232527
1,5,2,1,0.180277687505549
1,5,3,1,0.15261745356087378
1,5,4,1,0.1854131907110204
1,5,5,1,0.18535563491070098
1,6,1,1,0.060918349449129966
1,6,2,1,0.170473726674611
1,6,3,1,0.13231281886117258
1,6,4,1,0.17621303263349297
1,6,5,1,0.1762675617091357
1,7,1,1,0.04296274060599573
1,7,2,1,0.16190288450554788
1,7,3,1,0.15605657144608143
1,7,4,1,0.1695704377389893
1,7,5,1,0.1698703241807319
1,8,1,1,0.044815010924494435
1,8,2,1,0.1526985634750463
1,8,3,1,0.11662374935631309
1,8,4,1,0.162226797935159
1,8,5,1,0.1619326802881002
2,1,1,1,0.06037916586237414
2,1,2,1,0.1716433091598158
2,1,3,1,0.13457707849426215
2,1,4,1,0.1773989755337413
2,1,5,1,0.1773573440748463
2,2,1,1,0.07244255973565625
2,2,2,1,0.18009596279662496
2,2,3,1,0.13394130893913384
2,2,4,1,0.17813520839941205
2,2,5,1,0.17894935358853226
2,3,1,1,0.05190104297124637
2,3,2,1,0.1383452203494636
2,3,3,1,0.1383452203494636
2,3,4,1,0.13489500058389323
2,3,5,1,0.13671609960888928
2,4,1,1,0.052549941534079415
2,4,2,1,0.1777308701091423
2,4,3,1,0.1027037126679472
2,4,4,1,0.18451453795712136
2,4,5,1,0.18470269336786846
2,5,1,1,0.06685150789232527
2,5,2,1,0.180277687505549
2,5,3,1,0.15261745356087378
2,5,4,1,0.1854131907110204
2,5,5,1,0.18535563491070098
2,6,1,1,0.060918349449129966
2,6,2,1,0.170473726674611
2,6,3,1,0.13231281886117258
2,6,4,1,0.17621303263349297
2,6,5,1,0.1762675617091357
2,7,1,1,0.04296274060599573
2,7,2,1,0.16190288450554788
2,7,3,1,0.15605657144608143
2,7,4,1,0.1695704377389893
2,7,5,1,0.1698703241807319
2,8,1,1,0.044815010924494435
2,8,2,1,0.1526985634750463
2,8,3,1,0.11662374935631309
2,8,4,1,0.162226797935159
2,8,5,1,0.1619326802881002
3,1,1,1,0.06037916586237414
3,1,2,1,0.1716433091598158
3,1,3,1,0.13457707849426215
3,1,4,1,0.1773989755337413
3,1,5,1,0.1773573440748463
3,2,1,1,0.07244255973565625
3,2,2,1,0.18009596279662496
3,2,3,1,0.13394130893913384
3,2,4,1,0.17813520839941205
3,2,5,1,0.17894935358853226
3,3,1,1,0.05190104297124637
3,3,2,1,0.1383452203494636
3,3,3,1,0.1383452203494636
3,3,4,1,0.13489500058389323
3,3,5,1,0.13671609960888928
3,4,1,1,0.052549941534079415
3,4,2,1,0.1777308701091423
3,4,3,1,0.1027037126679472
3,4,4,1,0.18451453795712136
3,4,5,1,0.18470269336786846
3,5,1,1,0.06685150789232527
3,5,2,1,0.180277687505549
3,5,3,1,0.15261745356087378
3,5,4,1,0.1854131907110204
3,5,5,1,0.18535563491070098
3,6,1,1,0.060918349449129966
3,6,2,1,0.170473726674611
3,6,3,1,0.13231281886117258
3,6,4,1,0.17621303263349297
3,6,5,1,0.1762675617091357
3,7,1,1,0.04296274060599573
3,7,2,1,0.16190288450554788
3,7,3,1,0.15605657144608143
3,7,4,1,0.1695704377389893
3,7,5,1,0.1698703241807319
3,8,1,1,0.044815010924494435
3,8,2,1,0.1526985634750463
3,8,3,1,0.11662374935631309
3,8,4,1,0.162226797935159
3,8,5,1,0.1619326802881002
4,1,1,1,0.06037916586237414
4,1,2,1,0.1716433091598158
4,1,3,1,0.13457707849426215
4,1,4,1,0.1773989755337413
4,1,5,1,0.1773573440748463
4,2,1,1,0.07244255973565625
4,2,2,1,0.18009596279662496
4,2,3,1,0.13394130893913384
4,2,4,1,0.17813520839941205
4,2,5,1,0.17894935358853226
4,3,1,1,0.05190104297124637
4,3,2,1,0.1383452203494636
4,3,3,1,0.1383452203494636
4,3,4,1,0.13489500058389323
4,3,5,1,0.13671609960888928
4,4,1,1,0.052549941534079415
4,4,2,1,0.1777308701091423
4,4,3,1,0.1027037126679472
4,4,4,1,0.18451453795712136
4,4,5,1,0.18470269336786846
4,5,1,1,0.06685150789232527
4,5,2,1,0.180277687505549
4,5,3,1,0.15261745356087378
4,5,4,1,0.1854131907110204
4,5,5,1,0.18535563491070098
4,6,1,1,0.060918349449129966
4,6,2,1,0.170473726674611
4,6,3,1,0.13231281886117258
4,6,4,1,0.17621303263349297
4,6,5,1,0.1762675617091357
4,7,1,1,0.04296274060599573
4,7,2,1,0.16190288450554788
4,7,3,1,0.15605657144608143
4,7,4,1,0.1695704377389893
4,7,5,1,0.1698703241807319
4,8,1,1,0.044815010924494435
4,8,2,1,0.1526985634750463
4,8,3,1,0.11662374935631309
4,8,4,1,0.162226797935159
4,8,5,1,0.1619326802881002
5,1,1,1,0.06037916586237414
5,1,2,1,0.1716433091598158
5,1,3,1,0.13457707849426215
5,1,4,1,0.1773989755337413
5,1,5,1,0.1773573440748463
5,2,1,1,0.07244255973565625
5,2,2,1,0.18009596279662496
5,2,3,1,0.13394130893913384
5,2,4,1,0.17813520839941205
5,2,5,1,0.17894935358853226
5,3,1,1,0.05190104297124637
5,3,2,1,0.1383452203494636
5,3,3,1,0.1383452203494636
5,3,4,1,0.13489500058389323
5,3,5,1,0.13671609960888928
5,4,1,1,0.052549941534079415
5,4,2,1,0.1777308701091423
5,4,3,1,0.1027037126679472
5,4,4,1,0.18451453795712136
5,4,5,1,0.18470269336786846
5,5,1,1,0.06685150789232527
5,5,2,1,0.180277687505549
5,5,3,1,0.15261745356087378
5,5,4,1,0.1854131907110204
5,5,5,1,0.18535563491070098
5,6,1,1,0.060918349449129966
5,6,2,1,0.170473726674611
5,6,3,1,0.13231281886117258
5,6,4,1,0.17621303263349297
5,6,5,1,0.1762675617091357
5,7,1,1,0.04296274060599573
5,7,2,1,0.16190288450554788
5,7,3,1,0.15605657144608143
5,7,4,1,0.1695704377389893
5,7,5,1,0.1698703241807319
5,8,1,1,0.044815010924494435
5,8,2,1,0.1526985634750463
5,8,3,1,0.11662374935631309
5,8,4,1,0.162226797935159
5,8,5,1,0.1619326802881002
6,1,1,1,0.06037916586237414
6,1,2,1,0.1716433091598158
6,1,3,1,0.13457707849426215
6,1,4,1,0.1773989755337413
6,1,5,1,0.1773573440748463
6,2,1,1,0.07244255973565625
6,2,2,1,0.18009596279662496
6,2,3,1,0.13394130893913384
6,2,4,1,0.17813520839941205
6,2,5,1,0.17894935358853226
6,3,1,1,0.05190104297124637
6,3,2,1,0.1383452203494636
6,3,3,1,0.1383452203494636
6,3,4,1,0.13489500058389323
6,3,5,1,0.13671609960888928
6,4,1,1,0.052549941534079415
6,4,2,1,0.1777308701091423
6,4,3,1,0.1027037126679472
6,4,4,1,0.18451453795712136
6,4,5,1,0.18470269336786846
6,5,1,1,0.06685150789232527
6,5,2,1,0.180277687505549
6,5,3,1,0.15261745356087378
6,5,4,1,0.1854131907110204
6,5,5,1,0.18535563491070098
6,6,1,1,0.060918349449129966
6,6,2,1,0.170473726674611
6,6,3,1,0.13231281886117258
6,6,4,1,0.17621303263349297
6,6,5,1,0.1762675617091357
6,7,1,1,0.04296274060599573
6,7,2,1,0.16190288450554788
6,7,3,1,0.15605657144608143
6,7,4,1,0.1695704377389893
6,7,5,1,0.1698703241807319
6,8,1,1,0.044815010924494435
6,8,2,1,0.1526985634750463
6,8,3,1,0.11662374935631309
6,8,4,1,0.162226797935159
6,8,5,1,0.1619326802881002
7,1,1,1,0.06037916586237414
7,1,2,1,0.1716433091598158
7,1,3,1,0.13457707849426215
7,1,4,1,0.1773989755337413
7,1,5,1,0.1773573440748463
7,2,1,1,0.07244255973565625
7,2,2,1,0.18009596279662496
7,2,3,1,0.13394130893913384
7,2,4,1,0.17813520839941205
7,2,5,1,0.17894935358853226
7,3,1,1,0.05190104297124637
7,3,2,1,0.1383452203494636
7,3,3,1,0.1383452203494636
7,3,4,1,0.13489500058389323
7,3,5,1,0.13671609960888928
7,4,1,1,0.052549941534079415
7,4,2,1,0.1777308701091423
7,4,3,1,0.1027037126679472
7,4,4,1,0.18451453795712136
7,4,5,1,0.18470269336786846
7,5,1,1,0.06685150789232527
7,5,2,1,0.180277687505549
7,5,3,1,0.15261745356087378
7,5,4,1,0.1854131907110204
7,5,5,1,0.18535563491070098
7,6,1,1,0.060918349449129966
7,6,2,1,0.170473726674611
7,6,3,1,0.13231281886117258
7,6,4,1,0.17621303263349297
7,6,5,1,0.1762675617091357
7,7,1,1,0.04296274060599573
7,7,2,1,0.16190288450554788
7,7,3,1,0.15605657144608143
7,7,4,1,0.1695704377389893
7,7,5,1,0.1698703241807319
7,8,1,1,0.044815010924494435
7,8,2,1,0.1526985634750463
7,8,3,1,0.11662374935631309
7,8,4,1,0.162226797935159
7,8,5,1,0.1619326802881002
8,1,1,1,0.06037916586237414
8,1,2,1,0.1716433091598158
8,1,3,1,0.13457707849426215
8,1,4,1,0.1773989755337413
8,1,5,1,0.1773573440748463
8,2,1,1,0.07244255973565625
8,2,2,1,0.18009596279662496
8,2,3,1,0.13394130893913384
8,2,4,1,0.17813520839941205
8,2,5,1,0.17894935358853226
8,3,1,1,0.05190104297124637
8,3,2,1,0.1383452203494636
8,3,3,1,0.1383452203494636
8,3,4,1,0.13489500058389323
8,3,5,1,0.13671609960888928
8,4,1,1,0.052549941534079415
8,4,2,1,0.1777308701091423
8,4,3,1,0.1027037126679472
8,4,4,1,0.18451453795712136
8,4,5,1,0.18470269336786846
8,5,1,1,0.06685150789232527
8,5,2,1,0.180277687505549
8,5,3,1,0.15261745356087378
8,5,4,1,0.1854131907110204
8,5,5,1,0.18535563491070098
8,6,1,1,0.060918349449129966
8,6,2,1,0.170473726674611
8,6,3,1,0.13231281886117258
8,6,4,1,0.17621303263349297
8,6,5,1,0.1762675617091357
8,7,1,1,0.04296274060599573
8,7,2,1,0.16190288450554788
8,7,3,1,0.15605657144608143
8,7,4,1,0.1695704377389893
8,7,5,1,0.1698703241807319
8,8,1,1,0.044815010924494435
8,8,2,1,0.1526985634750463
8,8,3,1,0.11662374935631309
8,8,4,1,0.162226797935159
8,8,5,1,0.1619326802881002
9,1,1,1,0.06037916586237414
9,1,2,1,0.1716433091598158
9,1,3,1,0.13457707849426215
9,1,4,1,0.1773989755337413
9,1,5,1,0.1773573440748463
9,2,1,1,0.07244255973565625
9,2,2,1,0.18009596279662496
9,2,3,1,0.13394130893913384
9,2,4,1,0.17813520839941205
9,2,5,1,0.17894935358853226
9,3,1,1,0.05190104297124637
9,3,2,1,0.1383452203494636
9,3,3,1,0.1383452203494636
9,3,4,1,0.13489500058389323
9,3,5,1,0.13671609960888928
9,4,1,1,0.052549941534079415
9,4,2,1,0.1777308701091423
9,4,3,1,0.1027037126679472
9,4,4,1,0.18451453795712136
9,4,5,1,0.18470269336786846
9,5,1,1,0.06685150789232527
9,5,2,1,0.180277687505549
9,5,3,1,0.15261745356087378
9,5,4,1,0.1854131907110204
9,5,5,1,0.18535563491070098
9,6,1,1,0.060918349449129966
9,6,2,1,0.170473726674611
9,6,3,1,0.13231281886117258
9,6,4,1,0.17621303263349297
9,6,5,1,0.1762675617091357
9,7,1,1,0.04296274060599573
9,7,2,1,0.16190288450554788
9,7,3,1,0.15605657144608143
9,7,4,1,0.1695704377389893
9,7,5,1,0.1698703241807319
9,8,1,1,0.044815010924494435
9,8,2,1,0.1526985634750463
9,8,3,1,0.11662374935631309
9,8,4,1,0.162226797935159
9,8,5,1,0.1619326802881002
