missing_value,normalization,outlier,model,utility_sp
1,1,1,1,0.06037916586237414
1,1,2,1,0.07244255973565625
1,1,3,1,0.05190104297124637
1,1,4,1,0.052549941534079415
1,1,5,1,0.06685150789232527
1,1,6,1,0.060918349449129966
1,1,7,1,0.04296274060599573
1,1,8,1,0.044815010924494435
1,2,1,1,0.1716433091598158
1,2,2,1,0.18033680338169877
1,2,3,1,0.14410279437375903
1,2,4,1,0.16937874692168578
1,2,5,1,0.17621467562691012
1,2,6,1,0.17787348262532574
1,2,7,1,0.17612881527587698
1,2,8,1,0.17362435783383529
1,3,1,1,0.13457707849426215
1,3,2,1,0.14916726866053118
1,3,3,1,0.14408963823227458
1,3,4,1,0.1360589624545296
1,3,5,1,0.10023926608541261
1,3,6,1,0.12788893988345007
1,3,7,1,0.10601421434387438
1,3,8,1,0.12824905628466954
1,4,1,1,0.1773989755337413
1,4,2,1,0.18645729610932812
1,4,3,1,0.13693409826232802
1,4,4,1,0.17972942824803112
1,4,5,1,0.1848031736229572
1,4,6,1,0.18496851247680784
1,4,7,1,0.18482226055996953
1,4,8,1,0.18378544883903014
1,5,1,1,0.1773573440748463
1,5,2,1,0.18680186850976319
1,5,3,1,0.13326644023790296
1,5,4,1,0.18192778372012222
1,5,5,1,0.18231241895555383
1,5,6,1,0.18345894235132265
1,5,7,1,0.18467269543458426
1,5,8,1,0.18534972042445105
2,1,1,1,0.06037916586237414
2,1,2,1,0.07244255973565625
2,1,3,1,0.05190104297124637
2,1,4,1,0.052549941534079415
2,1,5,1,0.06685150789232527
2,1,6,1,0.060918349449129966
2,1,7,1,0.04296274060599573
2,1,8,1,0.044815010924494435
2,2,1,1,0.1716433091598158
2,2,2,1,0.18033680338169877
2,2,3,1,0.14410279437375903
2,2,4,1,0.16937874692168578
2,2,5,1,0.17621467562691012
2,2,6,1,0.17787348262532574
2,2,7,1,0.17612881527587698
2,2,8,1,0.17362435783383529
2,3,1,1,0.13457707849426215
2,3,2,1,0.14916726866053118
2,3,3,1,0.14408963823227458
2,3,4,1,0.1360589624545296
2,3,5,1,0.10023926608541261
2,3,6,1,0.12788893988345007
2,3,7,1,0.10601421434387438
2,3,8,1,0.12824905628466954
2,4,1,1,0.1773989755337413
2,4,2,1,0.18645729610932812
2,4,3,1,0.13693409826232802
2,4,4,1,0.17972942824803112
2,4,5,1,0.1848031736229572
2,4,6,1,0.18496851247680784
2,4,7,1,0.18482226055996953
2,4,8,1,0.18378544883903014
2,5,1,1,0.1773573440748463
2,5,2,1,0.18680186850976319
2,5,3,1,0.13326644023790296
2,5,4,1,0.18192778372012222
2,5,5,1,0.18231241895555383
2,5,6,1,0.18345894235132265
2,5,7,1,0.18467269543458426
2,5,8,1,0.18534972042445105
3,1,1,1,0.06037916586237414
3,1,2,1,0.07244255973565625
3,1,3,1,0.05190104297124637
3,1,4,1,0.052549941534079415
3,1,5,1,0.06685150789232527
3,1,6,1,0.060918349449129966
3,1,7,1,0.04296274060599573
3,1,8,1,0.044815010924494435
3,2,1,1,0.1716433091598158
3,2,2,1,0.18033680338169877
3,2,3,1,0.14410279437375903
3,2,4,1,0.16937874692168578
3,2,5,1,0.17621467562691012
3,2,6,1,0.17787348262532574
3,2,7,1,0.17612881527587698
3,2,8,1,0.17362435783383529
3,3,1,1,0.13457707849426215
3,3,2,1,0.14916726866053118
