sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,4,6,2,1,3,1,4,2,1,2,2,2,1,0.23813229571984434,0.2396887159533074,11.238095238095237,240.8,0.29,520.76,0.38,19317.83,0.36,144.6,0.35,1066.57,0.0,144.6,0.43,743.34,0.41,526.46,0.2,0.08171206225680938
2,3,8,3,1,3,1,3,3,1,2,2,2,1,0.2191958495460441,0.2191958495460441,9.76923076923077,2830.82,0.35,3041.81,1.0,1748.85,0.38,1588.48,0.43,5461.0,1.0,1588.49,0.5,1748.86,0.42,278.73,0.23,0.10535714285714282
1,4,5,2,1,1,1,3,8,1,2,2,1,1,0.36770428015564205,0.35642023346303503,11.75886524822695,9763.42,0.36,10445.73,1.0,119.11,0.3,6835.57,0.26,21142.44,1.0,6835.59,0.3,4951.19,0.58,930.94,0.25,0.0806003335186215
2,1,7,3,1,1,2,3,8,2,2,2,1,1,0.22827496757457846,0.22827496757457846,9.8,43.44,0.4,3002.25,1.0,39.11,0.08,1722.46,0.46,42.72,0.18,338.34,0.18,0.09259259259259256,,,,
1,2,5,1,2,1,2,4,8,2,1,2,1,1,0.3595330739299611,0.3583657587548638,11.669014084507042,456.38,0.36,644.49,1.0,12334.76,0.28,4384.74,1.0,1007.88,0.33,2166.37,0.57,1793.6,0.21,0.08004446914952756,,
1,4,4,1,1,3,1,3,2,2,1,1,1,1,0.28871595330739297,0.2918287937743191,11.942446043165468,9532.53,0.27,10031.86,0.39,6653.17,0.36,6787.57,0.39,21472.52,1.0,6787.59,0.44,4358.43,0.4,933.52,0.2,0.07726514730405776
2,3,9,2,1,3,2,4,1,1,2,2,1,1,0.2191958495460441,0.2191958495460441,9.012987012987013,11.88,0.4,236.94,1.0,16.18,0.15,55.05,0.37,3693.47,0.21,195.79,0.27,0.10376134889753563,,,,
2,4,4,4,1,1,2,4,2,2,1,2,1,1,0.3424124513618677,0.3476005188067445,12.5,79.35,0.27,167.25,0.38,6731.2,0.4,1425.66,1.0,229.68,0.43,749.69,0.54,607.96,0.18,0.07407407407407407,,
2,4,8,3,1,3,1,4,5,1,2,2,1,1,0.23086900129701687,0.22697795071335927,10.020408163265307,129.99,0.39,185.18,1.0,2779.88,0.24,51.12,0.31,266.01,0.02,51.12,0.3,160.16,0.43,166.16,0.25,0.10925925925925928
1,1,2,2,2,2,1,5,5,1,2,2,2,1,0.22490272373540857,0.22490272373540857,9.644970414201184,39.18,0.36,640.63,1.0,9064.22,0.26,136.3,0.36,33.23,0.1,136.3,0.36,9064.25,0.19,585.9,0.27,0.09727626459143968
