sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,4,6,2,1,5,1,2,1,1,2,1,0.30894941634241246,0.3066147859922179,8.846743295019158,483.21,0.36,744.38,1.0,13299.51,0.29,844.53,0.37,18772.22,0.03,844.51,0.37,2559.85,0.62,1963.5,0.27,0.10272373540856028
2,3,7,3,2,3,2,2,1,2,1,1,0.251621271076524,0.251621271076524,9.384615384615385,2681.23,0.34,2826.02,1.0,1786.67,0.34,1972.65,0.39,19.02,0.05,1972.66,0.44,1786.68,0.39,255.9,0.22,0.09629629629629632
1,4,8,3,1,5,5,1,1,1,1,1,0.2867704280155642,0.2914396887159533,9.708333333333334,383.69,0.37,568.72,1.0,10077.56,0.26,665.68,0.36,14330.88,0.03,665.66,0.35,2022.51,0.6,1540.01,0.26,0.09505280711506392
2,4,1,4,2,2,6,1,2,2,1,1,0.38632478632478634,0.40512820512820513,10.685714285714285,332.16,0.38,332.86,1.0,385.51,0.35,369.18,0.31,5186.87,1.0,369.18,0.44,385.51,0.39,423.0,0.22,0.08557457212713937
1,4,5,4,2,4,7,1,1,1,1,1,0.3459143968871595,0.3486381322957198,10.913907284768213,423.25,0.35,622.95,1.0,10230.95,0.29,926.24,0.31,4010.07,0.0,926.22,0.34,1890.82,0.57,1660.14,0.25,0.08393551973318514
1,3,2,3,2,5,6,1,2,1,1,1,0.24747081712062258,0.24785992217898833,10.173913043478262,26.56,0.35,575.5,1.0,11356.73,0.29,666.64,0.36,16.04,0.14,666.63,0.5,11356.73,0.18,1615.48,0.26,0.09171762090050029
2,2,1,2,2,1,4,1,2,1,1,1,0.38803418803418804,0.38803418803418804,8.511627906976743,91.39,0.38,151.73,1.0,1484.36,0.37,1893.98,0.39,48.92,0.0,1893.98,0.52,1484.36,0.42,618.62,0.28,0.12713936430317851
1,3,7,4,1,1,7,2,2,1,1,1,0.22684824902723735,0.22684824902723735,11.493055555555555,101.18,0.36,598.66,1.0,83.78,0.31,7525.14,0.36,125.0,0.13,7525.15,0.37,83.78,0.19,4139.47,0.23,0.08004446914952756
2,4,4,4,2,2,8,1,1,2,2,1,0.33722438391699094,0.3346303501945525,10.73913043478261,384.82,0.32,481.86,1.0,306.36,0.33,439.79,0.31,6738.34,1.0,439.79,0.43,527.04,0.5,465.5,0.21,0.08703703703703702
1,4,2,4,1,4,7,2,2,1,2,1,0.32801556420233463,0.32334630350194554,10.913907284768213,453.53,0.38,617.26,1.0,9684.29,0.32,944.03,0.32,4013.2,0.13,944.01,0.35,2446.43,0.48,1685.61,0.27,0.0833796553640912
1,4,6,2,2,3,1,1,1,1,1,1,0.30894941634241246,0.3042801556420233,8.846743295019158,12765.33,0.36,13234.35,1.0,133.89,0.3,7663.46,0.37,18772.22,0.03,7663.49,0.37,5944.86,0.62,1089.89,0.27,0.10272373540856028
2,3,5,4,2,1,7,2,2,2,2,1,0.25810635538262,0.25810635538262,12.170731707317072,39.98,0.4,180.65,1.0,41.18,0.32,3444.54,0.3,45.45,0.08,3444.54,0.24,41.18,0.17,1296.31,0.22,0.1166666666666667
1,3,8,2,2,1,3,1,2,1,1,1,0.22684824902723735,0.22684824902723735,10.08187134502924,378.02,0.34,623.3,1.0,6108.22,0.41,8539.23,0.37,187.86,1.0,8539.23,0.35,6108.22,0.59,4723.06,0.25,0.08970976253298157
1,4,8,1,1,5,1,2,1,2,1,1,0.2961089494163424,0.29299610894941636,8.846743295019158,487.39,0.38,744.38,1.0,13299.51,0.29,844.53,0.37,18832.2,0.05,844.51,0.37,2559.85,0.62,1963.5,0.27,0.10272373540856028
1,3,2,3,2,4,8,2,1,1,1,1,0.24747081712062258,0.24785992217898833,8.884615384615385,10944.94,0.41,543.58,1.0,8500.17,0.3,575.88,0.34,11507.11,0.1,575.87,0.32,8500.17,0.21,1457.09,0.27,0.10283490828237907
2,2,2,2,1,1,1,2,2,2,1,1,0.324254215304799,0.324254215304799,9.012987012987013,172.64,0.4,236.94,1.0,47.15,0.33,3514.99,0.38,90.97,0.15,3514.99,0.53,2818.96,0.48,1381.69,0.27,0.10505836575875482
2,1,9,3,2,1,4,2,1,1,1,1,0.23735408560311283,0.23735408560311283,9.0,35.39,0.41,174.8,1.0,33.21,0.33,2517.17,0.37,30.3,0.14,2517.17,0.53,33.21,0.2,901.25,0.28,0.09999999999999998
1,1,3,3,2,4,3,2,1,1,1,1,0.22957198443579765,0.22879377431906614,10.358695652173912,21607.58,0.33,677.76,1.0,21619.39,0.43,835.3,0.39,21634.57,1.0,835.28,0.35,21619.39,0.59,1832.81,0.24,0.08708133971291865
1,4,4,4,1,4,4,1,2,2,1,1,0.32607003891050584,0.32801556420233463,8.724324324324325,290.19,0.33,521.96,1.0,9408.04,0.29,589.87,0.37,2885.72,0.01,589.85,0.37,1648.27,0.57,1372.94,0.27,0.103390772651473
2,2,7,4,1,4,3,1,1,1,2,1,0.3035019455252918,0.3035019455252918,10.525423728813559,156.01,0.38,228.67,1.0,7140.15,0.4,262.82,0.37,1463.32,1.0,262.81,0.34,788.93,0.43,624.79,0.23,0.08235294117647063
1,2,7,1,2,2,7,2,2,1,1,1,0.2898832684824903,0.2696498054474708,10.104938271604938,1407.62,0.37,1373.11,1.0,1033.58,0.3,1710.31,0.3,1030.51,0.03,1710.31,0.34,1497.87,0.58,1360.38,0.28,0.09449694274596998
2,1,7,2,2,4,4,1,2,1,2,1,0.251621271076524,0.251621271076524,9.0,3396.85,0.38,157.09,1.0,2739.65,0.31,166.66,0.36,3628.82,0.09,166.65,0.35,2739.65,0.19,421.36,0.26,0.11111111111111116
1,3,6,1,2,3,7,1,1,1,1,1,0.24007782101167316,0.24007782101167316,11.406896551724138,123.08,0.37,10194.83,1.0,107.81,0.29,6278.04,0.28,140.57,0.1,6278.06,0.32,107.81,0.17,898.15,0.27,0.08560311284046696
1,3,2,3,1,1,5,2,1,1,2,1,0.24747081712062258,0.24747081712062258,9.221590909090908,126.01,0.39,522.79,1.0,84.93,0.29,8005.51,0.37,123.54,0.17,8005.51,0.52,84.93,0.21,3756.72,0.25,0.09783212896053362
2,3,5,2,2,3,3,1,1,2,1,1,0.2619974059662776,0.2594033722438392,10.0,3081.89,0.35,3292.23,1.0,1879.13,0.37,1836.96,0.36,6040.0,1.0,1836.97,0.34,1879.14,0.43,288.87,0.23,0.08760330578512399
1,2,8,1,1,2,4,2,1,1,2,1,0.2961089494163424,0.27626459143968873,8.369791666666666,1323.92,0.38,1301.35,1.0,1422.07,0.32,1313.18,0.36,1147.36,0.05,1313.18,0.37,1280.17,0.61,1340.98,0.27,0.11061700944969433
1,3,5,2,2,2,8,1,2,2,2,1,0.2649805447470817,0.2595330739299611,9.77245508982036,1304.88,0.39,1370.55,1.0,1198.56,0.3,1296.03,0.33,1332.36,0.1,1296.03,0.29,1198.56,0.19,1533.97,0.24,0.09282934963868816
1,2,1,2,2,1,8,2,1,1,2,1,0.41209068010075567,0.41209068010075567,11.981308411214954,335.18,0.34,494.55,1.0,4856.79,0.41,6339.93,0.32,123.84,0.01,6339.93,0.3,4856.79,0.45,3224.45,0.24,0.0770338372930166
1,1,6,3,1,2,2,2,2,2,2,1,0.2396887159533074,0.23229571984435798,11.669014084507042,11810.69,0.32,1299.79,0.39,32761.15,0.39,1670.22,0.36,8091.59,0.05,1670.22,0.26,32761.15,0.56,1605.01,0.21,0.07893274041133969
2,2,1,3,2,5,2,1,1,1,2,1,0.38632478632478634,0.39487179487179486,11.393939393939394,74.76,0.31,148.25,1.0,675.38,0.37,125.94,0.32,4648.73,1.0,125.94,0.35,675.38,0.52,436.74,0.21,0.10024449877750607
2,2,3,4,1,5,8,1,1,2,2,1,0.32944228274967574,0.3333333333333333,11.857142857142858,105.36,0.31,249.63,1.0,6386.6,0.32,206.74,0.33,6391.0,1.0,206.73,0.44,949.41,0.39,566.8,0.22,0.07777777777777772
1,3,5,4,1,5,8,1,1,2,1,1,0.26926070038910505,0.267704280155642,9.58235294117647,28.66,0.39,563.25,1.0,9637.27,0.28,578.97,0.31,0.32,0.1,578.96,0.29,9637.27,0.19,1577.49,0.25,0.09449694274596998
1,2,9,4,1,5,1,2,2,2,1,1,0.2836575875486381,0.2848249027237354,8.846743295019158,489.85,0.38,744.38,1.0,13299.51,0.3,844.53,0.38,18855.36,0.06,844.51,0.37,2559.85,0.62,1963.5,0.27,0.10272373540856028
2,1,5,2,1,1,7,1,2,1,1,1,0.2619974059662776,0.2619974059662776,12.170731707317072,39.98,0.4,178.8,0.4,41.18,0.33,3444.54,0.26,45.45,0.08,3444.54,0.24,41.18,0.17,1298.51,0.22,0.07407407407407407
2,1,7,3,1,2,1,2,2,1,1,1,0.251621271076524,0.2529182879377432,9.012987012987013,572.42,0.4,572.42,1.0,572.42,0.37,572.42,0.38,572.42,0.11,572.42,0.53,572.42,0.21,572.42,0.27,0.10116731517509725
1,1,8,4,1,4,2,1,2,2,2,1,0.23424124513618677,0.23151750972762647,11.58041958041958,20791.24,0.33,565.13,1.0,20802.71,0.36,799.01,0.37,20906.27,0.08,798.99,0.26,20802.71,0.56,1809.24,0.22,0.08004446914952756
1,1,3,2,2,4,3,2,1,2,1,1,0.22568093385214008,0.22879377431906614,10.358695652173912,21607.58,0.33,677.76,1.0,21619.39,0.42,835.3,0.38,21634.57,1.0,835.28,0.35,21619.39,0.59,1832.81,0.24,0.08708133971291865
1,4,1,1,1,2,2,1,2,2,1,1,0.41209068010075567,0.4146095717884131,13.173469387755102,946.97,0.29,1078.43,1.0,1438.66,0.38,1262.05,0.31,23758.39,1.0,1262.05,0.4,1438.66,0.71,1415.44,0.19,0.07055435565154788
1,3,9,3,2,3,4,1,2,2,1,1,0.2299610894941634,0.22801556420233463,9.106741573033707,99.47,0.38,9373.65,1.0,94.46,0.31,5515.58,0.38,110.5,0.14,5515.6,0.37,94.46,0.21,764.42,0.27,0.0989438576987215
2,1,7,4,1,3,1,2,2,1,1,1,0.251621271076524,0.251621271076524,9.012987012987013,45.33,0.4,4024.74,1.0,46.04,0.31,2238.54,0.38,48.27,0.11,2238.55,0.53,46.04,0.21,359.78,0.27,0.10116731517509725
2,2,2,2,2,4,3,2,2,1,2,1,0.324254215304799,0.324254215304799,10.288461538461538,134.07,0.39,204.99,1.0,6023.47,0.38,212.25,0.37,1228.5,1.0,212.24,0.51,676.3,0.43,528.42,0.23,0.14310051107325383
2,2,1,3,2,1,6,2,1,2,1,1,0.38632478632478634,0.38632478632478634,12.193548387096774,119.34,0.37,162.69,1.0,1659.38,0.35,2539.67,0.31,35.45,0.0,2539.67,0.22,1659.38,0.58,818.34,0.24,0.0806845965770171
2,2,1,4,1,3,2,2,2,2,1,1,0.38632478632478634,0.39658119658119656,11.393939393939394,2142.35,0.31,2309.93,1.0,372.79,0.39,1572.17,0.34,4648.73,1.0,1572.18,0.35,372.77,0.52,233.14,0.21,0.07823960880195602
1,3,8,4,1,4,1,1,2,1,2,1,0.23424124513618677,0.23151750972762647,8.846743295019158,16612.78,0.38,744.38,1.0,13297.44,0.3,844.54,0.37,17345.55,0.14,844.51,0.37,13297.44,0.22,1963.5,0.27,0.10233463035019452
1,1,4,3,2,4,8,2,2,2,1,1,0.22957198443579765,0.22879377431906614,9.58235294117647,11730.4,0.4,612.87,1.0,9447.5,0.27,611.83,0.32,12597.45,0.06,611.81,0.31,9447.5,0.2,1614.95,0.26,0.09449694274596998
1,1,4,4,1,1,6,2,2,1,1,1,0.22957198443579765,0.22957198443579765,9.28,118.04,0.38,523.66,1.0,99.28,0.33,7755.78,0.42,103.55,0.06,7755.78,0.55,99.28,0.23,4023.57,0.22,0.09727626459143968
2,1,3,1,2,4,7,2,2,1,2,1,0.2490272373540856,0.2490272373540856,9.588235294117647,3693.06,0.37,185.07,1.0,2281.21,0.29,214.52,0.26,3910.84,0.04,214.51,0.25,2281.21,0.21,494.13,0.2,0.09999999999999998
1,2,6,2,1,1,7,1,1,2,1,1,0.30894941634241246,0.30894941634241246,9.459302325581396,331.86,0.35,541.93,1.0,108.2,0.33,6538.2,0.37,214.63,0.02,6538.21,0.4,5275.64,0.65,3659.68,0.26,0.0961645358532518
2,4,6,1,1,2,5,1,1,1,2,1,0.32814526588845655,0.32684824902723736,10.48936170212766,441.41,0.03,431.41,1.0,394.48,0.34,441.03,0.32,5001.92,0.0,441.03,0.31,474.0,0.56,477.49,0.28,0.0888888888888889
1,3,1,1,1,5,1,1,2,2,2,1,0.22654561175961954,0.22697795071335927,8.6375,47.57,0.38,663.78,1.0,11897.91,0.29,721.04,0.38,49.81,0.07,721.02,0.37,11897.91,0.22,1721.13,0.27,0.10376134889753563
2,2,8,2,2,3,6,2,2,2,2,1,0.3009079118028534,0.3035019455252918,9.8,2840.47,0.4,3015.51,1.0,41.56,0.26,1841.09,0.3,5272.65,0.01,1841.09,0.28,1362.74,0.57,358.88,0.27,0.09444444444444444
1,2,2,4,1,2,2,2,2,2,1,1,0.32801556420233463,0.3389105058365759,12.333333333333334,1214.58,0.32,1288.13,0.38,34586.36,0.39,1612.71,0.33,28011.41,0.1,1612.71,0.23,1683.41,0.55,1554.09,0.22,0.0755555555555556
1,1,1,2,2,3,8,1,1,2,1,1,0.22654561175961954,0.227410289667099,12.16260162601626,114.44,0.41,9525.45,1.0,95.14,0.27,5916.07,0.27,102.31,0.06,5916.09,0.28,95.14,0.17,936.17,0.26,0.08523780111179735
1,2,9,3,1,5,7,2,2,1,2,1,0.2836575875486381,0.2848249027237354,11.155405405405405,438.49,0.37,635.79,1.0,10174.01,0.32,993.21,0.32,18511.73,0.04,993.2,0.36,2413.13,0.58,1709.98,0.26,0.08949416342412453
