sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,4,6,2,1,5,1,2,1,1,2,1,0.28871595330739297,0.2914396887159533,8.846743295019158,457.71,0.34,744.38,1.0,8514.65,0.25,2677.94,0.36,18499.89,0.02,865.33,0.32,457.8,0.39,18498.43,0.1,0.10155642023346301
2,3,7,3,2,3,2,2,1,2,1,1,0.1569390402075227,0.1556420233463035,10.020408163265307,2681.63,0.25,2921.54,1.0,813.76,0.22,672.34,0.3,5401.0,1.0,1753.24,0.31,2681.59,0.4,699.65,0.26,0.0981481481481481
1,4,8,3,1,5,5,1,1,1,1,1,0.27431906614785995,0.2766536964980545,9.77245508982036,306.55,0.32,555.36,1.0,6471.34,0.25,1981.16,0.37,14941.24,0.02,665.4,0.35,306.62,0.51,14940.02,0.12,0.09171762090050029
2,4,1,4,2,2,6,1,2,2,1,1,0.3836065573770492,0.3836065573770492,11.93939393939394,338.03,0.35,284.04,0.36,394.32,0.25,344.25,0.33,6343.33,1.0,442.03,0.22,338.03,0.34,6343.31,0.3,0.12177985948477754
1,4,5,4,2,4,7,1,1,1,1,1,0.3638132295719844,0.36459143968871593,9.459302325581396,317.64,0.33,494.21,1.0,3568.24,0.22,1961.81,0.33,3196.41,0.01,672.08,0.32,317.72,0.51,3196.48,0.17,0.09560867148415786
1,3,2,3,2,5,6,1,2,1,1,1,0.233852140077821,0.233852140077821,9.903030303030302,305.29,0.32,546.65,1.0,10383.57,0.26,10122.61,0.35,15737.01,0.09,10830.45,0.21,305.36,0.47,15735.68,0.16,0.09171762090050029
2,2,1,2,2,1,4,1,2,1,1,1,0.3704918032786885,0.3704918032786885,9.948717948717949,89.7,0.35,122.58,1.0,177.72,0.27,468.64,0.33,46.82,0.01,2159.31,0.34,89.7,0.32,46.82,0.15,0.09133489461358313
1,3,7,4,1,1,7,2,2,1,1,1,0.18326848249027236,0.18326848249027236,9.459302325581396,366.84,0.35,554.27,1.0,109.5,0.28,101.13,0.36,194.57,0.01,80.51,0.2,366.84,0.44,194.57,0.17,0.09560867148415786
2,4,4,4,2,2,8,1,1,2,2,1,0.3852140077821012,0.38910505836575876,10.48936170212766,438.83,0.37,399.0,1.0,422.26,0.25,243.54,1.0,6901.46,1.0,494.79,0.24,438.83,0.39,6901.33,0.29,0.08703703703703702
1,4,2,4,1,4,7,2,2,1,2,1,0.35136186770428013,0.3529182879377432,10.24375,336.69,0.33,454.32,0.37,3861.86,0.22,2066.06,0.36,3722.72,0.02,782.41,0.35,336.77,0.45,3722.79,0.16,0.08893829905503059
1,4,6,2,2,3,1,1,1,1,1,1,0.28871595330739297,0.2906614785992218,8.846743295019158,12472.04,0.34,13234.35,1.0,110.95,0.25,2677.94,0.36,18499.89,0.02,7910.97,0.32,12471.87,0.37,51.03,0.1,0.10155642023346301
2,3,5,4,2,1,7,2,2,2,2,1,0.16990920881971466,0.16990920881971466,9.423076923076923,103.19,0.34,124.72,0.37,36.71,0.3,27.19,0.36,58.4,0.0,40.0,0.22,103.19,0.41,58.4,0.19,0.09594095940959413
1,3,8,2,2,1,3,1,2,1,1,1,0.188715953307393,0.188715953307393,9.7720207253886,422.79,0.34,658.17,1.0,841.58,0.26,2242.78,0.33,212.65,1.0,9666.4,0.36,422.79,0.34,212.65,0.28,0.0947570947570947
1,4,8,1,1,5,1,2,1,2,1,1,0.2747081712062257,0.2747081712062257,8.846743295019158,457.71,0.34,744.38,1.0,8502.08,0.27,2679.81,0.37,18553.43,0.04,871.13,0.33,457.8,0.39,18551.96,0.09,0.10155642023346301
1,3,2,3,2,4,8,2,1,1,1,1,0.233852140077821,0.233852140077821,10.314465408805031,242.43,0.28,422.53,0.36,12562.0,0.24,11873.69,0.35,3739.12,0.11,13207.01,0.16,242.51,0.47,3739.19,0.25,0.08838243468593665
2,2,2,2,1,1,1,2,2,2,1,1,0.3463035019455253,0.3463035019455253,9.012987012987013,159.01,0.36,236.94,1.0,344.5,0.3,744.84,0.38,94.02,0.1,3664.18,0.56,159.02,0.3,94.02,0.17,0.10505836575875482
2,1,9,3,2,1,4,2,1,1,1,1,0.17120622568093385,0.17120622568093385,8.642857142857142,104.77,0.35,158.84,1.0,32.21,0.3,18.52,0.37,67.22,0.03,26.53,0.26,104.77,0.39,67.22,0.1,0.10370370370370374
1,1,3,3,2,4,3,2,1,1,1,1,0.19221789883268484,0.19105058365758754,9.77948717948718,430.72,0.34,655.89,1.0,20487.07,0.26,20545.21,0.33,4139.89,1.0,20528.08,0.54,430.82,0.47,4139.97,0.34,0.09324452901998093
1,4,4,4,1,4,4,1,2,2,1,1,0.3782101167315175,0.3782101167315175,8.468421052631578,294.84,0.33,499.27,1.0,2959.83,0.24,1928.94,0.32,2726.41,0.02,520.63,0.34,294.92,0.52,2726.51,0.26,0.10505836575875482
2,2,7,4,1,4,3,1,1,1,2,1,0.2905317769130999,0.2892347600518807,9.657142857142857,165.01,0.36,247.95,1.0,1281.95,0.3,746.64,0.37,1445.43,1.0,265.71,0.32,165.05,0.42,1445.46,0.36,0.0951742627345844
1,2,7,1,2,2,7,2,2,1,1,1,0.2766536964980545,0.27782101167315176,9.339080459770114,1344.12,0.34,1232.87,1.0,1613.91,0.23,1396.89,0.33,1012.6,0.02,1485.09,0.33,1344.12,0.34,1012.6,0.13,0.10728182323513058
2,1,7,2,2,4,4,1,2,1,2,1,0.15953307392996108,0.15953307392996108,8.818181818181818,106.81,0.35,163.17,1.0,2739.16,0.31,3258.65,0.37,895.92,0.02,3032.95,0.26,106.84,0.27,895.94,0.1,0.662962962962963
1,3,6,1,2,3,7,1,1,1,1,1,0.18482490272373542,0.18443579766536966,8.884615384615385,8686.66,0.33,9302.62,1.0,112.43,0.27,106.74,0.39,12716.73,0.02,101.41,0.18,8686.53,0.37,34.59,0.18,0.10116731517509725
1,3,2,3,1,1,5,2,1,1,2,1,0.233852140077821,0.233852140077821,9.58235294117647,308.47,0.32,512.73,1.0,71.0,0.26,80.18,0.35,204.81,0.07,85.97,0.23,308.47,0.5,204.81,0.15,0.09672040022234574
2,3,5,2,2,3,3,1,1,2,1,1,0.16731517509727625,0.16472114137483787,9.507936507936508,3343.44,0.36,3486.8,1.0,479.28,0.28,693.76,0.34,6284.75,1.0,1961.44,0.36,3343.4,0.3,812.29,0.24,0.11027190332326287
1,2,8,1,1,2,4,2,1,1,2,1,0.2747081712062257,0.27431906614785995,9.708333333333334,1370.1,0.34,1333.88,1.0,1339.66,0.26,1426.2,0.35,1290.08,0.04,1388.91,0.33,1370.1,0.33,1290.09,0.1,0.09449694274596998
1,3,5,2,2,2,8,1,2,2,2,1,0.19299610894941635,0.19377431906614787,8.321243523316062,1315.14,0.34,1134.08,0.38,1313.71,0.28,1616.22,0.34,1386.13,0.02,1419.77,0.18,1315.14,0.43,1386.13,0.14,0.10728182323513058
