sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,4,1,4,2,1,2,2,2,1,0.153016653016653,0.1528119028119028,0.10188,2.41621,0.0210951260725403,1.8657701711491443,4235.29,0.37,120.34,0.28,2.46,0.24,427.37,0.24,9863.67,0.24,620.95,0.18,404.96,0.4,625.43,0.3,22.83,0.09,110.43,0.29,5346.13,0.06,18625.51,0.18,4270.48,0.29,47.71,0.05,0.1981737152106722
4,3,8,3,1,4,1,3,3,1,2,2,2,1,0.1356974479860613,0.1418468791636773,0.05282,0.89614,0.0131700400270726,2.389920424403183,376.74,0.38,0.0,1.0,415.35,0.35,49.92,0.39,164.97,0.14,90.79,0.29,50.93,0.54,78.3,0.64,0.0,1.0,8.29,1.0,1069.07,1.0,679.5,0.28,679.49,0.32,0.0,1.0,0.0164359266610332
2,4,5,2,1,1,1,3,8,1,2,2,1,1,0.1465634956759217,0.1461083295402822,0.08621,2.00498,0.0191462143625604,1.942200557103064,428.77,0.47,55.69,0.31,339.12,0.32,126.87,0.28,486.86,0.28,170.06,0.21,110.03,0.41,169.87,0.35,13.78,0.13,30.69,0.33,196.52,0.06,211.68,0.18,179.51,0.27,43.81,0.09,0.1375632834903573
2,2,5,1,2,1,2,4,8,2,1,2,1,1,0.1470186618115612,0.1483841602184797,0.0865,1.89765,0.0195538833095657,1.9758522727272727,53.25,0.31,136.63,0.28,164.04,0.21,107.02,0.41,166.95,0.35,12.72,0.14,31.37,0.35,53.73,0.09,139.46,0.48,817.14,0.31,1484.01,0.28,1920.74,0.07,1828.74,0.22,70.62,0.27,0.0935696744613672
2,4,4,1,1,4,1,3,2,2,1,1,1,1,0.1408681408681408,0.1394348894348894,0.07997,2.32511,0.0168225109893083,1.8749080206033848,534.62,0.47,48.26,0.27,655.89,0.24,120.12,0.23,402.76,0.23,119.35,0.16,98.42,0.39,167.1,0.31,19.73,0.09,22.81,0.3,180.23,0.06,70.65,0.17,12.42,0.3,39.04,0.05,0.1488816547771097
4,4,4,4,1,1,2,4,2,2,1,2,1,1,0.1401033019738055,0.1399188341634384,0.10498,1.06845,0.0262193837132075,2.0777146912704048,87.74,0.26,279.72,0.24,357.64,0.2,248.35,0.52,500.04,0.71,33.18,0.11,108.34,1.0,42.4,0.05,225.49,0.46,1553.0,0.28,3552.53,0.24,4004.96,0.04,3241.11,0.24,245.81,0.27,0.1758977015263534
4,4,8,3,1,3,1,4,5,1,2,2,1,1,0.1666495849133955,0.1678794711489187,0.10998,1.01388,0.0274974005813668,2.000713266761769,8061.79,0.48,85.89,0.31,9752.14,0.23,332.98,0.28,9349.49,0.28,461.1,0.25,276.78,0.51,465.78,0.72,27.19,0.16,114.01,1.0,1866.95,0.12,11535.09,0.24,7804.67,0.26,38.1,0.09,0.1789263514854327
1,1,2,2,2,3,1,5,5,1,2,2,2,1,0.1431886431886432,0.1431886431886432,0.09957,2.02918,0.0220203979542424,1.938301475925478,16017.25,0.27,138.96,0.3,1708.51,0.22,491.11,0.29,9977.38,0.29,646.08,0.2,469.77,0.41,640.2,0.33,36.29,0.15,118.15,0.33,8209.42,0.12,15746.33,0.2,15746.3,0.19,62.41,0.1,0.172283597308637
2,4,8,1,1,4,1,5,3,2,1,1,2,1,0.1340464269458352,0.1329085116067364,0.04208,1.96694,0.0094086360680559,1.9068825910931173,0.41,0.36,0.0,1.0,36.82,0.26,27.0,0.4,964.9,0.14,75.01,0.23,19.61,0.56,65.93,0.31,0.0,1.0,2.33,0.34,752.54,1.0,2519.43,0.25,435.39,0.24,0.0,1.0,0.0385356621987637
1,3,5,4,2,3,1,3,4,2,1,1,1,1,0.1428473928473928,0.1447583947583947,0.10058,1.95902,0.0225065365461026,1.919401417694933,584.77,0.26,136.86,0.31,2793.08,0.21,479.46,0.29,1690.42,0.29,610.03,0.2,413.57,0.42,606.06,0.34,33.44,0.14,111.32,0.34,1488.95,0.12,620.81,0.22,620.81,0.2,77.62,0.1,0.1749312053510692
1,1,1,4,2,3,1,4,2,2,2,2,1,1,0.1428473928473928,0.1416188916188916,0.11119,2.26672,0.0236208136092477,1.8869458128078815,20473.24,0.17,133.89,0.28,12700.8,0.27,486.98,0.26,12344.87,0.26,626.29,0.19,417.88,0.41,633.53,0.31,25.52,0.1,135.47,0.31,9147.76,0.1,21589.14,0.3,21589.14,0.29,51.87,0.05,0.1964988833222919
2,3,5,2,1,2,1,2,6,2,2,1,2,1,0.1333636777423759,0.1358670914883932,0.08668,1.94792,0.0194343419557703,1.9396491228070176,382.83,0.27,60.88,0.31,461.88,0.29,147.74,0.28,390.16,0.28,169.29,0.21,113.53,0.41,172.83,0.35,11.71,0.14,31.05,0.34,422.41,0.12,440.22,0.32,440.22,0.28,51.25,0.09,0.1568407211399608
1,2,2,2,2,2,2,3,6,1,1,2,2,1,0.2081627081627081,0.207070707070707,0.10502,1.97463,0.0234380071380398,1.907581967213115,161.12,0.31,579.89,0.29,770.45,0.21,517.29,0.41,775.66,0.34,37.42,0.14,154.31,0.34,69.14,0.1,3279.04,0.52,2605.61,0.24,1182.74,0.29,2134.34,0.12,873.12,0.31,162.95,0.33,0.1509107666982055
2,4,3,3,2,2,2,2,1,1,1,2,1,1,0.1961766044606281,0.1950386891215293,0.08666,1.98505,0.0193110423843286,1.9332443257676903,60.26,0.32,133.59,0.28,171.75,0.21,116.82,0.41,172.54,0.35,12.1,0.14,32.34,0.34,49.34,0.1,416.91,0.48,416.91,0.21,416.91,0.28,416.91,0.08,416.91,0.3,416.91,0.29,0.1290574874267178
2,3,6,2,1,3,1,3,1,2,2,1,2,1,0.1356395084205735,0.1390532544378698,0.08666,1.98505,0.0193110423843286,1.9332443257676903,221.88,0.27,60.26,0.32,1054.1,0.23,133.59,0.28,668.64,0.28,171.75,0.21,116.82,0.41,172.54,0.35,12.1,0.14,32.34,0.34,571.74,0.13,217.98,0.17,217.98,0.2,49.34,0.1,0.1499842833973157
2,4,1,1,1,1,1,4,2,2,1,1,2,1,0.1486092715231788,0.1504635761589404,0.06904,2.5446,0.0139864741844696,1.876190476190476,83.52,0.48,37.19,0.28,649.91,0.26,101.57,0.24,1032.03,0.24,116.92,0.18,61.82,0.4,117.23,0.31,6.51,0.09,12.55,0.28,1467.21,0.07,60.62,0.3,60.62,0.27,31.04,0.05,0.1643019247093879
