sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Workclass,ot_Workclass,corr_Education,ot_Education,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Country,ot_Country,corr_Age,ot_Age,corr_fnlwgt,ot_fnlwgt,corr_Education_Num,ot_Education_Num,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,utility_sp
1,4,6,2,1,5,1,4,2,1,2,2,2,1,0.18874761992506603,0.18874761992506603,0.20411,2.38171,0.04251246923275603,3.391532409142001,15107.09,0.37,321.32,0.27,2501.92,0.26,1164.26,0.23,5630.13,0.23,2425.59,0.18,1279.09,0.41,2488.96,0.31,85.37,0.1,577.13,0.3,73519.45,0.05,91935.13,0.01,2017.25,0.27,79.29,0.05,0.1830497385172497
4,3,8,3,1,5,1,3,3,1,2,2,2,1,0.17755026747832503,0.17782696919387567,0.15681,0.95855,0.039200193777384394,4.669473684210526,48.24,0.43,0.0,1.0,276.36,0.39,200.4,0.42,17.45,0.16,552.59,0.28,207.16,0.53,571.72,0.66,0.0,1.0,112.83,1.0,576.51,1.0,576.51,1.0,29.98,0.34,0.0,1.0,0.10596606428472892
2,4,5,2,1,2,1,3,8,1,2,2,1,1,0.16195741195741195,0.16195741195741195,0.19189,1.94576,0.043038080645605645,3.2390243902439027,538.13,0.48,192.01,0.31,362.48,0.28,498.65,0.28,165.35,0.28,880.55,0.21,519.87,0.41,898.41,0.35,39.19,0.13,197.97,0.34,618.97,0.08,1107.4,0.05,24.02,0.28,67.26,0.09,0.1811114392015591
3,1,7,3,1,1,2,3,8,2,2,2,1,1,0.1409272336505987,0.1409272336505987,0.17831,1.99797,0.03965117160351089,3.5760869565217392,63.66,0.31,336.03,0.29,536.65,0.28,336.74,0.42,649.58,0.35,32.09,0.14,120.93,0.33,53.51,0.08,235.19,0.27,190.87,0.42,243.71,0.29,151.05,0.07,51.11,0.11,42.91,0.35,0.11202976051117469
2,2,5,1,2,1,2,4,8,2,1,2,1,1,0.12878787878787878,0.12878787878787878,0.19341,1.88247,0.04383062990398537,3.3461139896373058,168.19,0.31,475.99,0.28,899.05,0.21,487.54,0.41,917.34,0.35,40.1,0.14,199.56,0.35,58.95,0.09,848.07,0.42,14.04,0.35,3356.08,0.28,1064.02,0.08,908.53,0.04,676.85,0.31,0.1583006816393973
2,4,4,1,1,4,1,3,2,2,1,1,1,1,0.14127764127764128,0.14127764127764128,0.20529,2.35077,0.04299423972962784,3.1652452025586353,228.36,0.5,153.05,0.28,206.45,0.27,340.76,0.23,215.31,0.23,651.05,0.17,384.9,0.4,821.89,0.31,28.89,0.09,187.85,0.3,199.5,0.06,16.99,0.01,0.06,0.28,54.88,0.05,0.17869052811540403
3,3,9,2,1,5,2,4,1,1,2,2,1,1,0.17316548971446116,0.17316548971446116,0.18945,2.02854,0.04191358213572951,3.274820143884892,80.73,0.32,380.56,0.3,604.45,0.21,372.38,0.41,606.99,0.34,23.35,0.14,130.54,0.33,55.56,0.1,4855.79,0.27,159.28,0.36,1214.37,0.3,14564.81,0.09,1014.59,0.15,459.67,0.32,0.1659730866360344
4,4,4,4,1,2,2,4,2,2,1,2,1,1,0.1995941708171924,0.19987087253274305,0.20633,1.0557,0.05155111954094289,4.234158117079058,252.44,0.27,910.31,0.24,1544.22,0.21,906.42,0.52,2061.17,0.71,83.72,0.11,595.5,1.0,73.33,0.05,23615.9,0.49,5124.11,0.26,6546.18,0.24,1265.46,0.03,1868.41,0.01,2023.59,0.24,0.1836920731827377
4,4,8,3,1,4,1,4,5,1,2,2,1,1,0.14831211953514112,0.14831211953514112,0.19961,1.01387,0.049907257172087584,3.72992700729927,8739.85,0.46,265.54,0.31,1339.33,0.26,1012.21,0.28,15732.9,0.28,1891.57,0.25,959.54,0.51,1951.23,0.71,110.49,0.16,502.11,1.0,1595.1,0.07,1419.73,0.08,8071.45,0.27,91.09,0.09,0.16936587121281088
1,1,2,2,2,4,1,5,5,1,2,2,2,1,0.13531109882685338,0.13531109882685338,0.2075,1.9842,0.04623662812045324,3.180560359737115,18535.95,0.3,456.32,0.3,430.12,0.34,1619.14,0.29,13525.55,0.29,2645.67,0.2,1555.5,0.41,2725.18,0.34,134.27,0.15,635.98,0.34,2958.25,0.07,1910.4,0.14,7651.55,0.28,131.95,0.1,0.18941878829219133
