sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,4,6,2,1,4,1,4,2,1,2,2,2,1,0.31089494163424125,0.31089494163424125,13.884297520661157,231.88,0.25,601.12,0.4,2589.39,0.16,3293.4,0.25,1460.47,0.0,319.16,0.28,1129.79,0.14,651.67,0.23,0.06718489727928934
4,3,8,3,1,4,1,3,3,1,2,2,2,1,0.2545977011494253,0.2545977011494253,8.205298013245033,3234.02,1.0,7006.95,1.0,956.58,0.31,1436.36,0.32,11397.16,1.0,3639.75,0.5,1951.91,0.58,2939.8,0.3,0.1086330935251798
2,4,5,2,1,1,1,3,8,1,2,2,1,1,0.4357976653696498,0.4357976653696498,10.25,2833.12,0.38,2989.55,1.0,650.19,0.26,593.43,0.33,5524.75,1.0,1839.12,0.5,869.86,0.39,419.5,0.23,0.0888888888888889
3,1,7,3,1,1,2,3,8,2,2,2,1,1,0.245136186770428,0.245136186770428,8.0,1668.0,0.33,1770.03,1.0,243.94,0.27,332.11,0.34,2872.0,1.0,1035.89,0.52,432.79,0.53,716.16,0.29,0.10833333333333328
2,2,5,1,2,1,2,4,8,2,1,2,1,1,0.4357976653696498,0.4357976653696498,12.24390243902439,176.45,0.39,219.43,1.0,1505.63,0.22,440.37,1.0,1383.94,0.0,237.8,0.47,771.76,0.39,592.48,0.2,0.07550644567219156
2,4,4,1,1,4,1,3,2,2,1,1,1,1,0.36186770428015563,0.36186770428015563,12.5,2901.47,0.27,3012.96,0.38,1255.04,0.2,732.53,0.31,6737.5,1.0,1910.0,0.45,1353.19,0.37,233.12,0.19,0.07407407407407407
3,3,9,2,1,4,2,4,1,1,2,2,1,1,0.2529182879377432,0.2529182879377432,7.426229508196721,76.67,0.34,2140.81,0.06,238.81,0.24,412.58,0.36,22.96,0.06,30.5,0.41,24.83,0.21,15.55,0.17,0.11867704280155644
4,4,4,4,1,1,2,4,2,2,1,2,1,1,0.4494252873563218,0.4494252873563218,11.18,598.58,1.0,384.22,1.0,3045.81,0.27,2379.68,0.22,2820.23,1.0,400.45,0.4,1458.62,0.51,1572.59,0.22,0.08210180623973728
4,4,8,3,1,3,1,4,5,1,2,2,1,1,0.32068965517241377,0.32068965517241377,8.44186046511628,539.25,1.0,339.37,0.43,898.93,0.29,1278.31,0.32,866.2,0.02,43.03,0.47,244.29,0.33,394.1,0.28,0.10591133004926112
1,1,2,2,2,3,1,5,5,1,2,2,2,1,0.26108949416342414,0.26108949416342414,10.24375,378.72,0.34,9288.94,0.05,5806.93,0.24,2150.57,0.32,33.16,0.05,169.89,0.34,28.96,0.18,27.12,0.1,0.08893829905503059
3,3,1,3,2,2,2,1,3,1,2,1,1,1,0.3424124513618677,0.3424124513618677,9.027777777777779,291.73,0.22,481.05,0.42,2408.89,1.0,1880.05,0.38,5264.24,1.0,957.46,0.22,528.85,0.24,488.72,0.3,0.09972299168975074
2,4,8,1,1,4,1,5,3,2,1,1,2,1,0.30739299610894943,0.30739299610894943,10.380952380952381,155.57,0.35,235.6,0.45,2149.04,0.27,739.86,0.35,7432.76,1.0,65.85,0.52,667.88,0.34,196.16,0.27,0.08786610878661083
1,3,5,4,2,3,1,3,4,2,1,1,1,1,0.26108949416342414,0.26108949416342414,10.320652173913043,10607.97,0.32,553.55,0.04,11453.56,0.23,2502.31,0.31,1094.98,0.04,5421.29,0.33,93.47,0.19,87.52,0.27,0.08833413346135377
1,1,1,4,2,3,1,4,2,2,2,2,1,1,0.26108949416342414,0.26108949416342414,10.681818181818182,268.36,0.29,16264.59,1.0,2629.75,0.17,2610.93,0.28,168.28,0.01,200.43,0.33,166.15,0.58,168.25,0.24,0.08560311284046696
2,3,5,2,1,2,1,2,6,2,2,1,2,1,0.36964980544747084,0.36964980544747084,12.170731707317072,458.68,0.38,803.46,0.45,438.25,0.27,421.99,0.36,706.55,0.06,455.52,0.49,526.82,0.26,621.67,0.06,0.07592592592592595
1,2,2,2,2,2,2,3,6,1,1,2,2,1,0.5575875486381323,0.44708171206225683,10.538461538461538,9312.31,0.34,9821.53,0.4,18952.9,0.23,1982.83,0.34,18958.69,0.06,6460.45,0.31,2152.85,0.45,880.85,0.28,0.08666666666666667
2,4,3,3,2,2,2,2,1,1,1,2,1,1,0.5888456549935149,0.4721141374837873,9.012987012987013,572.42,0.36,572.42,1.0,572.42,0.27,572.42,0.35,6940.0,0.01,572.42,0.53,572.42,0.3,572.42,0.26,0.09987029831387806
2,3,2,3,1,4,2,3,2,1,2,1,2,1,0.251621271076524,0.251621271076524,9.8,2690.48,0.32,2916.68,1.0,1073.54,0.21,631.51,0.31,5281.98,0.0,1732.8,0.48,427.71,0.41,1134.74,0.24,0.09259259259259256
2,3,6,2,1,3,1,3,1,2,2,1,2,1,0.2529182879377432,0.2529182879377432,9.012987012987013,3808.51,0.36,128.0,0.05,698.77,0.27,720.6,0.35,347.32,0.06,1751.9,0.37,39.18,0.2,37.74,0.14,0.09987029831387806
2,4,1,1,1,1,1,4,2,2,1,1,2,1,0.42362204724409447,0.42362204724409447,14.857142857142858,79.54,0.28,168.95,1.0,1716.74,0.18,720.4,0.28,1431.38,1.0,266.51,0.45,756.89,0.53,580.45,0.18,0.06306306306306309
4,1,3,4,2,3,1,2,5,2,1,1,1,1,0.25689655172413794,0.25689655172413794,8.297709923664122,868.26,1.0,1076.07,0.04,936.29,0.3,1023.48,0.3,895.86,0.06,967.79,0.32,931.6,0.19,921.91,0.11,0.10755336617405586
4,2,5,2,2,1,1,2,4,2,1,1,2,1,0.46379310344827585,0.46379310344827585,8.577922077922079,1082.82,1.0,1082.28,1.0,1274.65,0.29,1290.83,0.3,1263.56,0.01,1108.88,0.48,1145.42,0.57,1092.47,0.29,0.10305084745762716
1,3,5,2,2,2,2,2,5,2,2,1,1,1,0.343579766536965,0.343579766536965,11.493055555555555,1330.32,0.32,1473.73,0.42,1416.12,0.24,1605.03,0.31,1490.5,0.06,1569.28,0.33,1849.01,0.27,1632.58,0.09,0.07948860478043362
