sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,5,1,4,2,1,2,2,2,1,0.17658620477857626,0.17658620477857626,0.20823,2.43825,0.042951414761812856,3.3076074972436604,15315.41,0.46,363.61,0.27,1682.9,0.25,1310.26,0.24,5566.32,0.24,2401.42,0.18,1317.85,0.4,2470.36,0.3,87.35,0.1,586.86,0.29,63827.2,0.07,96472.54,0.0,1767.69,0.29,108.9,0.05,0.1890685387798984
4,3,8,3,1,5,1,3,3,1,2,2,2,1,0.14609850581073602,0.14416159380188157,0.17896,1.12713,0.044596638516593935,4.100970873786408,412.55,0.43,0.0,1.0,156.2,0.27,183.73,0.41,15.58,0.18,589.79,0.26,204.51,0.52,604.47,0.67,0.0,1.0,131.84,1.0,640.34,1.0,640.34,1.0,1.73,0.29,0.0,1.0,0.1403479687281865
2,4,5,2,1,2,1,3,8,1,2,2,1,1,0.16871416871416872,0.16871416871416872,0.18408,1.96492,0.041156196230330726,3.1976630963972736,457.47,0.55,191.3,0.31,409.09,0.23,527.68,0.28,158.12,0.28,883.68,0.21,508.43,0.41,901.86,0.35,37.45,0.13,178.92,0.34,668.42,0.08,1121.29,0.05,28.65,0.33,56.63,0.09,0.17551211123142127
3,1,7,3,1,1,2,3,8,2,2,2,1,1,0.14676082284310715,0.14676082284310715,0.18349,1.99395,0.04082966122515123,3.607142857142857,65.38,0.32,334.82,0.28,593.11,0.29,343.23,0.42,664.86,0.35,26.41,0.14,129.68,0.33,44.46,0.08,113.02,0.4,174.67,0.41,237.8,0.28,76.43,0.15,70.26,0.02,240.76,0.24,0.13062808188677857
2,2,5,1,2,1,2,4,8,2,1,2,1,1,0.13718263718263718,0.13718263718263718,0.19012,1.89426,0.04300369443964936,3.3052083333333333,176.93,0.3,494.99,0.28,901.47,0.21,464.36,0.41,920.17,0.35,36.88,0.14,188.38,0.35,54.34,0.08,771.1,0.44,262.39,0.36,3284.07,0.28,1089.71,0.07,977.49,0.04,636.64,0.33,0.16229541724268265
2,4,4,1,1,4,1,3,2,2,1,1,1,1,0.14803439803439802,0.14803439803439802,0.20698,2.38268,0.043110485715570086,3.0613305613305615,436.14,0.39,151.77,0.28,395.73,0.26,369.44,0.22,188.71,0.22,670.2,0.16,385.61,0.39,854.59,0.31,32.57,0.09,186.68,0.3,181.51,0.06,32.64,0.02,8.02,0.26,60.77,0.05,0.18650426608275444
3,3,9,2,1,5,2,4,1,1,2,2,1,1,0.1722443966840651,0.1722443966840651,0.1945,2.02472,0.043058056609322576,3.177809388335704,92.75,0.32,360.61,0.3,632.05,0.21,349.42,0.41,635.01,0.34,30.14,0.15,133.98,0.33,56.66,0.09,3910.85,0.5,1156.96,0.3,1140.97,0.3,14.3,0.18,18190.26,0.05,5392.49,0.24,0.1696995158686339
4,4,4,4,1,2,2,4,2,2,1,2,1,1,0.18004058291828076,0.17902600996126175,0.20584,1.06943,0.05140866935303732,4.1625,245.49,0.26,927.28,0.24,1522.04,0.21,901.45,0.52,2047.11,0.71,77.43,0.12,586.25,1.0,81.85,0.05,16516.42,0.47,4307.91,0.25,6429.67,0.24,1347.73,0.03,1895.43,0.01,1759.01,0.3,0.18582051102684818
4,4,8,3,1,4,1,4,5,1,2,2,1,1,0.140011068068622,0.140011068068622,0.19655,1.01075,0.049141849583854647,3.6642659279778393,8492.08,0.53,318.58,0.31,761.04,0.3,1067.66,0.28,15431.5,0.28,1933.14,0.25,978.33,0.52,2000.34,0.71,111.88,0.16,481.57,1.0,1562.63,0.13,1513.68,0.04,7898.14,0.23,96.27,0.09,0.1790125999865458
1,1,2,2,2,4,1,5,5,1,2,2,2,1,0.16319636385971378,0.16319636385971378,0.19335,1.9968,0.04299217706762072,3.198397435897436,1135.39,0.43,485.49,0.31,313.25,0.32,1697.9,0.29,14739.19,0.29,2734.9,0.21,1618.76,0.41,2806.58,0.33,150.82,0.15,598.96,0.33,1264.2,0.16,2718.24,0.05,377.91,0.23,149.63,0.09,0.17773476695519025
