sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
4.0,1.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.2175,0.2175,0.18697,0.92952,0.0466950196641756,4.344,0.0,1.0,265.93,0.42,654.71,0.23,295.43,0.51,850.85,0.68,0.0,1.0,190.42,1.0,0.0,1.0,7697.16,0.49,9380.31,0.26,9719.65,0.14,768.65,1.0,768.65,1.0,14220.68,0.32,0.0839030453697949
4.0,1.0,9.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.2218333333333333,0.2218333333333333,0.15206,0.87093,0.0378398472725339,5.449244060475162,97.21,0.0,550.05,0.0,1295.71,0.0,482.64,0.0,1333.22,0.0,60.51,0.0,261.07,0.0,79.9,0.0,258721.96,0.51,38609.51,0.33,73935.97,0.25,1095.75,1.0,1095.75,1.0,66709.14,0.41,0.0452313337300084
3.0,4.0,7.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.159551597051597,0.159551597051597,0.16895,2.0054,0.0375215040363078,3.7631954350927246,79.34,0.0,223.57,0.0,691.99,0.0,293.37,0.0,690.46,0.0,38.07,0.0,126.56,0.0,40.88,0.0,103131.64,0.44,49320.4,0.34,113524.39,0.22,887.01,1.0,887.01,1.0,509662.66,0.35,0.1171236064360475
4.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,0.2010833333333333,0.2010833333333333,0.19633,0.9795,0.0490831876138498,3.979672781358453,403692.25,0.4,234.8,0.0,25847.24,0.34,1297.49,0.0,102684.57,0.28,2214.74,0.0,1030.78,0.0,2285.8,0.0,115.11,0.0,601.82,0.0,67.33,0.07,2141.92,0.04,23802.24,0.37,129.75,0.0,0.1568897817333643
2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.19502457002457,0.19502457002457,0.19337,2.04528,0.0426508772565051,3.111059262715819,334023.47,0.46,307.41,0.0,21572.68,0.35,1139.73,0.0,87503.45,0.29,1699.98,0.0,1086.88,0.0,1755.82,0.0,104.62,0.0,393.62,0.0,18.89,0.07,2441.28,0.04,21395.44,0.36,91.65,0.0,0.1521226254581393
4.0,1.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,0.18175,0.18175,0.18206,0.9204,0.0454511309121767,4.418894830659537,0.0,1.0,247.69,0.41,762.46,0.26,259.05,0.51,764.48,0.67,0.0,1.0,165.9,1.0,0.0,1.0,3623.55,0.52,464.42,0.29,7622.5,0.14,687.73,1.0,687.73,1.0,12533.97,0.32,0.1015785861358956
2.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,2.0,2.0,1.0,0.1644144144144144,0.1644144144144144,0.17576,1.95983,0.0393238269110448,3.443997702469845,256.53,0.0,931.43,0.0,1509.39,0.0,906.21,0.0,1546.51,0.0,88.82,0.0,305.59,0.0,78.06,0.0,61568.5,0.34,16561.34,0.41,112576.6,0.28,488.83,0.15,97.48,0.01,22.07,0.2,0.1032238904584557
2.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.1819205569205569,0.1819205569205569,0.17958,2.08191,0.0393763771181241,3.4702970297029703,2435.05,0.48,0.0,1.0,559.91,0.29,220.16,0.4,5167.44,0.14,469.15,0.19,285.42,0.47,591.5,0.31,0.0,1.0,109.23,0.32,780.34,1.0,780.34,1.0,8769.75,0.29,0.0,1.0,0.088479829911039
3.0,2.0,5.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.1577088452088452,0.1577088452088452,0.2069,2.06284,0.0455239915702041,3.297229219143577,2970.41,0.35,0.0,1.0,3748.17,0.28,113.02,0.39,3673.79,0.15,371.38,0.22,162.98,0.45,365.45,0.3,0.0,1.0,88.79,0.33,517.1,1.0,517.1,1.0,3233.3,0.15,0.0,1.0,0.0652741514360313
2.0,2.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,0.1625716625716625,0.1625716625716625,0.18948,2.06933,0.0416345934617292,3.354694485842027,5157.8,0.46,0.0,1.0,6707.39,0.27,200.4,0.39,6420.74,0.15,503.11,0.2,275.28,0.46,656.78,0.3,0.0,1.0,129.19,0.33,870.72,1.0,870.72,1.0,5627.36,0.23,0.0,1.0,0.0761421319796954
