sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
4.0,3.0,1.0,4.0,2.0,4.0,2.0,2.0,8.0,1.0,2.0,2.0,2.0,1.0,0.2626262626262626,0.2626262626262626,6.9,64.35,1.0,904.62,1.0,57.25,0.27,41.78,0.33,729.71,1.0,731.33,0.57,60.93,0.73,969.69,0.3,0.1265822784810126
4.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,0.4242424242424242,0.4242424242424242,8.875,63.17,1.0,253.08,1.0,7.14,0.28,76.58,0.34,8.79,1.0,64.37,0.25,52.87,0.7,107.08,0.32,0.1012658227848101
4.0,3.0,8.0,2.0,2.0,1.0,1.0,3.0,6.0,2.0,1.0,2.0,2.0,1.0,0.2727272727272727,0.2727272727272727,6.9,78.81,1.0,411.87,1.0,50.46,0.27,69.74,0.33,538.2,1.0,187.97,0.57,178.12,0.73,36.77,0.3,0.1265822784810126
4.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,7.0,2.0,2.0,2.0,2.0,1.0,0.2626262626262626,0.2626262626262626,7.777777777777778,61.7,1.0,1009.37,1.0,59.39,0.27,43.48,0.33,819.22,1.0,815.2,0.57,57.94,0.73,1080.64,0.3,0.1139240506329114
4.0,1.0,7.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,0.4242424242424242,0.2929292929292929,7.888888888888889,150.07,1.0,303.16,0.04,90.56,0.29,105.17,0.26,623.22,0.01,213.91,0.5,175.86,0.68,4.89,0.39,0.1125
4.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,0.4242424242424242,0.2929292929292929,8.875,141.49,1.0,221.68,0.49,98.1,0.28,96.83,0.29,692.25,1.0,182.69,0.58,197.38,0.49,13.21,0.25,0.1012658227848101
4.0,2.0,1.0,4.0,2.0,3.0,1.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,0.6,0.6,5.428571428571429,11.2,1.0,7.08,1.0,17.92,0.27,26.15,0.38,8.11,0.0,0.52,0.56,2.54,0.4,0.18,0.16,0.1555555555555555
4.0,3.0,4.0,2.0,2.0,4.0,1.0,3.0,8.0,1.0,1.0,2.0,1.0,1.0,0.2626262626262626,0.2626262626262626,6.9,86.13,1.0,404.35,1.0,51.42,0.28,74.02,0.32,538.2,1.0,181.09,0.57,173.01,0.75,31.72,0.29,0.1265822784810126
4.0,1.0,3.0,2.0,1.0,3.0,2.0,5.0,6.0,1.0,2.0,2.0,2.0,1.0,0.2727272727272727,0.2727272727272727,7.777777777777778,79.53,1.0,461.57,0.01,214.96,0.24,63.04,0.37,606.67,1.0,294.99,0.15,27.73,0.54,355.99,0.3,0.1139240506329114
4.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,6.9,78.81,1.0,411.87,1.0,50.46,0.27,69.74,0.33,538.2,1.0,187.97,0.57,178.12,0.73,36.77,0.3,0.1265822784810126
4.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,7.0,2.0,1.0,2.0,2.0,1.0,0.4242424242424242,0.2929292929292929,8.875,141.49,1.0,201.85,0.49,104.14,0.27,86.05,0.32,692.25,1.0,163.59,0.59,190.47,0.51,37.53,0.24,0.1012658227848101
4.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,8.0,1.0,1.0,1.0,2.0,1.0,0.2727272727272727,0.2727272727272727,6.9,103.85,1.0,404.35,1.0,53.78,0.28,74.02,0.32,538.2,1.0,175.07,0.57,172.91,0.58,35.18,0.29,0.1265822784810126
4.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,0.2626262626262626,0.2626262626262626,6.9,31.29,1.0,29.15,1.0,33.15,0.28,74.02,0.32,11.3,1.0,389.19,0.57,323.12,0.75,51.74,0.29,0.1265822784810126
4.0,2.0,9.0,4.0,2.0,1.0,1.0,4.0,8.0,2.0,1.0,1.0,2.0,1.0,0.3838383838383838,0.3838383838383838,8.875,53.84,0.91,33.46,0.09,136.66,0.27,250.28,0.11,119.64,0.03,17.68,0.37,50.56,0.52,73.46,0.38,0.1012658227848101
4.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,7.777777777777778,79.73,1.0,523.98,0.01,117.16,0.25,70.91,0.34,115.17,1.0,601.04,0.56,44.9,0.71,522.22,0.32,0.1139240506329114
4.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0,0.4242424242424242,0.4242424242424242,8.875,68.18,0.37,26.97,1.0,143.1,0.27,102.79,0.28,136.26,1.0,17.59,0.44,47.22,0.7,73.81,0.25,0.1012658227848101
4.0,3.0,2.0,1.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,1.0,2.0,1.0,0.2626262626262626,0.2626262626262626,6.9,77.15,1.0,452.88,0.01,192.82,0.24,61.91,0.35,538.2,1.0,462.95,0.58,34.07,0.71,426.53,0.29,0.1265822784810126
4.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,8.875,86.01,1.0,513.86,0.03,112.04,0.3,76.58,0.34,136.26,1.0,685.61,0.56,46.13,0.57,512.36,0.16,0.1012658227848101
4.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,7.0,1.0,2.0,1.0,2.0,1.0,0.2727272727272727,0.2727272727272727,6.9,78.81,1.0,411.87,1.0,50.46,0.27,69.74,0.33,538.2,1.0,187.97,0.57,178.12,0.73,36.77,0.3,0.1265822784810126
1.0,3.0,7.0,2.0,1.0,2.0,2.0,5.0,8.0,1.0,2.0,1.0,2.0,1.0,0.3203732503888025,0.2783825816485225,8.884615384615385,1239.0,0.31,1419.55,0.46,637.28,0.31,554.49,0.32,4557.81,0.01,412.74,0.37,551.37,0.43,710.74,0.26,0.1011673151750972
4.0,3.0,8.0,2.0,2.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,0.2727272727272727,0.2727272727272727,7.777777777777778,36.02,1.0,32.05,1.0,35.52,0.28,79.77,0.32,10.03,1.0,366.28,0.57,312.63,0.73,102.28,0.3,0.1139240506329114
4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,0.6,0.6,8.0,57.47,1.0,45.98,1.0,0.3,0.36,98.86,0.31,17.07,0.0,117.08,0.51,125.4,0.69,6.92,0.2,0.1111111111111111
4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,7.0,1.0,2.0,2.0,2.0,1.0,0.404040404040404,0.404040404040404,8.875,54.0,1.0,31.65,0.51,146.43,0.25,213.37,0.14,119.64,0.03,18.59,0.52,50.72,0.7,71.6,0.38,0.1012658227848101
4.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,0.2626262626262626,0.2626262626262626,6.9,31.29,1.0,29.15,1.0,33.15,0.28,74.02,0.32,11.3,1.0,389.19,0.57,323.12,0.75,51.74,0.29,0.1265822784810126
4.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,0.2727272727272727,0.2727272727272727,8.875,50.88,1.0,320.44,0.01,68.09,0.27,45.24,0.33,931.12,1.0,384.28,0.54,61.13,0.53,161.21,0.34,0.1012658227848101
4.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,7.0,2.0,1.0,1.0,1.0,1.0,0.4242424242424242,0.2929292929292929,8.875,61.28,0.61,186.02,0.51,229.86,0.14,76.58,0.34,692.25,0.03,72.83,0.29,73.08,0.49,83.2,0.34,0.1012658227848101
4.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,0.2727272727272727,0.2727272727272727,6.9,78.81,1.0,411.87,1.0,50.46,0.27,69.74,0.33,538.2,1.0,187.97,0.57,178.12,0.73,36.77,0.3,0.1265822784810126
4.0,1.0,7.0,2.0,1.0,3.0,2.0,3.0,8.0,1.0,1.0,1.0,2.0,1.0,0.2727272727272727,0.2727272727272727,6.9,103.85,1.0,404.35,1.0,53.78,0.28,74.02,0.32,538.2,1.0,175.07,0.57,172.91,0.58,35.18,0.29,0.1265822784810126
4.0,3.0,7.0,2.0,1.0,2.0,2.0,4.0,8.0,2.0,1.0,1.0,1.0,1.0,0.4242424242424242,0.4242424242424242,7.777777777777778,63.94,1.0,173.62,0.47,8.19,0.2,122.06,0.23,10.03,1.0,63.91,0.54,49.65,0.52,74.44,0.33,0.1139240506329114
1.0,1.0,9.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,0.3203732503888025,0.3203732503888025,8.69811320754717,867.58,0.34,903.75,0.41,3197.53,0.26,3019.73,0.35,4266.55,1.0,80.68,0.2,1823.5,0.61,23.61,0.24,0.103112840466926
4.0,1.0,6.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,2.0,2.0,1.0,0.2727272727272727,0.2727272727272727,7.777777777777778,79.73,1.0,523.98,0.01,117.16,0.25,70.91,0.34,115.17,1.0,601.04,0.56,44.9,0.71,522.22,0.32,0.1139240506329114
4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,1.0,2.0,1.0,1.0,0.2727272727272727,0.2727272727272727,6.9,64.34,1.0,931.97,1.0,56.5,0.27,41.78,0.33,729.71,1.0,778.17,0.57,62.09,0.73,998.39,0.3,0.1265822784810126
4.0,3.0,8.0,4.0,2.0,2.0,1.0,5.0,7.0,2.0,2.0,2.0,2.0,1.0,0.4242424242424242,0.2929292929292929,8.875,61.28,0.61,186.02,0.51,229.86,0.14,76.58,0.34,692.25,0.03,72.83,0.29,73.08,0.49,83.2,0.34,0.1012658227848101
4.0,1.0,7.0,4.0,2.0,4.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,0.2626262626262626,0.2626262626262626,6.9,31.29,1.0,29.15,1.0,33.15,0.28,74.02,0.32,11.3,1.0,389.19,0.57,323.12,0.75,51.74,0.29,0.1265822784810126
4.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,0.2626262626262626,0.2626262626262626,6.9,77.15,1.0,517.47,1.0,28.89,0.27,69.74,0.33,19.51,1.0,462.32,0.58,8.3,0.73,484.73,0.29,0.1265822784810126
4.0,1.0,9.0,3.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,0.2727272727272727,0.2727272727272727,7.777777777777778,36.02,1.0,32.05,1.0,35.52,0.28,79.77,0.32,10.03,1.0,366.28,0.57,312.63,0.73,102.28,0.3,0.1139240506329114
3.0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,0.5193798449612403,0.5193798449612403,8.363636363636363,11.5,0.29,24.29,0.39,11.07,0.23,93.42,0.35,12.2,1.0,74.28,0.29,66.2,0.41,122.18,0.2,0.1067961165048543
4.0,3.0,8.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,2.0,1.0,0.2727272727272727,0.2727272727272727,6.9,64.34,1.0,931.97,1.0,56.5,0.27,41.78,0.33,729.71,1.0,778.17,0.57,62.09,0.73,998.39,0.3,0.1265822784810126
4.0,3.0,7.0,4.0,1.0,3.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,7.777777777777778,61.66,1.0,749.48,1.0,59.59,0.27,43.48,0.33,819.22,1.0,359.17,0.57,57.75,0.57,695.0,0.3,0.1139240506329114
4.0,3.0,9.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,7.777777777777778,36.02,1.0,32.05,1.0,35.52,0.28,79.77,0.32,10.03,1.0,366.28,0.57,312.63,0.73,102.28,0.3,0.1139240506329114
4.0,1.0,5.0,4.0,2.0,4.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,0.2626262626262626,0.2626262626262626,8.875,39.81,1.0,0.64,0.03,27.31,0.24,81.17,0.33,9.5,0.01,12.2,0.28,323.8,0.48,7.83,0.24,0.1012658227848101
